,time,Alleymultiproxy
0,-8980.439999999999,1.09619799139168
1,-8961.34,1.1001979913916813
2,-8941.96,1.1581979913916811
3,-8923.4,1.2951979913916816
4,-8903.58,1.3471979913916812
5,-8883.49,1.3151979913916811
6,-8862.39,1.22119799139168
7,-8842.33,1.0381979913916801
8,-8821.89,0.868197991391682
9,-8803.220000000001,0.8381979913916808
10,-8785.0,0.9121979913916789
11,-8766.07,0.937197991391681
12,-8747.689999999999,0.9191979913916803
13,-8726.779999999999,0.8941979913916818
14,-8707.61,0.8151979913916811
15,-8689.11,0.6641979913916813
16,-8670.76,0.5741979913916815
17,-8651.810000000001,0.5971979913916812
18,-8632.64,0.5561979913916808
19,-8615.279999999999,0.5641979913916799
20,-8597.35,0.6021979913916802
21,-8577.52,0.5201979913916794
22,-8558.35,0.4261979913916818
23,-8538.61,0.3451979913916823
24,-8519.41,0.28519799139168
25,-8499.25,0.28519799139168
26,-8480.08,0.3551979913916803
27,-8461.0,0.4131979913916801
28,-8442.560000000001,0.34719799139168117
29,-8424.04,0.1321979913916813
30,-8404.55,-0.21480200860832
31,-8384.560000000001,-0.6308020086083204
32,-8365.9,-1.006802008608318
33,-8348.58,-1.2168020086083189
34,-8330.24,-1.2748020086083223
35,-8309.8,-1.3438020086083178
36,-8290.01,-1.4258020086083185
37,-8269.130000000001,-1.5028020086083167
38,-8250.54,-1.5838020086083198
39,-8229.970000000001,-1.663802008608318
40,-8210.54,-1.7058020086083197
41,-8190.02,-1.5028020086083167
42,-8171.05,-1.0728020086083205
43,-8153.16,-0.616802008608321
44,-8136.41,-0.1398020086083207
45,-8119.11,-0.03880200860831806
46,-8100.59,0.19019799139168114
47,-8083.12,0.16019799139168
48,-8064.42,0.3311979913916794
49,-8046.27,0.4571979913916806
50,-8029.02,0.650197991391682
51,-8011.54,0.8151979913916811
52,-7993.18,1.0951979913916823
53,-7974.62,1.498197991391681
54,-7957.05,1.6051979913916803
55,-7939.1,1.589197991391682
56,-7921.31,1.5741979913916815
57,-7903.58,1.5751979913916792
58,-7885.77,1.6301979913916789
59,-7868.34,1.812197991391681
60,-7851.47,1.9891979913916806
61,-7834.54,2.0241979913916808
62,-7817.32,2.034197991391679
63,-7800.33,1.8771979913916788
64,-7783.12,1.873197991391681
65,-7765.15,1.8081979913916797
66,-7746.95,1.5831979913916818
67,-7730.63,1.5421979913916815
68,-7713.0,1.4531979913916793
69,-7695.46,1.3961979913916807
70,-7678.21,1.1441979913916818
71,-7659.86,0.8271979913916816
72,-7642.67,0.6421979913916793
73,-7625.59,0.46619799139168094
74,-7608.89,0.44219799139168003
75,-7592.48,0.4491979913916815
76,-7574.75,0.6071979913916792
77,-7556.58,0.6371979913916803
78,-7539.59,0.4561979913916794
79,-7522.2,0.4281979913916807
80,-7504.61,0.4701979913916823
81,-7487.72,0.6101979913916793
82,-7471.27,0.6171979913916807
83,-7454.05,0.7251979913916813
84,-7436.69,0.9291979913916819
85,-7419.69,0.8801979913916789
86,-7403.22,0.758197991391679
87,-7386.32,0.5861979913916819
88,-7369.07,0.4551979913916817
89,-7351.3,0.2641979913916792
90,-7333.72,0.16419799139168134
91,-7318.0,0.165197991391679
92,-7299.9,0.06219799139168103
93,-7282.23,-0.04380200860832062
94,-7265.27,-0.23980200860831857
95,-7247.15,-0.38480200860831815
96,-7230.45,-0.523802008608321
97,-7213.19,-0.6838020086083212
98,-7197.45,-0.6998020086083194
99,-7180.52,-0.5448020086083183
100,-7163.51,-0.39580200860832093
101,-7145.8,-0.366802008608321
102,-7125.35,-0.22780200860831812
103,-7112.32,-0.2408020086083198
104,-7095.19,-0.20880200860831977
105,-7077.94,0.05319799139168069
106,-7060.31,0.2621979913916803
