Site,Age (yr bp1950),T annual anom (oC),
GISP2,1138.29,-0.029,
GISP2,1143.24,-0.026,
GISP2,1148.20,0.046,
GISP2,1153.15,0.194,
GISP2,1158.11,0.353,
GISP2,1163.07,0.484,
GISP2,1168.03,0.587,
GISP2,1172.99,0.655,
GISP2,1177.95,0.687,
GISP2,1182.91,0.713,
GISP2,1187.87,0.772,
GISP2,1192.83,0.863,
GISP2,1197.80,0.952,
GISP2,1202.76,1.001,
GISP2,1207.73,0.989,
GISP2,1212.69,0.919,
GISP2,1217.66,0.792,
GISP2,1222.63,0.623,
GISP2,1227.60,0.450,
GISP2,1232.57,0.307,
GISP2,1237.54,0.182,
GISP2,1242.51,0.054,
GISP2,1247.48,-0.055,
GISP2,1252.45,-0.089,
GISP2,1257.43,-0.057,
GISP2,1262.40,-0.011,
GISP2,1267.38,0.015,
GISP2,1272.35,0.037,
GISP2,1277.33,0.089,
GISP2,1282.31,0.182,
GISP2,1287.29,0.279,
GISP2,1292.27,0.331,
GISP2,1297.25,0.333,
GISP2,1302.24,0.331,
GISP2,1307.22,0.348,
GISP2,1312.20,0.384,
GISP2,1317.19,0.414,
GISP2,1322.18,0.414,
GISP2,1327.16,0.390,
GISP2,1332.15,0.367,
GISP2,1337.14,0.358,
GISP2,1342.13,0.357,
GISP2,1347.12,0.356,
GISP2,1352.12,0.359,
GISP2,1357.11,0.369,
GISP2,1362.10,0.384,
GISP2,1367.10,0.404,
GISP2,1372.10,0.418,
GISP2,1377.09,0.419,
GISP2,1382.09,0.401,
GISP2,1387.09,0.362,
GISP2,1392.09,0.301,
GISP2,1397.09,0.231,
GISP2,1402.09,0.168,
GISP2,1407.10,0.124,
GISP2,1412.10,0.112,
GISP2,1417.11,0.137,
GISP2,1422.11,0.179,
GISP2,1427.12,0.205,
GISP2,1432.12,0.209,
GISP2,1437.13,0.201,
GISP2,1442.14,0.187,
GISP2,1447.15,0.169,
GISP2,1452.16,0.148,
GISP2,1457.17,0.124,
GISP2,1462.18,0.118,
GISP2,1467.19,0.165,
GISP2,1472.21,0.280,
GISP2,1477.22,0.429,
GISP2,1482.23,0.561,
GISP2,1487.25,0.642,
GISP2,1492.26,0.688,
GISP2,1497.28,0.749,
GISP2,1502.30,0.848,
GISP2,1507.32,0.960,
GISP2,1512.33,1.058,
GISP2,1517.35,1.157,
GISP2,1522.37,1.267,
GISP2,1527.40,1.362,
GISP2,1532.42,1.397,
GISP2,1537.44,1.353,
GISP2,1542.46,1.245,
GISP2,1547.49,1.103,
GISP2,1552.51,0.956,
GISP2,1557.53,0.835,
GISP2,1562.56,0.758,
GISP2,1567.59,0.715,
GISP2,1572.61,0.674,
GISP2,1577.64,0.623,
GISP2,1582.67,0.576,
GISP2,1587.70,0.544,
GISP2,1592.73,0.529,
GISP2,1597.76,0.506,
GISP2,1602.79,0.462,
GISP2,1607.82,0.421,
GISP2,1612.85,0.410,
GISP2,1617.88,0.421,
GISP2,1622.92,0.428,
GISP2,1627.95,0.432,
GISP2,1632.99,0.448,
GISP2,1638.02,0.501,
GISP2,1643.06,0.602,
GISP2,1648.09,0.713,
GISP2,1653.13,0.810,
GISP2,1658.17,0.900,
GISP2,1663.21,0.978,
GISP2,1668.25,1.023,
GISP2,1673.28,1.015,
GISP2,1678.32,0.957,
GISP2,1683.36,0.872,
GISP2,1688.41,0.790,
GISP2,1693.45,0.706,
GISP2,1698.49,0.597,
GISP2,1703.53,0.476,
GISP2,1708.57,0.373,
GISP2,1713.61,0.297,
