Site,Age (yr bp1950),T annual anom (oC),
GISP2,4692.65,0.804,
GISP2,4697.50,0.660,
GISP2,4702.35,0.552,
GISP2,4707.20,0.490,
GISP2,4712.06,0.476,
GISP2,4716.91,0.511,
GISP2,4721.77,0.579,
GISP2,4726.62,0.666,
GISP2,4731.48,0.766,
GISP2,4736.33,0.884,
GISP2,4741.19,1.037,
GISP2,4746.05,1.233,
GISP2,4750.90,1.431,
GISP2,4755.76,1.599,
GISP2,4760.62,1.721,
GISP2,4765.48,1.787,
GISP2,4770.34,1.784,
GISP2,4775.20,1.706,
GISP2,4780.06,1.589,
GISP2,4784.92,1.491,
GISP2,4789.78,1.421,
GISP2,4794.65,1.373,
GISP2,4799.51,1.373,
GISP2,4804.37,1.467,
GISP2,4809.24,1.652,
GISP2,4814.10,1.853,
GISP2,4818.97,1.997,
GISP2,4823.83,2.060,
GISP2,4828.70,2.069,
GISP2,4833.56,2.056,
GISP2,4838.43,2.016,
GISP2,4843.30,1.950,
GISP2,4848.17,1.875,
GISP2,4853.04,1.819,
GISP2,4857.90,1.781,
GISP2,4862.77,1.745,
GISP2,4867.64,1.707,
GISP2,4872.52,1.680,
GISP2,4877.39,1.684,
GISP2,4882.26,1.721,
GISP2,4887.13,1.766,
GISP2,4892.00,1.795,
GISP2,4896.88,1.807,
GISP2,4901.75,1.825,
GISP2,4906.63,1.854,
GISP2,4911.50,1.865,
GISP2,4916.38,1.833,
GISP2,4921.26,1.769,
GISP2,4926.14,1.712,
GISP2,4931.01,1.690,
GISP2,4935.89,1.692,
GISP2,4940.77,1.700,
GISP2,4945.65,1.693,
GISP2,4950.54,1.677,
GISP2,4955.42,1.672,
GISP2,4960.30,1.696,
GISP2,4965.19,1.751,
GISP2,4970.07,1.813,
GISP2,4974.96,1.861,
GISP2,4979.84,1.911,
GISP2,4984.73,1.997,
GISP2,4989.62,2.116,
GISP2,4994.51,2.212,
GISP2,4999.40,2.229,
GISP2,5004.29,2.161,
GISP2,5009.18,2.045,
GISP2,5014.07,1.901,
GISP2,5018.97,1.742,
GISP2,5023.86,1.604,
GISP2,5028.76,1.522,
GISP2,5033.65,1.499,
GISP2,5038.55,1.531,
GISP2,5043.45,1.606,
GISP2,5048.35,1.714,
GISP2,5053.25,1.842,
GISP2,5058.15,1.948,
GISP2,5063.05,1.978,
GISP2,5067.96,1.926,
GISP2,5072.86,1.850,
GISP2,5077.77,1.776,
GISP2,5082.68,1.681,
GISP2,5087.58,1.581,
GISP2,5092.49,1.551,
GISP2,5097.40,1.653,
GISP2,5102.32,1.866,
GISP2,5107.23,2.093,
GISP2,5112.14,2.255,
GISP2,5117.06,2.359,
GISP2,5121.98,2.444,
GISP2,5126.89,2.495,
GISP2,5131.81,2.459,
GISP2,5136.73,2.323,
GISP2,5141.65,2.145,
GISP2,5146.58,1.984,
GISP2,5151.50,1.849,
GISP2,5156.43,1.711,
GISP2,5161.35,1.579,
GISP2,5166.28,1.493,
GISP2,5171.21,1.477,
GISP2,5176.14,1.503,
GISP2,5181.07,1.524,
GISP2,5186.01,1.513,
GISP2,5190.94,1.465,
GISP2,5195.88,1.383,
GISP2,5200.82,1.265,
GISP2,5205.76,1.112,
GISP2,5210.70,0.951,
GISP2,5215.64,0.814,
GISP2,5220.58,0.721,
GISP2,5225.53,0.669,
GISP2,5230.48,0.641,
GISP2,5235.42,0.630,
GISP2,5240.37,0.623,
GISP2,5245.33,0.620,
GISP2,5250.28,0.631,
GISP2,5255.23,0.667,
GISP2,5260.19,0.731,
GISP2,5265.15,0.810,
GISP2,5270.10,0.883,
GISP2,5275.07,0.951,
GISP2,5280.03,1.019,
GISP2,5284.99,1.082,
GISP2,5289.96,1.097,
GISP2,5294.93,1.034,
GISP2,5299.89,0.899,
GISP2,5304.87,0.751,
GISP2,5309.84,0.647,
GISP2,5314.81,0.593,
GISP2,5319.79,0.561,
GISP2,5324.77,0.557,
GISP2,5329.75,0.623,
GISP2,5334.73,0.776,
GISP2,5339.71,0.971,
GISP2,5344.70,1.142,
GISP2,5349.68,1.275,
GISP2,5354.67,1.403,
GISP2,5359.66,1.556,
GISP2,5364.65,1.718,
GISP2,5369.65,1.830,
GISP2,5374.65,1.853,
GISP2,5379.64,1.808,
GISP2,5384.64,1.739,
GISP2,5389.64,1.676,
GISP2,5394.65,1.618,
GISP2,5399.65,1.575,
GISP2,5404.66,1.557,
GISP2,5409.67,1.581,
GISP2,5414.68,1.654,
GISP2,5419.70,1.754,
GISP2,5424.71,1.839,
GISP2,5429.73,1.889,
GISP2,5434.75,1.897,
GISP2,5439.77,1.868,
GISP2,5444.80,1.813,
GISP2,5449.82,1.763,
GISP2,5454.85,1.734,
GISP2,5459.88,1.738,
GISP2,5464.91,1.770,
GISP2,5469.94,1.813,
GISP2,5474.98,1.857,
GISP2,5480.02,1.893,
GISP2,5485.06,1.919,
GISP2,5490.10,1.928,
GISP2,5495.15,1.919,
GISP2,5500.19,1.912,
GISP2,5505.24,1.923,
GISP2,5510.29,1.961,
GISP2,5515.34,1.991,
GISP2,5520.39,1.974,
GISP2,5525.44,1.906,
GISP2,5530.49,1.827,
GISP2,5535.55,1.782,
GISP2,5540.60,1.779,
GISP2,5545.66,1.794,
GISP2,5550.71,1.803,
GISP2,5555.77,1.810,
GISP2,5560.83,1.829,
GISP2,5565.89,1.851,
GISP2,5570.95,1.847,
GISP2,5576.00,1.799,
GISP2,5581.06,1.726,
GISP2,5586.12,1.674,
GISP2,5591.18,1.692,
GISP2,5596.24,1.787,
GISP2,5601.30,1.906,
GISP2,5606.36,2.000,
GISP2,5611.41,2.040,
GISP2,5616.47,2.039,
GISP2,5621.53,2.012,
GISP2,5626.58,1.971,
GISP2,5631.64,1.917,
GISP2,5636.69,1.856,
GISP2,5641.75,1.809,
GISP2,5646.80,1.786,
GISP2,5651.85,1.771,
GISP2,5656.90,1.748,
GISP2,5661.96,1.711,
GISP2,5667.00,1.671,
GISP2,5672.05,1.632,
GISP2,5677.10,1.586,
GISP2,5682.15,1.522,
GISP2,5687.19,1.453,
GISP2,5692.24,1.407,
GISP2,5697.28,1.407,
GISP2,5702.33,1.445,
GISP2,5707.37,1.505,
GISP2,5712.41,1.585,
GISP2,5717.45,1.697,
GISP2,5722.48,1.852,
GISP2,5727.52,2.030,
GISP2,5732.56,2.184,
GISP2,5737.59,2.263,
GISP2,5742.62,2.237,
GISP2,5747.65,2.111,
GISP2,5752.68,1.918,
GISP2,5757.71,1.692,
GISP2,5762.74,1.474,
GISP2,5767.76,1.304,
GISP2,5772.78,1.232,
GISP2,5777.81,1.279,
GISP2,5782.83,1.421,
GISP2,5787.84,1.590,
GISP2,5792.86,1.731,
GISP2,5797.87,1.829,
GISP2,5802.89,1.885,
GISP2,5807.90,1.917,
GISP2,5812.91,1.940,
GISP2,5817.92,1.967,
GISP2,5822.92,1.998,
GISP2,5827.92,2.020,
GISP2,5832.93,2.028,
GISP2,5837.92,2.018,
GISP2,5842.92,1.998,
GISP2,5847.92,1.977,
GISP2,5852.91,1.959,
GISP2,5857.90,1.958,
GISP2,5862.89,1.990,
GISP2,5867.88,2.058,
GISP2,5872.86,2.151,
GISP2,5877.84,2.223,
GISP2,5882.82,2.231,
GISP2,5887.80,2.165,
GISP2,5892.77,2.054,
GISP2,5897.74,1.947,
GISP2,5902.72,1.861,
GISP2,5907.68,1.777,
GISP2,5912.65,1.680,
GISP2,5917.61,1.593,
GISP2,5922.57,1.565,
GISP2,5927.52,1.599,
GISP2,5932.48,1.645,
GISP2,5937.43,1.657,
GISP2,5942.38,1.613,
GISP2,5947.33,1.512,
GISP2,5952.28,1.352,
GISP2,5957.22,1.145,
GISP2,5962.16,0.927,
GISP2,5967.10,0.750,
GISP2,5972.04,0.650,
GISP2,5976.98,0.625,
GISP2,5981.91,0.661,
GISP2,5986.84,0.759,
GISP2,5991.78,0.912,
GISP2,5996.71,1.084,
GISP2,6001.64,1.212,
GISP2,6006.57,1.260,
GISP2,6011.50,1.242,
GISP2,6016.42,1.187,
GISP2,6021.35,1.110,
GISP2,6026.28,1.014,
GISP2,6031.20,0.909,
GISP2,6036.13,0.825,
GISP2,6041.06,0.811,
GISP2,6045.98,0.892,
GISP2,6050.91,1.052,
GISP2,6055.83,1.260,
GISP2,6060.76,1.490,
GISP2,6065.69,1.718,
GISP2,6070.61,1.912,
GISP2,6075.54,2.042,
GISP2,6080.47,2.104,
GISP2,6085.40,2.119,
GISP2,6090.33,2.114,
GISP2,6095.26,2.092,
GISP2,6100.20,2.049,
GISP2,6105.13,1.996,
GISP2,6110.07,1.981,
GISP2,6115.00,2.017,
GISP2,6119.94,2.068,
GISP2,6124.88,2.081,
GISP2,6129.83,2.042,
GISP2,6134.77,1.970,
GISP2,6139.72,1.871,
GISP2,6144.67,1.734,
GISP2,6149.62,1.556,
GISP2,6154.57,1.356,
GISP2,6159.53,1.177,
GISP2,6164.49,1.042,
GISP2,6169.45,0.962,
GISP2,6174.42,0.941,
GISP2,6179.38,0.978,
GISP2,6184.36,1.058,
GISP2,6189.33,1.150,
GISP2,6194.31,1.225,
GISP2,6199.29,1.267,
GISP2,6204.28,1.273,
GISP2,6209.26,1.245,
GISP2,6214.26,1.182,
GISP2,6219.25,1.106,
GISP2,6224.25,1.059,
GISP2,6229.26,1.070,
GISP2,6234.27,1.144,
GISP2,6239.28,1.267,
GISP2,6244.30,1.426,
GISP2,6249.32,1.596,
GISP2,6254.35,1.743,
GISP2,6259.38,1.830,
GISP2,6264.42,1.839,
GISP2,6269.46,1.794,
GISP2,6274.51,1.740,
GISP2,6279.56,1.706,
GISP2,6284.62,1.684,
GISP2,6289.68,1.652,
GISP2,6294.76,1.597,
GISP2,6299.83,1.532,
GISP2,6304.91,1.480,
GISP2,6309.99,1.455,
GISP2,6315.08,1.455,
GISP2,6320.17,1.463,
GISP2,6325.27,1.486,
GISP2,6330.36,1.547,
GISP2,6335.47,1.654,
GISP2,6340.57,1.775,
GISP2,6345.68,1.856,
GISP2,6350.79,1.867,
GISP2,6355.91,1.808,
GISP2,6361.02,1.700,
GISP2,6366.14,1.567,
GISP2,6371.26,1.436,
GISP2,6376.39,1.339,
GISP2,6381.52,1.286,
GISP2,6386.65,1.274,
GISP2,6391.78,1.295,
GISP2,6396.91,1.324,
GISP2,6402.04,1.357,
GISP2,6407.18,1.384,
GISP2,6412.32,1.388,
GISP2,6417.46,1.379,
GISP2,6422.60,1.396,
GISP2,6427.75,1.459,
GISP2,6432.89,1.542,
GISP2,6438.04,1.613,
GISP2,6443.18,1.665,
GISP2,6448.33,1.707,
GISP2,6453.48,1.750,
GISP2,6458.63,1.775,
GISP2,6463.78,1.752,
GISP2,6468.93,1.698,
GISP2,6474.08,1.655,
GISP2,6479.23,1.626,
GISP2,6484.39,1.573,
GISP2,6489.54,1.464,
GISP2,6494.69,1.324,
GISP2,6499.84,1.218,
GISP2,6504.99,1.180,
GISP2,6510.15,1.210,
GISP2,6515.30,1.291,
GISP2,6520.45,1.410,
GISP2,6525.60,1.550,
GISP2,6530.75,1.677,
GISP2,6535.90,1.758,
GISP2,6541.04,1.771,
GISP2,6546.19,1.720,
GISP2,6551.34,1.628,
GISP2,6556.48,1.517,
GISP2,6561.63,1.413,
GISP2,6566.77,1.345,
GISP2,6571.91,1.342,
GISP2,6577.05,1.419,
GISP2,6582.19,1.584,
GISP2,6587.32,1.815,
GISP2,6592.46,2.057,
GISP2,6597.59,2.241,
GISP2,6602.72,2.322,
GISP2,6607.85,2.294,
GISP2,6612.97,2.175,
GISP2,6618.09,1.994,
GISP2,6623.21,1.791,
GISP2,6628.33,1.615,
GISP2,6633.45,1.522,
GISP2,6638.56,1.525,
GISP2,6643.67,1.598,
GISP2,6648.77,1.693,
GISP2,6653.88,1.775,
GISP2,6658.98,1.821,
GISP2,6664.07,1.827,
GISP2,6669.17,1.810,
GISP2,6674.25,1.801,
GISP2,6679.34,1.840,
GISP2,6684.42,1.944,
GISP2,6689.51,2.110,
GISP2,6694.58,2.315,
GISP2,6699.66,2.532,
GISP2,6704.73,2.737,
GISP2,6709.80,2.884,
GISP2,6714.86,2.960,
GISP2,6719.93,2.981,
GISP2,6724.99,2.966,
GISP2,6730.04,2.933,
GISP2,6735.10,2.884,
GISP2,6740.15,2.828,
GISP2,6745.20,2.780,
GISP2,6750.25,2.751,
GISP2,6755.29,2.742,
GISP2,6760.34,2.740,
GISP2,6765.37,2.730,
GISP2,6770.41,2.712,
GISP2,6775.45,2.699,
GISP2,6780.48,2.710,
GISP2,6785.51,2.735,
GISP2,6790.54,2.728,
GISP2,6795.57,2.642,
GISP2,6800.60,2.485,
GISP2,6805.62,2.296,
GISP2,6810.64,2.107,
GISP2,6815.66,1.925,
GISP2,6820.68,1.766,
GISP2,6825.70,1.676,
GISP2,6830.71,1.702,
GISP2,6835.73,1.837,
GISP2,6840.74,2.030,
GISP2,6845.75,2.222,
GISP2,6850.76,2.398,
GISP2,6855.77,2.545,
GISP2,6860.78,2.644,
GISP2,6865.78,2.672,
GISP2,6870.79,2.618,
GISP2,6875.79,2.499,
GISP2,6880.79,2.350,
GISP2,6885.80,2.190,
GISP2,6890.80,2.037,
GISP2,6895.80,1.911,
GISP2,6900.80,1.840,
GISP2,6905.79,1.844,
GISP2,6910.79,1.920,
GISP2,6915.79,2.032,
GISP2,6920.78,2.118,
GISP2,6925.78,2.140,
GISP2,6930.78,2.103,
GISP2,6935.77,2.045,
GISP2,6940.77,2.008,
GISP2,6945.76,2.011,
GISP2,6950.75,2.047,
GISP2,6955.75,2.105,
GISP2,6960.74,2.184,
GISP2,6965.73,2.267,
GISP2,6970.73,2.312,
GISP2,6975.72,2.271,
GISP2,6980.72,2.124,
GISP2,6985.71,1.923,
GISP2,6990.70,1.740,
GISP2,6995.70,1.616,
GISP2,7000.69,1.539,
GISP2,7005.69,1.487,
GISP2,7010.68,1.456,
GISP2,7015.68,1.442,
GISP2,7020.67,1.426,
GISP2,7025.67,1.393,
GISP2,7030.67,1.350,
GISP2,7035.67,1.332,
GISP2,7040.66,1.364,
GISP2,7045.66,1.439,
GISP2,7050.66,1.532,
GISP2,7055.67,1.632,
GISP2,7060.67,1.736,
GISP2,7065.67,1.816,
GISP2,7070.67,1.829,
GISP2,7075.68,1.745,
GISP2,7080.69,1.578,
GISP2,7085.69,1.372,
GISP2,7090.70,1.185,
GISP2,7095.71,1.064,
GISP2,7100.73,1.037,
GISP2,7105.74,1.111,
GISP2,7110.75,1.261,
GISP2,7115.77,1.443,
GISP2,7120.79,1.625,
GISP2,7125.81,1.786,
GISP2,7130.83,1.907,
GISP2,7135.85,1.970,
GISP2,7140.88,1.967,
GISP2,7145.90,1.921,
GISP2,7150.93,1.861,
GISP2,7155.96,1.797,
GISP2,7160.99,1.717,
GISP2,7166.03,1.616,
GISP2,7171.07,1.517,
GISP2,7176.11,1.450,
GISP2,7181.15,1.430,
GISP2,7186.19,1.450,
GISP2,7191.24,1.509,
GISP2,7196.28,1.593,
GISP2,7201.33,1.682,
GISP2,7206.39,1.757,
GISP2,7211.44,1.812,
GISP2,7216.50,1.869,
GISP2,7221.55,1.937,
GISP2,7226.61,2.019,
GISP2,7231.67,2.109,
GISP2,7236.74,2.193,
GISP2,7241.80,2.268,
GISP2,7246.87,2.325,
GISP2,7251.93,2.360,
GISP2,7257.00,2.381,
GISP2,7262.07,2.405,
GISP2,7267.14,2.447,
GISP2,7272.21,2.498,
GISP2,7277.29,2.554,
GISP2,7282.36,2.610,
GISP2,7287.44,2.644,
GISP2,7292.51,2.633,
GISP2,7297.59,2.565,
GISP2,7302.67,2.475,
GISP2,7307.75,2.401,
GISP2,7312.83,2.356,
GISP2,7317.91,2.320,
GISP2,7322.99,2.290,
GISP2,7328.07,2.311,
GISP2,7333.16,2.407,
GISP2,7338.24,2.542,
GISP2,7343.32,2.639,
GISP2,7348.41,2.665,
GISP2,7353.49,2.658,
GISP2,7358.57,2.656,
GISP2,7363.66,2.646,
GISP2,7368.74,2.594,
GISP2,7373.83,2.503,
GISP2,7378.91,2.420,
GISP2,7383.99,2.368,
GISP2,7389.08,2.329,
GISP2,7394.16,2.272,
GISP2,7399.25,2.190,
GISP2,7404.33,2.107,
GISP2,7409.41,2.041,
GISP2,7414.49,1.990,
GISP2,7419.57,1.944,
GISP2,7424.66,1.893,
GISP2,7429.74,1.827,
GISP2,7434.82,1.723,
GISP2,7439.90,1.576,
GISP2,7444.97,1.416,
GISP2,7450.05,1.290,
GISP2,7455.13,1.229,
GISP2,7460.20,1.225,
GISP2,7465.28,1.270,
GISP2,7470.35,1.373,
GISP2,7475.42,1.545,
GISP2,7480.49,1.765,
GISP2,7485.56,1.976,
GISP2,7490.63,2.133,
GISP2,7495.70,2.237,
GISP2,7500.76,2.323,
GISP2,7505.83,2.405,
GISP2,7510.89,2.467,
GISP2,7515.95,2.488,
GISP2,7521.01,2.478,
GISP2,7526.07,2.465,
GISP2,7531.12,2.478,
GISP2,7536.18,2.537,
GISP2,7541.23,2.637,
GISP2,7546.28,2.743,
GISP2,7551.33,2.818,
GISP2,7556.37,2.832,
GISP2,7561.41,2.776,
GISP2,7566.46,2.667,
GISP2,7571.49,2.515,
GISP2,7576.53,2.322,
GISP2,7581.56,2.107,
GISP2,7586.60,1.907,
GISP2,7591.63,1.770,
GISP2,7596.65,1.712,
GISP2,7601.68,1.720,
GISP2,7606.70,1.775,
GISP2,7611.72,1.851,
GISP2,7616.74,1.939,
GISP2,7621.75,2.037,
GISP2,7626.77,2.146,
GISP2,7631.78,2.260,
GISP2,7636.79,2.354,
GISP2,7641.80,2.409,
GISP2,7646.80,2.423,
GISP2,7651.80,2.430,
GISP2,7656.80,2.476,
GISP2,7661.80,2.569,
GISP2,7666.80,2.687,
GISP2,7671.79,2.801,
GISP2,7676.79,2.892,
GISP2,7681.78,2.966,
GISP2,7686.77,3.022,
GISP2,7691.75,3.052,
GISP2,7696.74,3.036,
GISP2,7701.72,2.970,
GISP2,7706.70,2.891,
GISP2,7711.68,2.839,
GISP2,7716.65,2.809,
GISP2,7721.63,2.759,
GISP2,7726.60,2.662,
GISP2,7731.57,2.560,
GISP2,7736.54,2.509,
GISP2,7741.50,2.540,
GISP2,7746.47,2.636,
GISP2,7751.43,2.758,
GISP2,7756.40,2.892,
GISP2,7761.35,3.025,
GISP2,7766.31,3.124,
GISP2,7771.27,3.161,
GISP2,7776.22,3.129,
GISP2,7781.17,3.053,
GISP2,7786.13,2.968,
GISP2,7791.07,2.909,
GISP2,7796.02,2.891,
GISP2,7800.97,2.905,
GISP2,7805.91,2.915,
GISP2,7810.85,2.880,
GISP2,7815.79,2.775,
GISP2,7820.73,2.620,
GISP2,7825.67,2.462,
GISP2,7830.60,2.319,
GISP2,7835.54,2.194,
GISP2,7840.47,2.072,
GISP2,7845.40,1.954,
GISP2,7850.33,1.864,
GISP2,7855.26,1.824,
GISP2,7860.18,1.832,
GISP2,7865.11,1.856,
GISP2,7870.03,1.865,
GISP2,7874.95,1.868,
GISP2,7879.87,1.878,
GISP2,7884.79,1.911,
GISP2,7889.71,1.971,
GISP2,7894.63,2.040,
GISP2,7899.54,2.120,
GISP2,7904.45,2.221,
GISP2,7909.37,2.344,
GISP2,7914.28,2.470,
GISP2,7919.18,2.567,
GISP2,7924.09,2.627,
GISP2,7929.00,2.664,
GISP2,7933.90,2.696,
GISP2,7938.81,2.730,
GISP2,7943.71,2.756,
GISP2,7948.61,2.752,
GISP2,7953.51,2.703,
GISP2,7958.41,2.590,
GISP2,7963.31,2.405,
GISP2,7968.20,2.152,
GISP2,7973.10,1.848,
GISP2,7977.99,1.532,
GISP2,7982.89,1.250,
GISP2,7987.78,1.037,
GISP2,7992.67,0.920,
GISP2,7997.56,0.889,
GISP2,8002.45,0.923,
GISP2,8007.33,0.985,
GISP2,8012.22,1.053,
GISP2,8017.10,1.129,
GISP2,8021.99,1.216,
GISP2,8026.87,1.316,
GISP2,8031.75,1.421,
GISP2,8036.63,1.506,
GISP2,8041.51,1.550,
GISP2,8046.39,1.542,
GISP2,8051.27,1.473,
GISP2,8056.15,1.331,
GISP2,8061.02,1.119,
GISP2,8065.90,0.864,
GISP2,8070.77,0.599,
GISP2,8075.65,0.367,
GISP2,8080.52,0.193,
GISP2,8085.39,0.076,
GISP2,8090.26,0.013,
GISP2,8095.13,-0.028,
GISP2,8100.00,-0.088,
GISP2,8104.87,-0.206,
GISP2,8109.74,-0.387,
GISP2,8114.60,-0.598,
GISP2,8119.47,-0.804,
GISP2,8124.34,-0.984,
GISP2,8129.20,-1.144,
GISP2,8134.06,-1.290,
GISP2,8138.93,-1.419,
GISP2,8143.79,-1.535,
GISP2,8148.65,-1.642,
GISP2,8153.51,-1.757,
GISP2,8158.37,-1.894,
GISP2,8163.23,-2.025,
GISP2,8168.09,-2.098,
GISP2,8172.95,-2.066,
GISP2,8177.81,-1.906,
GISP2,8182.67,-1.636,
GISP2,8187.53,-1.297,
GISP2,8192.38,-0.927,
GISP2,8197.24,-0.545,
GISP2,8202.09,-0.165,
GISP2,8206.95,0.196,
GISP2,8211.80,0.538,
GISP2,8216.66,0.864,
GISP2,8221.51,1.169,
GISP2,8226.37,1.442,
GISP2,8231.22,1.666,
GISP2,8236.07,1.826,
GISP2,8240.92,1.915,
GISP2,8245.77,1.943,
GISP2,8250.63,1.931,
GISP2,8255.48,1.902,
GISP2,8260.33,1.881,
GISP2,8265.18,1.878,
GISP2,8270.03,1.887,
GISP2,8274.88,1.899,
GISP2,8279.73,1.895,
GISP2,8284.58,1.869,
GISP2,8289.43,1.822,
GISP2,8294.28,1.761,
GISP2,8299.13,1.703,
GISP2,8303.99,1.644,
GISP2,8308.84,1.583,
GISP2,8313.69,1.521,
GISP2,8318.54,1.468,
GISP2,8323.39,1.425,
GISP2,8328.24,1.386,
GISP2,8333.10,1.354,
GISP2,8337.95,1.339,
GISP2,8342.80,1.360,
GISP2,8347.66,1.425,
GISP2,8352.51,1.519,
GISP2,8357.37,1.626,
GISP2,8362.22,1.728,
GISP2,8367.08,1.811,
GISP2,8371.94,1.860,
GISP2,8376.79,1.860,
GISP2,8381.65,1.807,
GISP2,8386.51,1.721,
GISP2,8391.37,1.642,
GISP2,8396.23,1.606,
GISP2,8401.09,1.628,
GISP2,8405.95,1.698,
GISP2,8410.81,1.782,
GISP2,8415.68,1.845,
GISP2,8420.54,1.872,
GISP2,8425.40,1.864,
GISP2,8430.27,1.830,
GISP2,8435.13,1.785,
GISP2,8440.00,1.740,
GISP2,8444.87,1.706,
GISP2,8449.73,1.691,
GISP2,8454.60,1.696,
GISP2,8459.47,1.712,
GISP2,8464.34,1.713,
GISP2,8469.21,1.696,
GISP2,8474.08,1.672,
GISP2,8478.95,1.667,
GISP2,8483.82,1.707,
GISP2,8488.69,1.799,
GISP2,8493.56,1.934,
GISP2,8498.43,2.084,
GISP2,8503.30,2.231,
GISP2,8508.17,2.354,
GISP2,8513.04,2.432,
GISP2,8517.91,2.451,
GISP2,8522.78,2.417,
GISP2,8527.65,2.355,
GISP2,8532.52,2.290,
GISP2,8537.39,2.233,
GISP2,8542.26,2.180,
GISP2,8547.12,2.127,
GISP2,8551.99,2.073,
GISP2,8556.85,2.022,
GISP2,8561.72,1.966,
GISP2,8566.58,1.887,
GISP2,8571.44,1.768,
GISP2,8576.31,1.620,
GISP2,8581.17,1.468,
GISP2,8586.03,1.337,
GISP2,8590.89,1.248,
GISP2,8595.74,1.200,
GISP2,8600.60,1.187,
GISP2,8605.45,1.214,
GISP2,8610.31,1.280,
GISP2,8615.16,1.375,
GISP2,8620.01,1.479,
GISP2,8624.86,1.572,
GISP2,8629.70,1.644,
GISP2,8634.55,1.690,
GISP2,8639.39,1.714,
GISP2,8644.23,1.724,
GISP2,8649.07,1.733,
GISP2,8653.91,1.757,
GISP2,8658.75,1.806,
GISP2,8663.59,1.888,
GISP2,8668.42,2.007,
GISP2,8673.26,2.145,
GISP2,8678.09,2.278,
GISP2,8682.92,2.374,
GISP2,8687.75,2.397,
GISP2,8692.58,2.335,
GISP2,8697.41,2.202,
GISP2,8702.24,2.028,
GISP2,8707.06,1.863,
GISP2,8711.89,1.740,
GISP2,8716.71,1.674,
GISP2,8721.53,1.678,
GISP2,8726.35,1.744,
GISP2,8731.17,1.856,
GISP2,8735.99,1.983,
GISP2,8740.81,2.092,
GISP2,8745.62,2.159,
GISP2,8750.44,2.168,
GISP2,8755.26,2.122,
GISP2,8760.07,2.038,
GISP2,8764.88,1.936,
GISP2,8769.69,1.837,
GISP2,8774.50,1.760,
GISP2,8779.31,1.708,
GISP2,8784.12,1.685,
GISP2,8788.93,1.696,
GISP2,8793.74,1.734,
GISP2,8798.55,1.795,
GISP2,8803.35,1.885,
GISP2,8808.16,2.014,
GISP2,8812.96,2.193,
GISP2,8817.77,2.427,
GISP2,8822.57,2.702,
GISP2,8827.37,2.986,
GISP2,8832.17,3.249,
GISP2,8836.97,3.472,
GISP2,8841.77,3.636,
GISP2,8846.57,3.724,
GISP2,8851.37,3.732,
GISP2,8856.17,3.669,
GISP2,8860.97,3.562,
GISP2,8865.77,3.442,
GISP2,8870.56,3.313,
GISP2,8875.36,3.167,
GISP2,8880.15,3.008,
GISP2,8884.95,2.852,
GISP2,8889.75,2.717,
GISP2,8894.54,2.605,
GISP2,8899.33,2.503,
GISP2,8904.13,2.407,
GISP2,8908.92,2.310,
GISP2,8913.71,2.207,
GISP2,8918.51,2.095,
GISP2,8923.30,1.972,
GISP2,8928.09,1.843,
GISP2,8932.88,1.724,
GISP2,8937.68,1.628,
GISP2,8942.47,1.555,
GISP2,8947.26,1.511,
GISP2,8952.05,1.495,
GISP2,8956.84,1.493,
GISP2,8961.63,1.502,
GISP2,8966.42,1.528,
GISP2,8971.21,1.579,
GISP2,8976.01,1.660,
GISP2,8980.80,1.770,
GISP2,8985.59,1.897,
GISP2,8990.38,2.012,
GISP2,8995.17,2.088,
GISP2,8999.96,2.108,
GISP2,9004.75,2.072,
GISP2,9009.54,2.010,
GISP2,9014.33,1.970,
GISP2,9019.12,2.000,
GISP2,9023.91,2.121,
GISP2,9028.70,2.319,
GISP2,9033.50,2.554,
GISP2,9038.29,2.775,
GISP2,9043.08,2.937,
GISP2,9047.87,3.026,
GISP2,9052.66,3.044,
GISP2,9057.46,3.002,
GISP2,9062.25,2.916,
GISP2,9067.04,2.801,
GISP2,9071.84,2.676,
GISP2,9076.63,2.558,
GISP2,9081.42,2.446,
GISP2,9086.22,2.328,
GISP2,9091.02,2.195,
GISP2,9095.81,2.057,
GISP2,9100.61,1.947,
GISP2,9105.41,1.890,
GISP2,9110.21,1.882,
GISP2,9115.01,1.895,
GISP2,9119.81,1.907,
GISP2,9124.61,1.914,
GISP2,9129.42,1.920,
GISP2,9134.23,1.921,
GISP2,9139.04,1.897,
GISP2,9143.84,1.817,
GISP2,9148.66,1.657,
GISP2,9153.47,1.428,
GISP2,9158.29,1.155,
GISP2,9163.10,0.873,
GISP2,9167.92,0.618,
GISP2,9172.74,0.420,
GISP2,9177.57,0.305,
GISP2,9182.39,0.292,
GISP2,9187.22,0.386,
GISP2,9192.05,0.566,
GISP2,9196.89,0.793,
GISP2,9201.72,1.026,
GISP2,9206.57,1.232,
GISP2,9211.41,1.395,
GISP2,9216.25,1.516,
GISP2,9221.10,1.603,
GISP2,9225.96,1.672,
GISP2,9230.81,1.742,
GISP2,9235.67,1.824,
GISP2,9240.53,1.939,
GISP2,9245.40,2.092,
GISP2,9250.26,2.274,
GISP2,9255.14,2.461,
GISP2,9260.01,2.628,
GISP2,9264.90,2.760,
GISP2,9269.78,2.853,
GISP2,9274.67,2.906,
GISP2,9279.56,2.916,
GISP2,9284.46,2.883,
GISP2,9289.36,2.827,
GISP2,9294.26,2.781,
