time,erb2022_da_temp
-7945,-0.17999506928026673
-7935,-0.16687746904790404
-7925,-0.16675719618797302
-7915,-0.1650919821113348
-7905,-0.14763285219669342
-7895,-0.13084476627409458
-7885,-0.12841481156647208
-7875,-0.1293220045045018
-7865,-0.1268163211643696
-7855,-0.13377711270004514
-7845,-0.1380717363208532
-7835,-0.1405668631196022
-7825,-0.14424023777246475
-7815,-0.16378590650856495
-7805,-0.16082883253693583
-7795,-0.14531835541129115
-7785,-0.12759116291999814
-7775,-0.12166090682148933
-7765,-0.12059643026441336
-7755,-0.1180236591026187
-7745,-0.12271829228848219
-7735,-0.12978742923587563
-7725,-0.13348561525344846
-7715,-0.13972239941358566
-7705,-0.15292463079094887
-7695,-0.1468877419829369
-7685,-0.14720083959400654
-7675,-0.15120451524853706
-7665,-0.14640775695443153
-7655,-0.14002479799091813
-7645,-0.13431664742529395
-7635,-0.14193376339972016
-7625,-0.13602075539529324
-7615,-0.13097732327878478
-7605,-0.1431370750069618
-7595,-0.1475853938609362
-7585,-0.1496901698410511
-7575,-0.14706191606819627
-7565,-0.1439366098493338
-7555,-0.13820839114487168
-7545,-0.1351271979510784
-7535,-0.13037256710231301
-7525,-0.12838489748537538
-7515,-0.12862524203956127
-7505,-0.13307728432118893
-7495,-0.1297370512038469
-7485,-0.13444713130593297
-7475,-0.14206780679523942
-7465,-0.14075311459600928
-7455,-0.15092328935861588
-7445,-0.1546329017728567
-7435,-0.1511075142771006
-7425,-0.1477653905749321
-7415,-0.14009830169379708
-7405,-0.13412947952747345
-7395,-0.1313692927360535
-7385,-0.12349078990519047
-7375,-0.11607569828629494
-7365,-0.11028277222067118
-7355,-0.10729014687240124
-7345,-0.08693492645397782
-7335,-0.06473715603351593
-7325,-0.06691445643082261
-7315,-0.06866601668298246
-7305,-0.08076661825180054
-7295,-0.0939611941576004
-7285,-0.09483802039176227
-7275,-0.0876813167706132
-7265,-0.0817030807957053
-7255,-0.08180003426969053
-7245,-0.06596458051353692
-7235,-0.060912791173905134
-7225,-0.052874071057885885
-7215,-0.05151991359889507
-7205,-0.05066904332488775
-7195,-0.04739392595365643
-7185,-0.05098594818264246
-7175,-0.05854693567380309
-7165,-0.059035468846559525
-7155,-0.05818732036277652
-7145,-0.05671105533838272
-7135,-0.056134617887437344
-7125,-0.03500912664458156
-7115,-0.02061429340392351
-7105,-0.018247847678139806
-7095,-0.022572200163267553
-7085,-0.009353636822197585
-7075,-0.005602282821200788
-7065,-0.004818364512175322
-7055,-0.005640684743411839
-7045,-0.0020262948819436133
-7035,0.004136292700422929
-7025,0.002949559420812875
-7015,0.003629264741903172
-7005,0.013402689364738762
-6995,0.018607657169923186
-6985,5.67855749977756e-05
-6975,-0.004455580812646074
-6965,-0.0347303796588676
-6955,-0.04482677252963185
-6945,-0.042084095999598496
-6935,-0.046879140892997384
-6925,-0.029753182781860232
-6915,-0.014341675443574786
-6905,-0.007032094756141305
-6895,-0.008178116753697395
-6885,-0.01953888055868447
-6875,-0.018724047695286575
-6865,-0.006562504917383194
-6855,-0.012092628399841486
-6845,-0.022012026747688648
-6835,-0.02344254730269313
-6825,-0.02319513913244009
-6815,-0.028052872279658914
-6805,-0.039188237162306905
-6795,-0.038502162322402
-6785,-0.03438715077936649
-6775,-0.03307882091030479
-6765,-0.03354465262964367
-6755,-0.034710836131125695
-6745,-0.037992308381944895
-6735,-0.03387075290083885
-6725,-0.02655619941651821
-6715,-0.022057072957977656
-6705,-0.02000651438720524
-6695,-0.024121353635564446
-6685,-0.029861039714887738
-6675,-0.03284354321658612
-6665,-0.02982887369580567
-6655,-0.022542878170497715
-6645,-0.009576242158800598
-6635,-0.0004822470582439566
-6625,0.0037025994643045124
-6615,0.007858615950681267
-6605,0.006742038764059544
-6595,0.011253293137997389
-6585,0.01744058402255178
-6575,0.011387580772861838
-6565,0.00840800566948019
-6555,0.003490462462650612
-6545,-0.0015817170497030024
