time,wu_tsi
-7945,1360.7841999999996
-7935,1360.6859499999998
-7925,1360.665
-7915,1360.768
-7905,1360.92495
-7895,1361.0785
-7885,1361.1141000000002
-7875,1360.9918
-7865,1360.8466
-7855,1360.76625
-7845,1360.7246000000002
-7835,1360.7524
-7825,1360.8706
-7815,1360.9933500000002
-7805,1361.0429499999998
-7795,1361.0265
-7785,1361.01365
-7775,1361.03325
-7765,1361.0257
-7755,1361.01155
-7745,1361.00725
-7735,1361.0252999999998
-7725,1361.0659999999998
-7715,1361.11275
-7705,1361.0853
-7695,1360.94355
-7685,1360.7653999999998
-7675,1360.6538
-7665,1360.6193
-7655,1360.70235
-7645,1360.92915
-7635,1361.08645
-7625,1360.98615
-7615,1360.8712500000004
-7605,1360.8264000000001
-7595,1360.7614999999998
-7585,1360.6468
-7575,1360.5411499999998
-7565,1360.51335
-7555,1360.6152499999998
-7545,1360.7683000000002
-7535,1360.8442499999999
-7525,1360.8264
-7515,1360.8084999999999
-7505,1360.8469
-7495,1360.8705000000002
-7485,1360.8691999999999
-7475,1360.87325
-7465,1360.89225
-7455,1360.95125
-7445,1360.96235
-7435,1360.8005500000002
-7425,1360.60795
-7415,1360.55465
-7405,1360.6549
-7395,1360.8621500000002
-7385,1361.0250999999998
-7375,1360.9914
-7365,1360.8963
-7355,1360.86805
-7345,1360.86165
-7335,1360.8465500000002
-7325,1360.8618000000001
-7315,1360.91205
-7305,1361.0158500000002
-7295,1361.0797
-7285,1360.9932000000001
-7275,1360.839
-7265,1360.6691999999998
-7255,1360.5690499999998
-7245,1360.5711500000002
-7235,1360.67505
-7225,1360.809
-7215,1360.9102500000001
-7205,1360.9197
-7195,1360.8626
-7185,1360.8108
-7175,1360.74975
-7165,1360.67775
-7155,1360.6203
-7145,1360.63135
-7135,1360.7910499999998
-7125,1361.0432999999998
-7115,1361.1776999999997
-7105,1361.1526999999999
-7095,1361.15885
-7085,1361.22055
-7075,1361.2770500000001
-7065,1361.24945
-7055,1361.2291
-7045,1361.21445
-7035,1361.1834000000001
-7025,1361.1150499999999
-7015,1361.04795
-7005,1360.9959000000001
-6995,1360.9621
-6985,1360.95535
-6975,1360.9749000000002
-6965,1360.96055
-6955,1360.8951
-6945,1360.85205
-6935,1360.89055
-6925,1360.95095
-6915,1360.9278
-6905,1360.83735
-6895,1360.7718
-6885,1360.7931500000002
-6875,1360.8530500000002
-6865,1360.90875
-6855,1360.9518
-6845,1360.9914999999999
-6835,1361.05535
-6825,1361.132
-6815,1361.2107
-6805,1361.1792
-6795,1361.0841500000001
-6785,1361.03135
-6775,1361.09385
-6765,1361.1550499999998
-6755,1361.0875999999998
-6745,1361.02505
-6735,1361.0401500000003
-6725,1361.129
-6715,1361.2233999999999
-6705,1361.2399500000001
-6695,1361.19235
-6685,1361.0826000000002
-6675,1360.9540000000002
-6665,1360.8644500000003
-6655,1360.8175999999999
-6645,1360.7909000000002
-6635,1360.7870999999998
-6625,1360.8609000000001
-6615,1360.9603
-6605,1361.0933
-6595,1361.21855
-6585,1361.27095
-6575,1361.1860000000001
-6565,1361.1125
-6555,1361.1332
-6545,1361.1727999999998
-6535,1361.1822500000003
-6525,1361.1921
-6515,1361.1907999999999
-6505,1361.13685
-6495,1361.0696000000003
-6485,1361.0818
-6475,1361.1432
-6465,1361.1948500000003
-6455,1361.18555
-6445,1361.1043000000002
-6435,1361.0497500000001
-6425,1361.0179
-6415,1360.9359
-6405,1360.82485
-6395,1360.8164000000002
-6385,1360.9326
-6375,1361.11105
-6365,1361.2184
-6355,1361.17045
-6345,1361.11815
-6335,1361.09085
-6325,1361.0276500000002
-6315,1360.92065
-6305,1360.8148000000003
-6295,1360.6819
-6285,1360.5458
-6275,1360.49315
-6265,1360.58055
-6255,1360.7568499999998
-6245,1360.9493
-6235,1361.0858
-6225,1361.0792
-6215,1360.9702000000002
-6205,1360.8869
-6195,1360.82585
-6185,1360.7426999999998
-6175,1360.7352999999998
-6165,1360.82295
-6155,1360.9223000000002
-6145,1360.9841000000001
-6135,1360.9658000000004
-6125,1360.8959
-6115,1360.8483
-6105,1360.85775
-6095,1360.9270499999998
-6085,1361.0277
-6075,1361.0822
-6065,1361.08625
-6055,1361.13425
-6045,1361.2202499999999
-6035,1361.28985
-6025,1361.3011499999998
-6015,1361.2277
-6005,1361.0500000000002
-5995,1360.91685
-5985,1360.9801
-5975,1361.1667
-5965,1361.2699
-5955,1361.2125
-5945,1361.0896500000001
-5935,1360.98055
-5925,1360.8721
-5915,1360.7879
-5905,1360.74415
-5895,1360.73775
-5885,1360.7466
-5875,1360.7917499999999
-5865,1360.8565
-5855,1360.9191999999998
-5845,1361.0146499999998
-5835,1361.15105
-5825,1361.29185
-5815,1361.3799
-5805,1361.45325
-5795,1361.4896
-5785,1361.4983500000003
-5775,1361.4619500000001
-5765,1361.3827
-5755,1361.2651999999998
-5745,1361.14055
-5735,1361.05775
-5725,1361.0522499999997
-5715,1361.1163
-5705,1361.1994
-5695,1361.2673
-5685,1361.3157999999999
-5675,1361.3152
-5665,1361.24115
-5655,1361.1734499999998
-5645,1361.2585000000001
-5635,1361.3594
-5625,1361.2374
-5615,1361.00565
-5605,1360.80825
-5595,1360.6504
-5585,1360.56285
-5575,1360.61015
-5565,1360.7110500000001
-5555,1360.7966999999999
-5545,1360.90185
-5535,1361.0798
-5525,1361.2649999999999
-5515,1361.42395
-5505,1361.51255
-5495,1361.346
-5485,1361.0812999999998
-5475,1360.907
-5465,1360.8099499999998
-5455,1360.7502500000003
-5445,1360.6946
-5435,1360.7625999999998
-5425,1360.96175
-5415,1361.15105
-5405,1361.2409499999999
-5395,1361.3412499999997
-5385,1361.47885
-5375,1361.5901
-5365,1361.5919
-5355,1361.5141999999998
-5345,1361.3544000000002
-5335,1361.0922499999997
-5325,1360.83905
