id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id
1786473082746,1,5,,0,20,,1,14,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082747,1,5,,0,20,,1,15,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082748,1,5,,0,20,,1,16,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082749,1,5,,0,20,,1,17,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082751,1,5,,0,20,,1,18,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082752,1,5,,0,20,,1,19,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082753,1,5,,0,20,,1,20,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082755,1,5,,0,20,,1,21,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082756,1,5,,0,20,,1,22,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082757,1,5,,0,20,,1,23,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082758,1,5,,0,20,,1,24,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082760,1,5,,0,20,,1,25,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082761,1,5,,0,20,,1,26,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082762,1,5,,0,20,,1,27,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082763,1,5,,0,20,,1,28,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082765,1,5,,0,20,,1,29,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082766,1,5,,0,20,,1,30,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082767,1,5,,0,20,,1,31,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082769,1,5,,0,20,,1,32,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082770,1,5,,0,20,,1,33,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082771,1,5,,0,20,,1,34,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082772,1,5,,0,20,,1,35,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082774,1,5,,0,20,,1,36,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082775,1,5,,0,20,,1,37,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082776,1,5,,0,20,,1,38,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082778,1,5,,0,20,,1,39,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082779,1,5,,0,20,,1,40,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082780,1,6,,0,20,,1,-41,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082781,1,6,,0,20,,1,-40,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082783,1,6,,0,20,,1,-39,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082784,1,6,,0,20,,1,-38,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082785,1,6,,0,20,,1,-37,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082786,1,6,,0,20,,1,-36,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082788,1,6,,0,20,,1,-35,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082789,1,6,,0,20,,1,-34,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082790,1,6,,0,20,,1,-33,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082791,1,6,,0,20,,1,-32,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082793,1,6,,0,20,,1,-31,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082794,1,6,,0,20,,1,-30,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082795,1,6,,0,20,,1,-29,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082797,1,6,,0,20,,1,-28,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082798,1,6,,0,20,,1,-27,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082799,1,6,,0,20,,1,-26,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082800,1,6,,0,20,,1,-25,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082802,1,6,,0,20,,1,-24,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082803,1,6,,0,20,,1,-23,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082804,1,6,,0,20,,1,-22,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082806,1,6,,0,20,,1,-21,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082807,1,6,,0,20,,1,-20,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082808,1,6,,0,20,,1,-19,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082809,1,6,,0,20,,1,-18,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082811,1,6,,0,20,,1,-17,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082812,1,6,,0,20,,1,-16,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082813,1,6,,0,20,,1,-15,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082814,1,6,,0,20,,1,-14,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082816,1,6,,0,20,,1,-13,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082817,1,6,,0,20,,1,-12,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082818,1,6,,0,20,,1,-11,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082820,1,6,,0,20,,1,-10,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082821,1,6,,0,20,,1,-9,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082822,1,6,,0,20,,1,-8,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082823,1,6,,0,20,,1,-7,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082825,1,6,,0,20,,1,-6,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082826,1,6,,0,20,,1,-5,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082827,1,6,,0,20,,1,-4,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082828,1,6,,0,20,,1,-3,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082830,1,6,,0,20,,1,-2,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082831,1,6,,0,20,,1,-1,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082832,1,6,,0,20,,1,0,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082833,1,6,,0,20,,1,1,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082835,1,6,,0,20,,1,2,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082836,1,6,,0,20,,1,3,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082837,1,6,,0,20,,1,4,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082839,1,6,,0,20,,1,5,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082840,1,6,,0,20,,1,6,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082841,1,6,,0,20,,1,7,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082842,1,6,,0,20,,1,8,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082844,1,6,,0,20,,1,9,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082845,1,6,,0,20,,1,10,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082846,1,6,,0,20,,1,11,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082847,1,6,,0,20,,1,12,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082849,1,6,,0,20,,1,13,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082850,1,6,,0,20,,1,14,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082851,1,6,,0,20,,1,15,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082853,1,6,,0,20,,1,16,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
