id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id,output_pointer,output_file_exists,to_run
1786473082800,1,6,,0.0,20,,1,-25,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-25.parquet,False,True
1786473082802,1,6,,0.0,20,,1,-24,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-24.parquet,False,True
1786473082803,1,6,,0.0,20,,1,-23,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-23.parquet,False,True
1786473082804,1,6,,0.0,20,,1,-22,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-22.parquet,False,True
1786473082806,1,6,,0.0,20,,1,-21,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-21.parquet,False,True
1786473082807,1,6,,0.0,20,,1,-20,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-20.parquet,False,True
1786473082808,1,6,,0.0,20,,1,-19,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-19.parquet,False,True
1786473082809,1,6,,0.0,20,,1,-18,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-18.parquet,False,True
1786473082811,1,6,,0.0,20,,1,-17,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-17.parquet,False,True
1786473082812,1,6,,0.0,20,,1,-16,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-16.parquet,False,True
1786473082813,1,6,,0.0,20,,1,-15,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-15.parquet,False,True
1786473082814,1,6,,0.0,20,,1,-14,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-14.parquet,False,True
1786473082816,1,6,,0.0,20,,1,-13,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-13.parquet,False,True
1786473082817,1,6,,0.0,20,,1,-12,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-12.parquet,False,True
1786473082818,1,6,,0.0,20,,1,-11,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-11.parquet,False,True
1786473082820,1,6,,0.0,20,,1,-10,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-10.parquet,False,True
1786473082821,1,6,,0.0,20,,1,-9,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-9.parquet,False,True
1786473082822,1,6,,0.0,20,,1,-8,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-8.parquet,False,True
1786473082823,1,6,,0.0,20,,1,-7,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-7.parquet,False,True
1786473082825,1,6,,0.0,20,,1,-6,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-6.parquet,False,True
1786473082826,1,6,,0.0,20,,1,-5,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-5.parquet,False,True
1786473082827,1,6,,0.0,20,,1,-4,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag-4.parquet,False,True
