col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,2,-20,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-19,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-18,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-17,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-16,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-15,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-14,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-13,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-12,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-11,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-10,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-9,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-8,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-7,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-6,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-5,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-4,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-3,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-2,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-1,neither,0,0
Erb22daGMST,Wu18TSI,5,2,0,neither,0,0
Erb22daGMST,Wu18TSI,5,2,1,neither,0,0
Erb22daGMST,Wu18TSI,5,2,2,neither,0,0
Erb22daGMST,Wu18TSI,5,2,3,neither,0,0
Erb22daGMST,Wu18TSI,5,2,4,neither,0,0
Erb22daGMST,Wu18TSI,5,2,5,neither,0,0
Erb22daGMST,Wu18TSI,5,2,6,neither,0,0
Erb22daGMST,Wu18TSI,5,2,7,neither,0,0
Erb22daGMST,Wu18TSI,5,2,8,neither,0,0
Erb22daGMST,Wu18TSI,5,2,9,neither,0,0
Erb22daGMST,Wu18TSI,5,2,10,neither,0,0
Erb22daGMST,Wu18TSI,5,2,11,neither,0,0
Erb22daGMST,Wu18TSI,5,2,12,neither,0,0
Erb22daGMST,Wu18TSI,5,2,13,neither,0,0
Erb22daGMST,Wu18TSI,5,2,14,neither,0,0
Erb22daGMST,Wu18TSI,5,2,15,neither,0,0
Erb22daGMST,Wu18TSI,5,2,16,neither,0,0
Erb22daGMST,Wu18TSI,5,2,17,neither,0,0
Erb22daGMST,Wu18TSI,5,2,18,neither,0,0
Erb22daGMST,Wu18TSI,5,2,19,neither,0,0
Erb22daGMST,Wu18TSI,5,2,20,neither,0,0
Erb22daGMST,Wu18TSI,5,2,21,neither,0,0
Erb22daGMST,Wu18TSI,5,2,22,neither,0,0
Erb22daGMST,Wu18TSI,5,2,23,neither,0,0
Erb22daGMST,Wu18TSI,5,2,24,neither,0,0
Erb22daGMST,Wu18TSI,5,2,25,neither,0,0
Erb22daGMST,Wu18TSI,5,2,26,neither,0,0
