time,NGRIPmartin24Tanom_decavg_temp
-7945,1.6416445806451612
-7935,1.6161445806451615
-7925,1.5589945806451615
-7915,1.4710445806451609
-7905,1.3606945806451614
-7895,1.2410445806451613
-7885,1.1271945806451606
-7875,1.0367945806451608
-7865,0.9910445806451613
-7855,1.0063445806451612
-7845,1.084344580645161
-7835,1.208594580645161
-7825,1.351894580645161
-7815,1.4912945806451612
-7805,1.6131945806451613
-7795,1.7103445806451614
-7785,1.7821445806451615
-7775,1.8326945806451613
-7765,1.8653445806451612
-7755,1.879344580645161
-7745,1.8722445806451615
-7735,1.842594580645161
-7725,1.794344580645161
-7715,1.7393445806451613
-7705,1.6947945806451612
-7695,1.6730945806451616
-7685,1.6740945806451615
-7675,1.6895945806451613
-7665,1.7117945806451615
-7655,1.7385445806451614
-7645,1.768644580645161
-7635,1.7990945806451606
-7625,1.8246945806451613
-7615,1.841194580645161
-7605,1.8471445806451618
-7595,1.8382445806451613
-7585,1.8036445806451615
-7575,1.7337445806451615
-7565,1.6324445806451613
-7555,1.5139445806451612
-7545,1.3936945806451613
-7535,1.2844945806451613
-7525,1.1940445806451612
-7515,1.1245945806451614
-7505,1.0750445806451614
-7495,1.0455945806451616
-7485,1.037144580645161
-7475,1.0480445806451613
-7465,1.0725445806451614
-7455,1.1048445806451612
-7445,1.1436945806451613
-7435,1.1917445806451612
-7425,1.248594580645161
-7415,1.3052945806451612
-7405,1.3460945806451612
-7395,1.357944580645161
-7385,1.3367945806451607
-7375,1.2853945806451614
-7365,1.213144580645161
-7355,1.1335945806451613
-7345,1.0585445806451612
-7335,0.9902945806451613
-7325,0.9231945806451616
-7315,0.8546445806451612
-7305,0.7889445806451612
-7295,0.7358445806451612
-7285,0.7012945806451616
-7275,0.680794580645161
-7265,0.6669945806451612
-7255,0.6544445806451615
-7245,0.639794580645161
-7235,0.6237945806451612
-7225,0.6105445806451613
-7215,0.6050445806451612
-7205,0.6056945806451612
-7195,0.6032945806451611
-7185,0.5884945806451611
-7175,0.5598945806451614
-7165,0.5209445806451611
-7155,0.47464458064516135
-7145,0.42509458064516137
-7135,0.3811445806451612
-7125,0.35369458064516146
-7115,0.3477945806451612
-7105,0.36059458064516137
-7095,0.38499458064516157
-7085,0.4146445806451613
-7075,0.44509458064516116
-7065,0.47344458064516126
-7055,0.49769458064516114
-7045,0.517494580645161
-7035,0.5349445806451611
-7025,0.5530445806451612
-7015,0.5731445806451609
-7005,0.595244580645161
-6995,0.6132945806451613
-6985,0.6184945806451612
-6975,0.6120945806451612
-6965,0.6075945806451615
-6955,0.6191445806451612
-6945,0.6516945806451613
-6935,0.6986445806451613
-6925,0.7452445806451613
-6915,0.7794445806451613
-6905,0.7981945806451614
-6895,0.8035945806451612
-6885,0.8052445806451609
-6875,0.8159445806451611
-6865,0.8444945806451614
-6855,0.8901945806451619
-6845,0.9421945806451615
-6835,0.9842945806451615
-6825,1.0028945806451608
-6815,0.9929445806451609
-6805,0.9638945806451609
-6795,0.932094580645161
-6785,0.909244580645161
-6775,0.8977445806451612
-6765,0.8934945806451615
-6755,0.8920445806451611
-6745,0.8915945806451613
-6735,0.8915945806451613
-6725,0.8899445806451616
-6715,0.8869445806451615
-6705,0.8866945806451614
-6695,0.8963945806451612
