,time,vieira11TSIanom_decavg_tsi__detrendedlinear
0,-7945.0,-0.4024518527822752
1,-7935.0,-0.5642495088442426
2,-7925.0,-0.6099871649061487
3,-7915.0,-0.48578482096805786
4,-7905.0,-0.1563424770299636
5,-7895.0,0.27267986690819057
6,-7885.0,0.2894422108462844
7,-7875.0,-0.07837544521576327
8,-7865.0,-0.2321231012775914
9,-7855.0,-0.18292075733954605
10,-7845.0,-0.18258841340135235
11,-7835.0,-0.2262460694632803
12,-7825.0,-0.2066237255251312
13,-7815.0,-0.0903013815871541
14,-7805.0,0.014820962350905867
15,-7795.0,-0.16879669371099576
16,-7785.0,-0.3039543497729201
17,-7775.0,-0.10334200583470571
18,-7765.0,-0.01505966189664773
19,-7755.0,-0.17486731795863716
20,-7745.0,-0.2168749740204109
21,-7735.0,-0.164842630082462
22,-7725.0,-0.11670028614424152
23,-7715.0,-0.03982794220625244
24,-7705.0,0.019824401731784527
25,-7695.0,-0.05111325432993488
26,-7685.0,-0.23297091039196002
27,-7675.0,-0.42383856645374707
28,-7665.0,-0.5170162225157046
29,-7655.0,-0.4652338785775792
30,-7645.0,-0.3058615346396083
31,-7635.0,-0.13608919070151965
32,-7625.0,-0.13423684676329817
33,-7615.0,-0.2913245028253338
34,-7605.0,-0.29360215888714436
35,-7595.0,-0.24582981494912653
36,-7585.0,-0.38661747101093363
37,-7575.0,-0.5741051270728416
38,-7565.0,-0.7175727831347035
39,-7555.0,-0.6975504391966548
40,-7545.0,-0.41558809525873835
41,-7535.0,-0.046275751320579664
42,-7525.0,0.0603265926176091
43,-7515.0,-0.2133110634443876
44,-7505.0,-0.38722871950622295
45,-7495.0,-0.3155063755681918
46,-7485.0,-0.27584403163016186
47,-7475.0,-0.3044116876919896
48,-7465.0,-0.30350934375387073
49,-7455.0,-0.22119699981574664
50,-7445.0,-0.15741465587767767
51,-7435.0,-0.43559231193958065
52,-7425.0,-0.7987899680014694
53,-7415.0,-0.8653676240635104
54,-7405.0,-0.6769452801254419
55,-7395.0,-0.3821829361873279
56,-7385.0,-0.24078059224923454
57,-7375.0,-0.34882824831116555
58,-7365.0,-0.40084590437290496
59,-7355.0,-0.17281356043479779
60,-7345.0,-0.012801216496851217
61,-7335.0,-0.16668887255878057
62,-7325.0,-0.3367965286206856
63,-7315.0,-0.40754418468243
64,-7305.0,-0.35450184074453
65,-7295.0,-0.25952949680630955
66,-7285.0,-0.22552715286831407
67,-7275.0,-0.2963748089300333
68,-7265.0,-0.43281246499213655
69,-7255.0,-0.5439201210538451
70,-7245.0,-0.596867777115965
71,-7235.0,-0.5363554331778255
72,-7225.0,-0.421793089239725
73,-7215.0,-0.42084074530150506
74,-7205.0,-0.46232840136345477
75,-7195.0,-0.3720960574253178
76,-7185.0,-0.30091371348728746
77,-7175.0,-0.28862136954927653
78,-7165.0,-0.382279025611159
79,-7155.0,-0.5862766816729925
80,-7145.0,-0.5748743377350083
81,-7135.0,-0.32617199379679196
82,-7125.0,-0.0018696498586807386
83,-7115.0,0.22151269407934293
84,-7105.0,0.1344150380174964
85,-7095.0,-0.1599026180445842
86,-7085.0,-0.20775027410639252
87,-7075.0,-0.007707930168330657
88,-7065.0,0.15583441376979842
89,-7055.0,0.2080467577079749
90,-7045.0,0.18753910164603388
91,-7035.0,0.07799144558402474
92,-7025.0,-0.07598621047790478
93,-7015.0,-0.16329386653967587
94,-7005.0,-0.2115315226016365
95,-6995.0,-0.23962917866351402
96,-6985.0,-0.21231683472545354
97,-6975.0,-0.13253449078730828
98,-6965.0,-0.0364821468493135
99,-6955.0,-0.034569802911243536
100,-6945.0,-0.10247745897310967
101,-6935.0,-0.07084511503504218
102,-6925.0,0.03654722890319828
103,-6915.0,0.06274957284110547
104,-6905.0,-0.004638083220709258
105,-6895.0,-0.09742573928274198
106,-6885.0,-0.1253833953445182
107,-6875.0,-0.07266105140649241
108,-6865.0,-0.09665870746826226
109,-6855.0,-0.18260636353028387
110,-6845.0,-0.08966401959216778
111,-6835.0,0.16418832434600628
112,-6825.0,0.4302906682839475
113,-6815.0,0.4404430122221319
114,-6805.0,0.0722353561601593
115,-6795.0,-0.15642229990171413
116,-6785.0,-0.09909995596370615
117,-6775.0,0.14032238797452035
118,-6765.0,0.23910473191267112
119,-6755.0,0.01818707585058299
120,-6745.0,-0.07846058021125384
121,-6735.0,-0.11553823627319645
122,-6725.0,-0.27014589233512687
123,-6715.0,-0.23878354839705992
124,-6705.0,0.10541879554105817
125,-6695.0,0.3574411394793051
126,-6685.0,0.2122534834172382
127,-6675.0,-0.0343341726446135
128,-6665.0,-0.18456182870646112
129,-6655.0,-0.1725794847683496
130,-6645.0,-0.15688714083028268
131,-6635.0,-0.223044796892247
132,-6625.0,-0.2179324529540709
133,-6615.0,-0.12590010901615833
134,-6605.0,-0.02594776507800567
135,-6595.0,0.08572457886011542
136,-6585.0,0.22465692279830568
137,-6575.0,0.18132926673622676
138,-6565.0,0.03755161067446544
139,-6555.0,0.01822395461250101
140,-6545.0,0.03253629855064148
141,-6535.0,0.05336864248869156
142,-6525.0,0.13295098642688694
143,-6515.0,0.21194333036498053
144,-6505.0,0.10263567430304749
145,-6495.0,-0.08133198175887993
146,-6485.0,-0.09757963782088985
147,-6475.0,-0.024187293882754868
148,-6465.0,0.0493750500554056
149,-6455.0,0.02796739399346318
150,-6445.0,-0.09810026206844644
151,-6435.0,-0.04838791813032456
152,-6425.0,0.11978442580771101
153,-6415.0,-0.013493230254184918
154,-6405.0,-0.31572088631607625
155,-6395.0,-0.3792085423779605
156,-6385.0,-0.2395761984399457
157,-6375.0,0.0479261454980807
158,-6365.0,0.272468489436359
159,-6355.0,0.15306083337446014
160,-6345.0,0.06103317731232772
161,-6335.0,0.19405552125043268
162,-6325.0,0.23860786518862215
163,-6315.0,0.030560209126782145
164,-6305.0,-0.19072744693528149
165,-6295.0,-0.336445102997147
166,-6285.0,-0.47804275905895544
167,-6275.0,-0.5585304151208924
168,-6265.0,-0.5017580711828601
169,-6255.0,-0.31050572724466086
170,-6245.0,-0.0681733833067327
171,-6235.0,0.13278896063150736
172,-6225.0,0.25158130456961475
173,-6215.0,0.15964364850770982
174,-6205.0,-0.1177840075542676
175,-6195.0,-0.24187166361617404
176,-6185.0,-0.2582693196780327
177,-6175.0,-0.4624569757400686
178,-6165.0,-0.575864631801882
179,-6155.0,-0.2816622878637184
180,-6145.0,0.14968005607426266
181,-6135.0,0.3525824000123796
182,-6125.0,0.24210474395044468
183,-6115.0,-0.052902912111485345
184,-6105.0,-0.13489056817327316
185,-6095.0,-0.06600822423534757
186,-6085.0,0.047114119702750604
187,-6075.0,0.3058664636408316
188,-6065.0,0.3757888075790873
189,-6055.0,0.2797111515171755
190,-6045.0,0.3697534954551101
191,-6035.0,0.42034583939328407
192,-6025.0,0.38772818333144976
193,-6015.0,0.42191052726944556
194,-6005.0,0.25221287120764224
195,-5995.0,-0.15897478485427358
196,-5985.0,-0.265592440916177
197,-5975.0,0.03445990302176864
198,-5965.0,0.31979224696004416
199,-5955.0,0.2313345908979932
200,-5945.0,0.02949693483616328
201,-5935.0,-0.10611072122576176
202,-5925.0,-0.23067837728759316
203,-5915.0,-0.3419360333496052
204,-5905.0,-0.40104368941140656
205,-5895.0,-0.42338134547350215
206,-5885.0,-0.41072900153526326
207,-5875.0,-0.3217666575973305
208,-5865.0,-0.2554443136590806
209,-5855.0,-0.24310196972096854
210,-5845.0,-0.18907962578304166
211,-5835.0,-0.0029172818449516996
212,-5825.0,0.2347750620933225
213,-5815.0,0.33540740603134994
214,-5805.0,0.38717974996950055
215,-5795.0,0.44623209390746077
216,-5785.0,0.47015443784566735
217,-5775.0,0.4167767817837237
218,-5765.0,0.27958912572169503
219,-5755.0,0.07742146965978873
220,-5745.0,-0.08292618640197419
221,-5735.0,-0.10630384246394511
222,-5725.0,-0.08902149852579985
223,-5715.0,-0.08301915458782436
224,-5705.0,-0.02777681064956708
225,-5695.0,0.08568553328835478
226,-5685.0,0.19044787722664147
227,-5675.0,0.23661022116463132
228,-5665.0,0.11101256510267211
229,-5655.0,-0.09648509095919242
230,-5645.0,-0.11130274702117474
231,-5635.0,0.03773959691695623
232,-5625.0,0.13609194085505572
233,-5615.0,0.03613428479316308
234,-5605.0,-0.18341337126874604
235,-5595.0,-0.4257610273306163
236,-5585.0,-0.617388683392531
237,-5575.0,-0.6539363394544474
238,-5565.0,-0.5227139955163452
239,-5555.0,-0.32092165157838154
240,-5545.0,-0.13331930764028926
241,-5535.0,0.030913036297916807
242,-5525.0,0.13314538023599728
243,-5515.0,0.22454772417413615
244,-5505.0,0.35159006811210525
245,-5495.0,0.23886241205039402
246,-5485.0,-0.031535244011597297
247,-5475.0,-0.20514290007353325
248,-5465.0,-0.31012055613548456
249,-5455.0,-0.39787821219725644
250,-5445.0,-0.4764858682591651
251,-5435.0,-0.4200635243211586
252,-5425.0,-0.19158118038305078
253,-5415.0,0.059821163554942616
254,-5405.0,0.1686335074930084
255,-5395.0,0.19294585143113985
256,-5385.0,0.3143681953692009
257,-5375.0,0.46171053930730394
258,-5365.0,0.5179328832455881
259,-5355.0,0.563405227183501
260,-5345.0,0.5241075711217065
261,-5335.0,0.20038991505972983
262,-5325.0,-0.20848774100210649
263,-5315.0,-0.42013539706395236
264,-5305.0,-0.48892305312587037
265,-5295.0,-0.5130107091878677
266,-5285.0,-0.509428365249694
267,-5275.0,-0.46010602131172434
268,-5265.0,-0.38533367737366286
269,-5255.0,-0.3180013334354619
270,-5245.0,-0.23431898949738608
271,-5235.0,-0.15495664555931718
272,-5225.0,-0.11415430162120963
273,-5215.0,-0.13412195768314986
274,-5205.0,-0.11800961374500638
275,-5195.0,0.066722730193056
276,-5185.0,0.2806050741311907
277,-5175.0,0.40599741806923284
278,-5165.0,0.5514297620073834
279,-5155.0,0.6018521059455317
280,-5145.0,0.44005444988356424
281,-5135.0,0.2698867938215833
282,-5125.0,0.2092991377596533
283,-5115.0,0.3768314816977131
284,-5105.0,0.697953825635895
285,-5095.0,0.7386161695739013
286,-5085.0,0.5446885135121093
287,-5075.0,0.41412085745019245
288,-5065.0,0.3333532013882802
289,-5055.0,0.17394554532641776
290,-5045.0,-0.03982211073553256
291,-5035.0,-0.11070976679737818
292,-5025.0,0.035302577140672114
293,-5015.0,0.3149849210786606
294,-5005.0,0.45930726501688496
295,-4995.0,0.3945496089547966
296,-4985.0,0.246801952893054
297,-4975.0,0.07007429683103727
298,-4965.0,-0.01323335923082844
299,-4955.0,0.04430898470730624
300,-4945.0,0.1961913286453154
301,-4935.0,0.37633367258337036
302,-4925.0,0.4631660165214513
303,-4915.0,0.4469383604596182
304,-4905.0,0.4990107043976934
305,-4895.0,0.5786830483358891
306,-4885.0,0.48805539227385997
307,-4875.0,0.20746773621190254
308,-4865.0,-0.03677991984994537
309,-4855.0,-0.1180275759117825
310,-4845.0,-0.19477523197361246
311,-4835.0,-0.3824428880355206
312,-4825.0,-0.5301105440974652
313,-4815.0,-0.5581382001595194
314,-4805.0,-0.5229058562214461
315,-4795.0,-0.46411351228328424
316,-4785.0,-0.41480116834506187
317,-4775.0,-0.22076882440706017
318,-4765.0,0.20564351953108967
319,-4755.0,0.5393358634691403
320,-4745.0,0.5051082074072781
321,-4735.0,0.32434055134522954
322,-4725.0,0.2827928952834313
323,-4715.0,0.27026523922157897
324,-4705.0,0.15619758315961293
325,-4695.0,0.12312992709777802
326,-4685.0,0.2402222710358572
327,-4675.0,0.4890246149738211
328,-4665.0,0.6022169589119699
329,-4655.0,0.3719893028499676
330,-4645.0,0.2298316467882089
331,-4635.0,0.27743399072620106
332,-4625.0,0.2576363346642865
333,-4615.0,0.17401867860229392
334,-4605.0,0.26572102254058483
335,-4595.0,0.4519633664787002
336,-4585.0,0.3953157104165997
337,-4575.0,0.16789805435477875
338,-4565.0,0.17387039829283002
339,-4555.0,0.3390027422310376
340,-4545.0,0.3342050861689956
341,-4535.0,0.17327743010710536
342,-4525.0,-0.028220225954673467
343,-4515.0,-0.12184788201663169
344,-4505.0,-0.07992553807862332
345,-4495.0,0.07040680585943396
346,-4485.0,0.29127914979765573
347,-4475.0,0.5205714937357648
348,-4465.0,0.6921338376738817
349,-4455.0,0.5205361816118732
350,-4445.0,0.21255852554994734
351,-4435.0,0.1478608694881622
352,-4425.0,0.034793213426172684
353,-4415.0,-0.22199444263584722
354,-4405.0,-0.2597220986977404
355,-4395.0,-0.10865975475947978
356,-4385.0,0.020492589178619083
357,-4375.0,0.13777493311667335
358,-4365.0,0.19875727705476304
359,-4355.0,0.08518962099289891
360,-4345.0,0.04586196493095268
361,-4335.0,0.25679430886903215
362,-4325.0,0.4758766528069984
363,-4315.0,0.5019989967451075
364,-4305.0,0.3792613406832033
365,-4295.0,0.23933368462127125
366,-4285.0,0.24118602855949267
367,-4275.0,0.3469683724974779
368,-4265.0,0.38966071643558864
369,-4255.0,0.3063530603737228
370,-4245.0,0.16754540431191897
371,-4235.0,0.05289774824982574
372,-4225.0,0.03453009218793872
373,-4215.0,0.1740724361261806
374,-4205.0,0.4479847800641851
375,-4195.0,0.5892671240023539
376,-4185.0,0.4719594679403827
377,-4175.0,0.46426181187838655
378,-4165.0,0.47999415581658
379,-4155.0,0.19010649975468336
380,-4145.0,-0.019251156307259792
381,-4135.0,0.10249118763090279
382,-4125.0,0.35224353156896915
383,-4115.0,0.5444658755069931
384,-4105.0,0.515338219445215
385,-4095.0,0.20571056338313493
386,-4085.0,-0.03494709267868201
387,-4075.0,-0.04152474874054993
388,-4065.0,0.03865759519749494
389,-4055.0,0.18917993913552722
390,-4045.0,0.4078522830736192
391,-4035.0,0.6216846270116527
392,-4025.0,0.7353369709497771
393,-4015.0,0.6756393148878738
394,-4005.0,0.5874216588261264
395,-3995.0,0.42849400276418886
396,-3985.0,0.19335634670230506
397,-3975.0,0.08961869064040633
398,-3965.0,0.1220010345783992
399,-3955.0,0.31928337851660804
400,-3945.0,0.5888057224545549
401,-3935.0,0.5275380663927501
402,-3925.0,0.34106041033079326
403,-3915.0,0.36611275426887546
404,-3905.0,0.3748150982068552
405,-3895.0,0.30632744214508933
406,-3885.0,0.3067697860832327
407,-3875.0,0.32626213002125515
408,-3865.0,0.32698447395937374
409,-3855.0,0.39160681789736823
410,-3845.0,0.3660791618355959
411,-3835.0,0.10666150577362238
412,-3825.0,-0.07791615028835655
413,-3815.0,-0.04601380635028868
414,-3805.0,0.1414785375878538
415,-3795.0,0.5174008815259221
416,-3785.0,0.7072232254640939
417,-3775.0,0.5065655694022405
418,-3765.0,0.4146579133402598
419,-3755.0,0.5546502572782751
420,-3745.0,0.7550226012164133
421,-3735.0,0.6752449451545027
422,-3725.0,0.4229872890926417
423,-3715.0,0.3900396330307311
424,-3705.0,0.40149197696881644
425,-3695.0,0.19162432090679654
426,-3685.0,0.03553666484496483
427,-3675.0,0.1852690087831726
428,-3665.0,0.47622135272112887
429,-3655.0,0.5728436966592761
430,-3645.0,0.294826040597424
431,-3635.0,-0.018601615464611587
432,-3625.0,0.04522072847358369
433,-3615.0,0.26563307241160256
434,-3605.0,0.3618454163496482
435,-3595.0,0.3985177602877238
436,-3585.0,0.3261701042259263
437,-3575.0,0.2152824481638897
438,-3565.0,0.14913479210212746
439,-3555.0,0.09991713604014005
440,-3545.0,0.13786947997816712
441,-3535.0,0.2719918239164509
442,-3525.0,0.4016841678545506
443,-3515.0,0.5280365117924428
444,-3505.0,0.6210088557307104
445,-3495.0,0.6011311996687704
446,-3485.0,0.41145354360693476
447,-3475.0,0.06663588754502524
448,-3465.0,-0.1017817685170539
449,-3455.0,-0.05194942457878021
450,-3445.0,-0.019307080640761642
451,-3435.0,0.09104526329728155
452,-3425.0,0.31177760723540204
453,-3415.0,0.34866995117337696
454,-3405.0,0.23707229511154126
455,-3395.0,0.14213463904970725
456,-3385.0,0.03923698298773412
457,-3375.0,-0.015610673074136105
458,-3365.0,-0.06198832913601793
459,-3355.0,-0.14439598519788227
460,-3345.0,-0.17409364125981286
461,-3335.0,-0.19625129732168078
462,-3325.0,-0.2402089533837608
463,-3315.0,-0.17211660944565965
464,-3305.0,-0.0020342655074441773
465,-3295.0,0.2064180784305302
466,-3285.0,0.4152804223686064
467,-3275.0,0.2835027663067886
468,-3265.0,0.0006851102447771595
469,-3255.0,-0.021922545817091466
470,-3245.0,0.016439798121037394
471,-3235.0,0.10615214205912298
472,-3225.0,0.21314448599723634
473,-3215.0,0.015306829935311822
474,-3205.0,-0.16846082612666582
475,-3195.0,0.010071517811588687
476,-3185.0,0.28651386174957183
477,-3175.0,0.2630262056876512
478,-3165.0,0.027958549625818105
479,-3155.0,0.006060893563975878
480,-3145.0,0.06772323750194036
481,-3135.0,0.11949558144009093
482,-3125.0,0.2985279253782197
483,-3115.0,0.29622026931625756
484,-3105.0,0.23061261325426885
485,-3095.0,0.3829049571923798
486,-3085.0,0.3146673011304374
487,-3075.0,0.03367964506858058
488,-3065.0,0.022581989006755787
489,-3055.0,0.16594433294490277
490,-3045.0,0.26949667688283396
491,-3035.0,0.2989890208210748
492,-3025.0,0.3168213647589684
493,-3015.0,0.37410370869707726
494,-3005.0,0.32111605263528586
495,-2995.0,0.21664839657341112
496,-2985.0,0.2506607405113814
497,-2975.0,0.29731308444949833
498,-2965.0,0.21406542838770853
499,-2955.0,0.0671577723256643
500,-2945.0,0.034560116263779486
501,-2935.0,0.10123246020182776
502,-2925.0,0.060614804139955236
503,-2915.0,0.134167148078141
504,-2905.0,0.3729194920162402
505,-2895.0,0.37653183595433803
506,-2885.0,0.22413417989228485
507,-2875.0,0.1267565238304722
508,-2865.0,0.05465886776849829
509,-2855.0,-0.039838788293309724
510,-2845.0,-0.11851644435526903
511,-2835.0,0.006295899582873327
512,-2825.0,0.2270382435209685
513,-2815.0,0.30452058745900906
514,-2805.0,0.31351293139716624
515,-2795.0,0.23985527533526563
516,-2785.0,-0.0019423807266289728
517,-2775.0,-0.166180036788575
518,-2765.0,-0.21303769285060922
519,-2755.0,-0.38511534891254273
520,-2745.0,-0.5828930049743914
521,-2735.0,-0.5873706610363318
522,-2725.0,-0.5243983170982642
523,-2715.0,-0.628465973160012
524,-2705.0,-0.7270736292219024
525,-2695.0,-0.6172612852838602
526,-2685.0,-0.46257894134587163
527,-2675.0,-0.3554565974076316
528,-2665.0,-0.25737425346953235
529,-2655.0,-0.1580519095316081
530,-2645.0,0.010750434406655879
531,-2635.0,0.24832277834477834
532,-2625.0,0.2737651222827852
533,-2615.0,0.0460274662208629
534,-2605.0,0.018119810158960387
535,-2595.0,0.19627215409703735
536,-2585.0,0.3348044980351008
537,-2575.0,0.3887268419732801
538,-2565.0,0.4518691859113733
539,-2555.0,0.45689152984932196
540,-2545.0,0.32478387378742785
541,-2535.0,0.32930621772550195
542,-2525.0,0.4774185616637072
543,-2515.0,0.4840509056016838
544,-2505.0,0.36189324953990676
545,-2495.0,0.20481559347807332
546,-2485.0,0.1504579374161028
547,-2475.0,0.16996028135410018
548,-2465.0,0.13671262529226497
549,-2455.0,0.17887496923034935
550,-2445.0,0.2589973131683183
551,-2435.0,0.2655896571066232
552,-2425.0,0.34737200104472127
553,-2415.0,0.5257043449827985
554,-2405.0,0.5625066889207733
555,-2395.0,0.5646790328588689
556,-2385.0,0.6531113767970029
557,-2375.0,0.6234637207351734
558,-2365.0,0.3242260646732365
559,-2355.0,-0.14510159138877332
560,-2345.0,-0.4117492474506829
561,-2335.0,-0.44235690351258977
562,-2325.0,-0.38089455957457513
563,-2315.0,-0.3733422156364203
564,-2305.0,-0.4769098716982935
565,-2295.0,-0.500117527760239
566,-2285.0,-0.3522851838220088
567,-2275.0,-0.11168283988403296
568,-2265.0,0.08234950405419608
569,-2255.0,0.17229184799215566
570,-2245.0,0.3087841919303673
571,-2235.0,0.48704653586839397
572,-2225.0,0.5867288798065463
573,-2215.0,0.4797912237445413
574,-2205.0,0.3461535676826446
575,-2195.0,0.383865911620823
