,time,seierstad14gisp2d18o1kyrfir
0,-8045,-0.006630409463631082
1,-8035,-0.1227447466035515
2,-8025,-0.26292795022785886
3,-8015,-0.42643742292944425
4,-8005,-0.4311364513444352
5,-7995,-0.2416347115633085
6,-7985,-0.07326232522684006
7,-7975,0.06929629273688584
8,-7965,0.16601691387563736
9,-7955,0.20668348352351817
10,-7945,0.22521904997010878
11,-7935,0.21670208444539824
12,-7925,0.1975465737732494
13,-7915,0.1653167014826163
14,-7905,0.07517502208161225
15,-7895,-0.08593353980942933
16,-7885,-0.17670684112704838
17,-7875,-0.18157101689246868
18,-7865,-0.13611582916979878
19,-7855,-0.02921400834478452
20,-7845,0.03583987875962759
21,-7835,0.04949873163853573
22,-7825,0.06282089631476287
23,-7815,0.07557132501718963
24,-7805,0.1702553580887219
25,-7795,0.36492366052530084
26,-7785,0.4288505842490526
27,-7775,0.3327250174702966
28,-7765,0.17892626790344304
29,-7755,-0.04556227748468333
30,-7745,-0.13517814806126732
31,-7735,-0.060129554006463366
32,-7725,0.02719827168309573
33,-7715,0.12932276438731546
34,-7705,0.17277516506534352
35,-7695,0.1442212009625678
36,-7685,0.10293683641719459
37,-7675,0.04594418490310714
38,-7665,0.08777611529314856
39,-7655,0.25012066207169253
40,-7645,0.26129108724254013
41,-7635,0.0874397550697768
42,-7625,-0.09927766709498853
43,-7615,-0.3019189500077022
44,-7605,-0.3159935444544798
45,-7595,-0.09974106192598445
46,-7585,0.046214192208561114
47,-7575,0.10606692857684377
48,-7565,0.10116446850555282
49,-7555,0.01686238469197894
50,-7545,-0.01085432630616133
51,-7535,0.030462740750637665
52,-7525,0.01346495650992205
53,-7515,-0.07493161614458813
54,-7505,-0.21387307201361483
55,-7495,-0.4146796348076751
56,-7485,-0.5412041182290592
57,-7475,-0.5770079805181524
58,-7465,-0.5026143589360891
59,-7455,-0.2935290639299284
60,-7445,-0.1250833441971772
61,-7435,-0.006365824546176346
62,-7425,0.09299498382896676
63,-7415,0.1686718812066733
64,-7405,0.2271748455455791
65,-7395,0.26471409568460674
66,-7385,0.2715615543662264
67,-7375,0.24087339142718658
68,-7365,0.1849342189784341
69,-7355,0.09819752922749204
70,-7345,0.06829575404896432
71,-7335,0.10799496647237516
72,-7325,0.17649973278531494
73,-7315,0.28025048270346475
74,-7305,0.3057752886626349
75,-7295,0.235709708099336
76,-7285,0.17843194507940321
77,-7275,0.1369287903330061
78,-7265,0.07224597204739108
79,-7255,-0.02062147804509845
80,-7245,-0.07252400571915685
81,-7235,-0.07418991064285414
82,-7225,-0.12376980598151717
83,-7215,-0.23177729525849472
84,-7205,-0.30658881677416133
85,-7195,-0.34068860797620004
86,-7185,-0.30780631190711
87,-7175,-0.1929067151510744
88,-7165,-0.09087105312619917
89,-7155,-0.00453628634870188
90,-7145,0.0058054886601450984
91,-7135,-0.07653457061887972
92,-7125,-0.15591942526020983
93,-7115,-0.23150413502495495
94,-7105,-0.19927579046816346
95,-7095,-0.035291775080368376
96,-7085,0.05291880224813809
97,-7075,0.04866434860803304
98,-7065,-0.015465450112441867
99,-7055,-0.15266230255647303
100,-7045,-0.276450878797229
101,-7035,-0.38379199741178993
102,-7025,-0.4336973507158432
103,-7015,-0.41347483166727494
104,-7005,-0.2830364642545641
105,-6995,-0.017778517453457654
106,-6985,0.10232860673338429
107,-6975,0.04513476938053802
108,-6965,0.028716381562358867
109,-6955,0.06205022454448214
110,-6945,0.05170708639689613
111,-6935,-0.012009438001780573
112,-6925,-0.08437708830712748
113,-6915,-0.1673622359012601
114,-6905,-0.08336059505740964
115,-6895,0.2046361246319586
116,-6885,0.3647035508841875
117,-6875,0.3683277527390527
118,-6865,0.28679058454847994
119,-6855,0.10115165879521398
120,-6845,0.06682108682212784
121,-6835,0.21733613242992672
122,-6825,0.3942437063397014
123,-6815,0.6033233425139057
124,-6805,0.6587409244295805
125,-6795,0.5262551801086568
126,-6785,0.4258564340055738
127,-6775,0.3645576308840911
128,-6765,0.3623837210759563
129,-6755,0.4322610162473647
130,-6745,0.41596592794472426
131,-6735,0.29423233143331673
132,-6725,0.11327281586740379
133,-6715,-0.14016497037370984
134,-6705,-0.2705089894831249
135,-6695,-0.2504817573584502
136,-6685,-0.23780646068223144
137,-6675,-0.23419998341762735
138,-6665,-0.19860882893176424
139,-6655,-0.12408035519465518
140,-6645,-0.04927889715551225
141,-6635,0.025786044421547347
142,-6625,-0.019332542551087517
143,-6615,-0.21141705833979718
144,-6605,-0.3346160154615204
145,-6595,-0.3737116965100551
146,-6585,-0.30575451771843076
147,-6575,-0.1070298338723737
148,-6565,-0.028623191745418546
149,-6555,-0.09735415205716234
150,-6545,-0.2044576499728594
151,-6535,-0.3583640699348717
152,-6525,-0.35352260657460055
153,-6515,-0.15473336897134438
154,-6505,-0.034818027546056424
155,-6495,-0.0113296915983441
156,-6485,-0.027395474315632565
157,-6475,-0.09175388601344209
158,-6465,-0.07643250527585109
159,-6455,0.03626192430501132
160,-6445,0.08000619446321816
161,-6435,0.039476777711561425
162,-6425,-0.03850450710865258
163,-6415,-0.16216772473457858
164,-6405,-0.24113928851471572
165,-6395,-0.2653968039358869
166,-6385,-0.12785888295208125
167,-6375,0.207415553224244
168,-6365,0.3239203461480061
169,-6355,0.1730846626294389
170,-6345,0.08368012439452036
171,-6335,0.06951768667970659
172,-6325,0.10554615831477157
173,-6315,0.20295493527230113
174,-6305,0.27287635684092315
175,-6295,0.30926989253229553
176,-6285,0.26192915651585175
177,-6275,0.11242730104537475
178,-6265,-0.06109660318392013
179,-6255,-0.26394120875878335
180,-6245,-0.34233515517207375
181,-6235,-0.26852562087193155
182,-6225,-0.21426480763229622
183,-6215,-0.18378101145212372
184,-6205,-0.14918196911907325
185,-6195,-0.10949639437165176
186,-6185,-0.03870623281770619
187,-6175,0.07017657474238996
188,-6165,0.16745666860462935
189,-6155,0.25067826623959344
190,-6145,0.31116241586190174
191,-6135,0.34398790812251273
192,-6125,0.3530750897857369
193,-6115,0.3331489184073285
194,-6105,0.24105021992220577
195,-6095,0.060785322470483794
196,-6085,-0.1533120366581049
197,-6075,-0.40874528720759395
