time,doering22T15Ngoujon_decavg_temp
-7945,1.232800000000002
-7935,0.8428000000000022
-7925,1.291800000000003
-7915,0.7808000000000019
-7905,0.43780000000000285
-7895,0.6808000000000023
-7885,0.8278000000000008
-7875,0.8218000000000005
-7865,1.1708000000000007
-7855,1.453800000000002
-7845,1.599800000000001
-7835,1.8318000000000003
-7825,1.9348
-7815,1.7298000000000036
-7805,1.7948000000000013
-7795,1.8587999999999996
-7785,1.780800000000002
-7775,1.4808000000000012
-7765,1.4357999999999995
-7755,1.1008000000000022
-7745,1.5027999999999997
-7735,1.413800000000001
-7725,1.0418000000000012
-7715,0.6118000000000023
-7705,0.37480000000000135
-7695,0.3968000000000016
-7685,0.5268000000000015
-7675,0.7258000000000004
-7665,0.9948000000000023
-7655,0.8398000000000021
-7645,0.6618000000000022
-7635,0.6117999999999997
-7625,0.4368000000000025
-7615,0.38480000000000114
-7605,0.6658000000000017
-7595,1.0698000000000016
-7585,1.3318000000000003
-7575,1.3418
-7565,1.3238000000000012
-7555,1.2278000000000011
-7545,1.0848000000000004
-7535,1.0118000000000018
-7525,0.8598000000000008
-7515,0.5988000000000024
-7505,0.35180000000000167
-7495,0.16380000000000017
-7485,0.4148000000000005
-7475,0.6798000000000011
-7465,0.5147999999999993
-7455,0.3728000000000007
-7445,0.1437999999999997
-7435,0.3188000000000004
-7425,0.7028000000000016
-7415,0.9288000000000007
-7405,0.740800000000001
-7395,0.6138000000000021
-7385,0.6168000000000022
-7375,0.5508000000000024
-7365,0.42880000000000074
-7355,0.21680000000000188
-7345,0.47380000000000155
-7335,0.7428000000000026
-7325,1.1247999999999996
-7315,1.5198000000000027
-7305,1.4298000000000028
-7295,0.8708
-7285,0.8178000000000027
-7275,0.8628000000000009
-7265,0.8008000000000006
-7255,0.7878000000000025
-7245,0.7798000000000025
-7235,0.6118000000000023
-7225,0.1208000000000009
-7215,0.37780000000000147
-7205,0.6518000000000015
-7195,0.7538000000000027
-7185,0.8948000000000018
-7175,0.6398000000000019
-7165,0.16780000000000062
-7155,0.06180000000000252
-7145,0.19180000000000152
-7135,0.7508000000000008
-7125,1.1677999999999988
-7115,0.8768000000000002
-7105,0.5878000000000014
-7095,0.7168000000000019
-7085,0.8188000000000013
-7075,1.0058000000000016
-7065,1.2247999999999992
-7055,1.0838000000000028
-7045,0.5408000000000017
-7035,0.6438000000000015
-7025,0.6508000000000012
-7015,0.5628000000000011
-7005,0.4308000000000005
-6995,0.2168000000000001
-6985,0.10380000000000056
-6975,0.34380000000000255
-6965,0.559800000000001
-6955,0.671800000000002
-6945,0.7528000000000006
-6935,0.7077999999999998
-6925,0.6368000000000018
-6915,0.19980000000000064
-6905,-0.2981999999999987
-6895,-0.41919999999999913
-6885,-0.42519999999999847
-6875,-0.413199999999998
-6865,-0.5131999999999977
-6855,-0.3241999999999994
-6845,-0.06619999999999937
-6835,0.04380000000000184
-6825,0.11780000000000257
-6815,0.15080000000000204
-6805,0.18080000000000052
-6795,0.06280000000000108
-6785,-0.10519999999999907
-6775,-0.2411999999999992
-6765,-0.08519999999999772
-6755,0.03180000000000138
-6745,0.1388000000000007
-6735,0.21680000000000188
-6725,0.32580000000000187
-6715,0.4598000000000013
-6705,0.5188000000000015
-6695,0.4418000000000015
-6685,0.4278000000000022
-6675,0.40380000000000216
-6665,0.10880000000000045
-6655,0.1368000000000018
-6645,0.2918000000000003
-6635,0.32480000000000153
-6625,0.1838000000000024
-6615,-0.07619999999999738
-6605,0.41380000000000194
-6595,1.128800000000001
-6585,1.014800000000001
-6575,0.8228000000000009
-6565,0.5188000000000015
-6555,0.44280000000000275
-6545,0.8628000000000009
-6535,0.5608000000000013
-6525,-0.0741999999999976
-6515,-0.45119999999999916
-6505,-0.5471999999999984
-6495,-0.35219999999999807
-6485,-0.1371999999999991
-6475,0.051800000000000956
-6465,-0.0121999999999991
-6455,-0.036199999999998234
-6445,-0.007199999999999207
-6435,0.2218
-6425,0.41579999999999995
-6415,0.5148000000000019
-6405,0.5078000000000014
-6395,0.4308000000000023
-6385,0.36680000000000224
-6375,0.3728000000000007
-6365,0.5908000000000015
-6355,0.7548000000000012
-6345,0.5168000000000017
-6335,0.22380000000000155
-6325,0.3188000000000013
-6315,0.5718000000000014
-6305,0.5108000000000015
-6295,0.07280000000000086
-6285,-0.36019999999999897
-6275,-0.9041999999999986
-6265,-1.0231999999999983
-6255,-0.1271999999999993
-6245,0.019800000000000928
-6235,0.06480000000000263
-6225,0.16279999999999983
-6215,0.06280000000000108
-6205,0.026799999999999713
-6195,0.09980000000000189
-6185,0.11480000000000068
-6175,0.1598000000000015
-6165,0.17880000000000074
-6155,0.29180000000000206
-6145,0.461800000000002
-6135,0.5728000000000009
-6125,0.5198000000000009
-6115,0.3838000000000008
-6105,0.28880000000000194
-6095,0.34080000000000155
-6085,0.3578000000000019
-6075,0.3558000000000021
-6065,0.3608000000000029
-6055,0.4227999999999996
-6045,0.44980000000000064
-6035,0.22180000000000177
-6025,0.13580000000000148
-6015,0.6268000000000002
-6005,0.6778000000000022
-5995,0.37680000000000113
-5985,0.5318000000000023
-5975,0.6838000000000024
-5965,0.43380000000000063
-5955,0.06980000000000164
-5945,0.18180000000000263
-5935,0.3398000000000012
-5925,0.25180000000000113
-5915,0.1748000000000003
-5905,0.2538000000000027
-5895,0.727800000000002
-5885,1.035800000000001
-5875,1.1348000000000011
-5865,1.1398000000000001
-5855,0.9768000000000017
-5845,0.8248000000000015
-5835,0.7808000000000002
-5825,0.8108000000000013
-5815,0.8218000000000014
-5805,0.7758000000000012
-5795,0.5707999999999993
-5785,0.3318000000000012
-5775,0.1258000000000008
-5765,0.057800000000001184
-5755,0.010800000000001475
-5745,0.07780000000000076
-5735,0.17780000000000218
-5725,0.31680000000000064
-5715,0.38480000000000114
-5705,0.4458000000000011
-5695,0.41880000000000184
-5685,0.4028000000000018
-5675,0.36780000000000257
-5665,0.36980000000000235
-5655,0.5408000000000017
-5645,0.7188000000000017
-5635,0.8288000000000011
-5625,0.8588000000000022
-5615,0.7288000000000023
-5605,0.5538000000000007
-5595,0.7508000000000026
-5585,1.0888000000000018
-5575,1.2318000000000024
-5565,1.2678000000000003
-5555,1.2358000000000038
-5545,1.1498000000000017
-5535,0.7858000000000018
-5525,0.631800000000001
-5515,0.522800000000001
-5505,0.453800000000002
-5495,0.37780000000000147
-5485,0.35080000000000044
-5475,0.3498000000000019
-5465,0.3848000000000029
-5455,0.37980000000000125
-5445,0.37480000000000135
-5435,0.34080000000000155
-5425,0.31780000000000097
-5415,0.24580000000000268
-5405,0.24480000000000235
-5395,0.38780000000000125
-5385,0.7558000000000007
-5375,0.9568000000000021
-5365,0.7348000000000008
-5355,0.6388000000000007
-5345,0.7308000000000003
-5335,0.7368000000000006
-5325,0.49980000000000047
-5315,0.21579999999999977
-5305,0.08080000000000176
-5295,0.0378000000000025
-5285,0.17180000000000195
-5275,0.15580000000000194
-5265,0.0038000000000009138
-5255,-0.04119999999999813
-5245,0.25780000000000136
-5235,0.18980000000000086
-5225,0.07180000000000053
-5215,-0.15119999999999845
-5205,-0.3191999999999977
-5195,-0.18619999999999948
-5185,0.08380000000000098
-5175,0.05380000000000251
-5165,-0.13219999999999743
-5155,-0.2911999999999981
-5145,-0.2121999999999975
-5135,-0.4671999999999983
-5125,-0.7201999999999984
-5115,-0.6301999999999985
-5105,-0.5871999999999984
-5095,-0.44119999999999937
-5085,-0.18019999999999925
-5075,-0.12019999999999875
-5065,-0.259199999999999
-5055,-0.13019999999999943
-5045,-0.05120000000000058
-5035,-0.08819999999999961
-5025,-0.1991999999999976
-5015,-0.12119999999999909
-5005,-0.032199999999997786
-4995,-0.288199999999998
-4985,-0.5121999999999991
-4975,-0.5081999999999978
-4965,-0.36519999999999886
-4955,-0.20019999999999794
-4945,-0.10419999999999785
-4935,-0.19519999999999893
-4925,-0.2911999999999981
-4915,-0.3191999999999995
-4905,-0.047199999999998354
-4895,0.3628000000000009
-4885,0.35380000000000056
-4875,0.2408000000000028
-4865,0.1338000000000017
-4855,-0.10419999999999874
-4845,-0.3871999999999991
-4835,-0.7201999999999975
-4825,-0.8821999999999992
-4815,-0.9301999999999984
-4805,-1.0021999999999993
-4795,-0.815199999999999
-4785,-0.634199999999999
-4775,-0.47520000000000007
-4765,-0.44619999999999926
-4755,-0.4751999999999983
-4745,-0.2831999999999981
-4735,-0.147199999999998
-4725,-0.21119999999999983
-4715,-0.4831999999999983
-4705,-0.623199999999998
-4695,-0.6051999999999991
-4685,-0.4621999999999984
-4675,-0.21919999999999984
-4665,0.03180000000000138
-4655,-0.10619999999999852
-4645,-0.2791999999999977
-4635,-0.3351999999999995
-4625,-0.10619999999999852
-4615,0.10080000000000044
-4605,-0.1321999999999992
-4595,-0.16420000000000012
-4585,-0.05019999999999847
-4575,0.057800000000001184
-4565,0.02480000000000171
-4555,-0.2121999999999984
-4545,-0.5261999999999976
-4535,-0.8091999999999988
-4525,-0.23019999999999818
-4515,0.352800000000002
-4505,0.1858000000000004
-4495,-0.04019999999999868
-4485,-0.23119999999999852
-4475,-0.2821999999999978
-4465,-0.4181999999999979
-4455,-0.578199999999998
-4445,-0.7641999999999989
-4435,-0.9151999999999978
-4425,-0.9651999999999985
-4415,-0.9741999999999988
-4405,-0.9381999999999984
-4395,-0.8321999999999985
-4385,-0.719199999999999
-4375,-0.6811999999999987
-4365,-0.522199999999998
-4355,-0.4181999999999988
-4345,-0.3451999999999984
-4335,-0.30719999999999903
-4325,-0.5441999999999982
-4315,-0.19719999999999782
-4305,0.5088000000000017
-4295,0.6888000000000014
-4285,0.3678000000000008
-4275,0.07480000000000153
-4265,-0.3611999999999993
-4255,-0.6031999999999975
-4245,-0.32119999999999926
-4235,-0.14019999999999921
-4225,-0.018199999999999328
-4215,0.16080000000000183
-4205,0.2248000000000019
-4195,0.17880000000000074
-4185,-0.008199999999999541
-4175,-0.29919999999999813
-4165,-0.956199999999999
-4155,-0.9591999999999983
-4145,-0.21819999999999862
-4135,0.3118000000000025
-4125,-0.017199999999998106
-4115,-0.32319999999999904
-4105,-0.2751999999999981
-4095,-0.22719999999999896
-4085,-0.24019999999999886
-4075,-0.4521999999999995
-4065,-0.7631999999999994
-4055,-0.7781999999999982
