,time,NGRIPmartin24Tanom_decavg_temp__detrendedlinear
0,-8045,-0.48743698555728976
1,-8035,-0.2925617029179548
2,-8025,-0.10733642027862
3,-8015,0.05253886236071503
4,-8005,0.18226414500004973
5,-7995,0.279339427639385
6,-7985,0.3499147102787199
7,-7975,0.40263999291805463
8,-7965,0.4413652755573896
9,-7955,0.4647405581967248
10,-7945,0.46976584083605966
11,-7935,0.4502911234753948
12,-7925,0.3994664061147297
13,-7915,0.31744168875406453
14,-7905,0.21181697139339928
15,-7895,0.09549225403273454
16,-7885,-0.01663246332793067
17,-7875,-0.10720718068859592
18,-7865,-0.15543189804926083
19,-7855,-0.14370661540992602
20,-7845,-0.06868133277059085
21,-7835,0.055093949868744385
22,-7825,0.2008192325080791
23,-7815,0.34444451514741425
24,-7805,0.47156979778674923
25,-7795,0.5744450804260834
26,-7785,0.6516703630654193
27,-7775,0.7071456457047542
28,-7765,0.7445209283440888
29,-7755,0.7635462109834239
30,-7745,0.7616714936227589
31,-7735,0.7373467762620933
32,-7725,0.693622058901429
33,-7715,0.641647341540764
34,-7705,0.5982226241800985
35,-7695,0.5769479068194339
36,-7685,0.5789731894587691
37,-7675,0.5964984720981032
38,-7665,0.6213237547374382
39,-7655,0.6505990373767734
40,-7645,0.683524320016109
41,-7635,0.7170996026554435
42,-7625,0.7465248852947783
43,-7615,0.7670501679341131
44,-7605,0.7771254505734486
45,-7595,0.7730507332127834
46,-7585,0.7446760158521184
47,-7575,0.6816012984914535
48,-7565,0.5859265811307881
49,-7555,0.47145186377012305
50,-7545,0.353727146409458
51,-7535,0.2459524290487929
52,-7525,0.1564277116881283
53,-7515,0.08790299432746318
54,-7505,0.03947827696679784
55,-7495,0.0109535596061332
56,-7485,0.003428842245467578
57,-7475,0.015554124884802789
58,-7465,0.04207940752413819
59,-7455,0.07680469016347269
60,-7445,0.1179799728028077
61,-7435,0.16795525544214263
62,-7425,0.22713053808147743
63,-7415,0.28745582072081266
64,-7405,0.3336811033601479
65,-7395,0.3518563859994823
66,-7385,0.3370316686388173
67,-7375,0.2914569512781524
68,-7365,0.2237322339174872
69,-7355,0.14730751655682228
70,-7345,0.0743827991961572
71,-7335,0.008658081835491771
72,-7325,-0.055216635525173086
73,-7315,-0.12064135288583788
74,-7305,-0.18391607024650303
75,-7295,-0.23579078760716787
76,-7285,-0.26921550496783264
77,-7275,-0.28769022232849806
78,-7265,-0.29886493968916317
79,-7255,-0.30828965704982836
80,-7245,-0.31961437441049334
81,-7235,-0.3325890917711585
82,-7225,-0.3433138091318235
83,-7215,-0.3467885264924888
84,-7205,-0.3434132438531534
85,-7195,-0.34198796121381836
86,-7185,-0.35216267857448336
87,-7175,-0.37653739593514857
88,-7165,-0.4115621132958136
89,-7155,-0.4542368306564786
90,-7145,-0.5006615480171437
91,-7135,-0.5426862653778086
92,-7125,-0.5692109827384737
93,-7115,-0.5742857000991388
94,-7105,-0.5600604174598041
95,-7095,-0.5334351348204689
96,-7085,-0.501059852181134
97,-7075,-0.46748456954179884
98,-7065,-0.4358092869024641
99,-7055,-0.4080340042631292
100,-7045,-0.3848087216237941
101,-7035,-0.36423343898445903
102,-7025,-0.3433081563451241
103,-7015,-0.3203828737057892
104,-7005,-0.2954575910664541
105,-6995,-0.2734823084271194
106,-6985,-0.2636570257877844
107,-6975,-0.26623174314844933
108,-6965,-0.2687064605091143
109,-6955,-0.25623117786977967
110,-6945,-0.2227558952304447
111,-6935,-0.1736806125911099
112,-6925,-0.12325532995177424
113,-6915,-0.08443004731243975
114,-6905,-0.06115476467310477
115,-6895,-0.051529482033769725
116,-6885,-0.04715419939443488
117,-6875,-0.034828916755099915
118,-6865,-0.005353634115764727
119,-6855,0.04197164852356994
120,-6845,0.09699693116290509
121,-6835,0.14392221380224024
122,-6825,0.16834749644157498
123,-6815,0.16432277908090942
124,-6805,0.13939806172024483
125,-6795,0.1102233443595797
126,-6785,0.08909862699891491
127,-6775,0.07962390963824983
128,-6765,0.07789919227758446
129,-6755,0.0793744749169194
130,-6745,0.08184975755625468
131,-6735,0.08487504019558956
132,-6725,0.08655032283492448
133,-6715,0.08657560547425946
134,-6705,0.08885088811359432
135,-6695,0.1001761707529294
136,-6685,0.12595145339226432
137,-6675,0.1644767360315993
138,-6665,0.20895201867093416
139,-6655,0.25127730131026915
140,-6645,0.2849025839496042
141,-6635,0.30742786658893895
142,-6625,0.3204031492282744
143,-6615,0.3230284318676089
144,-6605,0.31095371450694387
145,-6595,0.280428997146279
146,-6585,0.2309042797856138
147,-6575,0.16642956242494877
148,-6565,0.09510484506428374
149,-6555,0.02438012770361886
150,-6545,-0.03954458965704655
151,-6535,-0.09311930701771143
152,-6525,-0.13424402437837624
153,-6515,-0.16101874173904163
154,-6505,-0.1722434590997064
155,-6495,-0.1702681764603715
156,-6485,-0.15684289382103644
157,-6475,-0.12781761118170176
158,-6465,-0.07429232854236667
159,-6455,0.007882954096968264
160,-6445,0.11120823673630342
161,-6435,0.22268351937563802
162,-6425,0.3297588020149731
163,-6415,0.42088408465430804
164,-6405,0.4823593672936435
165,-6395,0.5034846499329779
166,-6385,0.48620993257231326
167,-6375,0.4421352152116478
168,-6365,0.38681049785098276
169,-6355,0.332985780490318
170,-6345,0.2870610631296535
171,-6335,0.24653634576898775
172,-6325,0.20026162840832273
173,-6315,0.13638691104765788
174,-6305,0.05771219368699243
175,-6295,-0.01886252367367236
176,-6285,-0.08253724103433768
177,-6275,-0.1326619583950026
178,-6265,-0.16888667575566751
179,-6255,-0.1869613931163323
180,-6245,-0.1861861104769975
181,-6235,-0.17626082783766273
182,-6225,-0.1683855451983276
183,-6215,-0.16841026255899272
184,-6205,-0.17518497991965765
185,-6195,-0.18325969728032265
186,-6185,-0.18393441464098803
187,-6175,-0.1670091320016529
188,-6165,-0.12943384936231794
189,-6155,-0.07645856672298335
190,-6145,-0.01743328408364797
191,-6135,0.03754199855568685
192,-6125,0.07856728119502199
193,-6115,0.0973425638343568
194,-6105,0.09561784647369187
195,-6095,0.08294312911302693
196,-6085,0.06336841175236185
197,-6075,0.03444369439169659
198,-6065,-0.0059310229689684135
199,-6055,-0.058305740329633426
200,-6045,-0.12268045769029823
201,-6035,-0.19815517505096358
202,-6025,-0.2795798924116286
203,-6015,-0.35660460977229347
204,-6005,-0.4190293271329586
205,-5995,-0.4615540444936239
206,-5985,-0.4835287618542887
207,-5975,-0.487303479214954
208,-5965,-0.47867819657561883
209,-5955,-0.46160291393628383
210,-5945,-0.4314776312969488
211,-5935,-0.3788523486576141
212,-5925,-0.29822706601827886
213,-5915,-0.19275178337894405
214,-5905,-0.06897650073960926
215,-5895,0.06799878189972608
216,-5885,0.208774064539061
217,-5875,0.3364493471783956
218,-5865,0.435274629817731
219,-5855,0.4976499124570657
220,-5845,0.5275251950964011
221,-5835,0.536700477735736
222,-5825,0.5373757603750706
223,-5815,0.5341510430144054
224,-5805,0.5227763256537408
225,-5795,0.4949016082930753
226,-5785,0.4445768909324104
227,-5775,0.3757521735717455
228,-5765,0.29932745621108037
229,-5755,0.22685273885041513
230,-5745,0.16617802148975014
231,-5735,0.12085330412908513
232,-5725,0.09117858676842028
233,-5715,0.07010386940775515
234,-5705,0.04247915204708996
235,-5695,-0.005295565313575112
236,-5685,-0.07482028267424012
237,-5675,-0.15254500003490512
238,-5665,-0.40256971739557
239,-5655,-0.6662944347562352
240,-5645,-0.6753691521169003
241,-5635,-0.6673938694775654
242,-5625,-0.6520185868382303
243,-5615,-0.6354433041988954
244,-5605,-0.6203180215595605
245,-5595,-0.6022427389202253
246,-5585,-0.5706674562808903
247,-5575,-0.5169421736415557
248,-5565,-0.43991689100222064
249,-5555,-0.3473916083628854
250,-5545,-0.2529663257235508
251,-5535,-0.17374104308421567
252,-5525,-0.11851576044488055
253,-5515,-0.08054047780554585
254,-5505,-0.04121519516621075
255,-5495,0.01436008747312445
256,-5485,0.08173537011245902
257,-5475,0.1404106527517941
258,-5465,0.1711359353911288
259,-5455,0.16966121803046375
260,-5445,0.14358650066979894
261,-5435,0.10221178330913383
262,-5425,0.05063706594846873
263,-5415,-0.0053376514121963314
264,-5405,-0.06086236877286133
265,-5395,-0.11628708613352634
266,-5385,-0.17496180349419133
267,-5375,-0.24188652085485618
268,-5365,-0.32026123821552166
269,-5355,-0.4065859555761864
270,-5345,-0.4914106729368515
271,-5335,-0.5674353902975168
272,-5325,-0.6347101076581816
273,-5315,-0.6995848250188466
274,-5305,-0.7673595423795119
275,-5295,-0.8346342597401768
276,-5285,-0.8882589771008417
277,-5275,-0.9148336944615068
278,-5265,-0.9094084118221719
279,-5255,-0.8782831291828368
280,-5245,-0.8318578465435019
281,-5235,-0.772982563904167
282,-5225,-0.6993072812648319
283,-5215,-0.6059319986254971
284,-5205,-0.49045671598616214
285,-5195,-0.35938143334682704
286,-5185,-0.22740615070749226
287,-5175,-0.10848086806815749
288,-5165,-0.011605585428822174
289,-5155,0.054669697210512735
290,-5145,0.0841449798498477
291,-5135,0.08047026248918265
292,-5125,0.05889554512851736
293,-5115,0.034270827767852285
294,-5105,0.010396110407187686
295,-5095,-0.018178606953477727
296,-5085,-0.05745332431414263
297,-5075,-0.10892804167480752
298,-5065,-0.1659027590354729
299,-5055,-0.21522747639613793
300,-5045,-0.24080219375680256
301,-5035,-0.23302691111746787
302,-5025,-0.19790162847813297
303,-5015,-0.1533263458387979
304,-5005,-0.11155106319946295
305,-4995,-0.07162578056012814
306,-4985,-0.026550497920793115
307,-4975,0.027524784718542028
308,-4965,0.08835006735787676
309,-4955,0.15272534999721188
310,-4945,0.2169506326365469
311,-4935,0.2731259152758816
312,-4925,0.3154011979152167
313,-4915,0.3426764805545519
314,-4905,0.3563017631938863
315,-4895,0.3583770458332216
316,-4885,0.35305232847255663
317,-4875,0.34562761111189144
318,-4865,0.3349528937512265
319,-4855,0.3137781763905614
320,-4845,0.2757034590298961
321,-4835,0.22322874166923135
322,-4825,0.16615402430856618
323,-4815,0.11557930694790097
324,-4805,0.07925458958723608
325,-4795,0.05902987222657097
326,-4785,0.05110515486590628
327,-4775,0.04768043750524109
328,-4765,0.04100572014457593
329,-4755,0.02743100278391064
330,-4745,0.007206285423245973
331,-4735,-0.017568431937419193
332,-4725,-0.04454314929808412
333,-4715,-0.07286786665874923
334,-4705,-0.10464258401941451
335,-4695,-0.14266730138007966
336,-4685,-0.18879201874074436
337,-4675,-0.23876673610140964
338,-4665,-0.2851414534620744
339,-4655,-0.32216617082273946
340,-4645,-0.34459088818340466
341,-4635,-0.3462156055440695
342,-4625,-0.3243903229047346
343,-4615,-0.2808150402653995
344,-4605,-0.21823975762606462
345,-4595,-0.1380144749867298
346,-4585,-0.04403919234739484
347,-4575,0.05373609029194015
348,-4565,0.14021137293127506
349,-4555,0.2031866555706101
350,-4545,0.23581193820994506
351,-4535,0.23823722084928
352,-4525,0.2149125034886148
353,-4515,0.17353778612794968
354,-4505,0.12511306876728479
355,-4495,0.07973835140661967
356,-4485,0.045063634045954704
357,-4475,0.022588916685289506
358,-4465,0.007864199324624677
359,-4455,-0.005910518036040369
360,-4445,-0.02548523539670544
361,-4435,-0.05350995275737036
362,-4425,-0.08873467011803537
363,-4415,-0.12715938747870048
364,-4405,-0.1643341048393656
365,-4395,-0.19750882220003074
366,-4385,-0.2271335395606957
367,-4375,-0.25510825692136074
368,-4365,-0.28443297428202574
369,-4355,-0.3172076916426909
370,-4345,-0.3512824090033557
371,-4335,-0.3761571263640209
372,-4325,-0.37988184372468603
373,-4315,-0.35860656108535105
374,-4305,-0.3186312784460159
375,-4295,-0.2726059958066812
376,-4285,-0.2306307131673463
377,-4275,-0.19855543052801106
378,-4265,-0.17658014788867626
