time,NGRIP1seierstad14d18O_decavg_d18O
-6705,-34.537625000000006
-6695,-34.51512500000001
-6685,-34.484375
-6675,-34.446875
-6665,-34.464375
-6655,-34.526875
-6645,-34.582499999999996
-6635,-34.63250000000001
-6625,-34.637125000000005
-6615,-34.604625000000006
-6605,-34.56249999999999
-6595,-34.51249999999999
-6585,-34.46799999999999
-6575,-34.428
-6565,-34.493874999999996
-6555,-34.646375
-6545,-34.786500000000004
-6535,-34.9165
-6525,-34.979124999999996
-6515,-34.986625
-6505,-34.9295
-6495,-34.81949999999999
-6485,-34.699875
-6475,-34.572375
-6465,-34.486125
-6455,-34.43362499999999
-6445,-34.47462499999999
-6435,-34.592124999999996
-6425,-34.61062499999999
-6415,-34.54812499999999
-6405,-34.39625
-6395,-34.17125
-6385,-34.114
-6375,-34.194
-6365,-34.334500000000006
-6355,-34.524499999999996
-6345,-34.696625
-6335,-34.854124999999996
-6325,-34.87137500000001
-6315,-34.773875000000004
-6305,-34.68737500000001
-6295,-34.609875
-6285,-34.657500000000006
-6275,-34.8075
-6265,-34.851625000000006
-6255,-34.80912500000001
-6245,-34.78037500000001
-6235,-34.76287500000001
-6225,-34.785250000000005
-6215,-34.840250000000005
-6205,-34.789375
-6195,-34.651875000000004
-6185,-34.629875000000006
-6175,-34.702375
-6165,-34.77762499999999
-6155,-34.855125
-6145,-34.825374999999994
-6135,-34.707875
-6125,-34.58624999999999
-6115,-34.46124999999999
-6105,-34.44487499999999
-6095,-34.517375
-6085,-34.65724999999999
-6075,-34.85225
-6065,-34.87949999999999
-6055,-34.7695
-6045,-34.764
-6035,-34.843999999999994
-6025,-34.950125
-6015,-35.07762500000001
-6005,-35.03600000000001
-5995,-34.85600000000001
-5985,-34.809375
-5975,-34.871875
-5965,-34.911
-5955,-34.931
-5945,-34.89875
-5935,-34.823750000000004
-5925,-34.79825
-5915,-34.81325
-5905,-34.8035
-5895,-34.7735
-5885,-34.662375000000004
-5875,-34.484875
-5865,-34.31425
-5855,-34.14925
-5845,-34.14512500000001
-5835,-34.272625000000005
-5825,-34.477124999999994
-5815,-34.744625
-5805,-34.865
-5795,-34.865
-5785,-34.79350000000001
-5775,-34.663500000000006
-5765,-34.583
