,time,martin24gisp2tanom1kyrfir
0,-8045,0.014797853814061568
1,-8035,-0.10095142381702903
2,-8025,-0.3402890687647816
3,-8015,-0.5626786353937174
4,-8005,-0.7440134945960886
5,-7995,-0.8191583594211445
6,-7985,-0.5907613950526514
7,-7975,-0.06669298928213419
8,-7965,0.4677046258787102
9,-7955,0.7631843755028552
10,-7945,0.8035330701405797
11,-7935,0.7147285501846334
12,-7925,0.6001318294928057
13,-7915,0.40422784831525976
14,-7905,0.12664716698731093
15,-7895,-0.09631666687020718
16,-7885,-0.25720642694391477
17,-7875,-0.33680358001235855
18,-7865,-0.3885002159755083
19,-7855,-0.4305603689480444
20,-7845,-0.31922770737643547
21,-7835,-0.1063348513116415
22,-7825,0.1479443080967507
23,-7815,0.41636623721850163
24,-7805,0.5051400462568887
25,-7795,0.4787606608895897
26,-7785,0.5559801667769608
27,-7775,0.6725856877780514
28,-7765,0.6029100764896949
29,-7755,0.34890210268893557
30,-7745,0.09719352616248661
31,-7735,0.022201577388479235
32,-7725,0.17330702967585782
33,-7715,0.2864844829271824
34,-7705,0.3860823361720815
35,-7695,0.4916660309169839
36,-7685,0.4453650634745472
37,-7675,0.29866825931074875
38,-7665,0.08470991848155168
39,-7655,-0.0865241955023695
40,-7645,-0.129326780801728
41,-7635,-0.23055341120744632
42,-7625,-0.4335848258176267
43,-7615,-0.6218029199078202
44,-7605,-0.7589686949135861
45,-7595,-0.7571769571384619
46,-7585,-0.4950453348006527
47,-7575,-0.08183338358819903
48,-7565,0.23925004636078417
49,-7555,0.3691613507505461
50,-7545,0.26954424229049045
51,-7535,0.1068469391774698
52,-7525,0.07308396163428384
53,-7515,0.09690029124642624
54,-7505,0.01864439805125001
55,-7495,-0.13370650342292512
56,-7485,-0.4001242997579303
57,-7475,-0.7816333076673102
58,-7465,-1.0105250877315402
59,-7455,-1.01641183948932
60,-7445,-0.805932707357484
61,-7435,-0.5029795961338613
62,-7425,-0.31238836947069354
63,-7415,-0.19243634084955435
64,-7405,-0.05550894675764689
65,-7395,0.11648513658789889
66,-7385,0.2407082438650366
67,-7375,0.3864094206067566
68,-7365,0.5411973263608933
69,-7355,0.587556902364363
70,-7345,0.5809886223611246
71,-7335,0.41046140085709437
72,-7325,0.2828206205205272
73,-7315,0.33997188392405175
74,-7305,0.46004127092353864
75,-7295,0.6237094649596518
76,-7285,0.656643284491597
77,-7275,0.5714077726245332
78,-7265,0.48515408950552275
79,-7255,0.43808989527393405
80,-7245,0.3725884921874444
81,-7235,0.23925389975414668
82,-7225,0.07690746217906763
83,-7215,-0.05602571603600881
84,-7205,-0.1723425629552363
85,-7195,-0.33071581162948355
86,-7185,-0.4438704316975021
87,-7175,-0.4128022324351355
88,-7165,-0.2423875348223307
89,-7155,-0.07497323491101206
90,-7145,0.042211847385291795
91,-7135,0.05274104654734668
92,-7125,-0.15485224638133557
93,-7115,-0.4990383720785436
94,-7105,-0.79562179336724
95,-7095,-0.7974733269719881
96,-7085,-0.48666820905420416
97,-7075,-0.164182703685262
98,-7065,-0.134743677944793
99,-7055,-0.31968224573339765
100,-7045,-0.5116381874493113
101,-7035,-0.6003506744201671
102,-7025,-0.5529902974218048
103,-7015,-0.5150698446144001
104,-7005,-0.46589852141035437
105,-6995,-0.32400489735345356
106,-6985,-0.012270091231279145
107,-6975,0.2701242868865348
108,-6965,0.23794173417432735
109,-6955,0.08164867091817535
110,-6945,-0.005068540178399111
111,-6935,0.03347362555305508
112,-6925,0.08857976041810657
113,-6915,-0.04434513931345016
114,-6905,-0.19762073348571568
115,-6895,-0.10685313233688104
116,-6885,0.16759588091234068
117,-6875,0.4539022660229415
118,-6865,0.5764774380952861
119,-6855,0.41941867301265223
120,-6845,0.08612845816865518
121,-6835,-0.2762209769041204
122,-6825,-0.3779437567069271
123,-6815,-0.12498523461087135
124,-6805,0.24106914233463078
125,-6795,0.5512731874763888
126,-6785,0.6284048266691642
127,-6775,0.6099250752627634
128,-6765,0.6371628856360012
129,-6755,0.654313848225322
