,time,wu18TSIanom_decavg__detrendedlinear
0,-7945.0,-0.2672772231460769
1,-7935.0,-0.37917022023540814
2,-7925.0,-0.4140632173249686
3,-7915.0,-0.30395621441431975
4,-7905.0,-0.1438492115039438
5,-7895.0,0.029257791406579317
6,-7885.0,0.08136479431723535
7,-7875.0,-0.0565282027723904
8,-7865.0,-0.21642119986172348
9,-7855.0,-0.29231419695122396
10,-7845.0,-0.3412071940406806
11,-7835.0,-0.32310019113035743
12,-7825.0,-0.19499318821967962
13,-7815.0,-0.05888618530919089
14,-7805.0,-0.0057791823987859425
15,-7795.0,-0.030672179488128098
16,-7785.0,-0.05056517657758837
17,-7775.0,-0.019458173667117922
18,-7765.0,-0.03035117075656379
19,-7755.0,-0.04624416784611864
20,-7745.0,-0.05313716493565901
21,-7735.0,-0.0360301620250849
22,-7725.0,0.004076840885400064
23,-7715.0,0.06418384379609439
24,-7705.0,0.049290846706515734
25,-7695.0,-0.09860215038287364
26,-7685.0,-0.2934951474725159
27,-7675.0,-0.40738814456202715
28,-7665.0,-0.4512811416513748
29,-7655.0,-0.38517413874082246
30,-7645.0,-0.13206713583037194
31,-7635.0,0.07103986708012401
32,-7625.0,-0.06385313000934537
33,-7615.0,-0.1927461270987294
34,-7605.0,-0.22363912418815696
35,-7595.0,-0.28153212127785565
36,-7585.0,-0.40342511836717776
37,-7575.0,-0.5193181154566419
38,-7565.0,-0.5622111125462405
39,-7555.0,-0.4551041096357481
40,-7545.0,-0.2819971067252248
41,-7535.0,-0.19789010381464342
42,-7525.0,-0.2267831009041183
43,-7515.0,-0.2566760979935695
44,-7505.0,-0.2065690950830936
45,-7495.0,-0.18046209217250486
46,-7485.0,-0.18635508926206895
47,-7475.0,-0.18224808635141468
48,-7465.0,-0.17114108344092605
49,-7455.0,-0.1020340805304446
50,-7445.0,-0.06092707761998318
51,-7435.0,-0.23782007470936894
52,-7425.0,-0.45871307179885124
53,-7415.0,-0.5196060688882516
54,-7405.0,-0.4224990659777501
55,-7395.0,-0.198392063067296
56,-7385.0,-0.0012850601568855508
57,-7375.0,-0.0491780572463658
58,-7365.0,-0.16507105433582986
59,-7355.0,-0.18696405142524292
60,-7345.0,-0.1878570485146979
61,-7335.0,-0.21075004560408728
62,-7325.0,-0.1956430426936932
63,-7315.0,-0.15353603978325536
