,time,NGRIP1seierstad14d18O_decavg_d18O__detrendedlinear
0,-8045,-0.14545463131810266
1,-8035,-0.2748104161831293
2,-8025,-0.34016620104814876
3,-8015,-0.3188969859131703
4,-8005,-0.2335027707781947
5,-7995,-0.06973355564321793
6,-7985,0.06478565949175419
7,-7975,0.16355487462674034
8,-7965,0.3084490897617087
9,-7955,0.5097183048966869
10,-7945,0.5321125200316601
11,-7935,0.33588173516663744
12,-7925,0.0957759503016149
13,-7915,-0.19795483456340435
14,-7905,-0.32293561942842786
15,-7895,-0.2416664042934542
16,-7885,-0.21889718915847567
17,-7875,-0.26762797402349037
18,-7865,-0.3062337588885171
19,-7855,-0.33246454375354517
20,-7845,-0.2810703286185685
21,-7835,-0.13480111348359003
22,-7825,-0.023406898348611094
23,-7815,0.04536231678636682
24,-7805,0.15575653192134098
25,-7795,0.3170257470563129
26,-7785,0.43104496219128663
27,-7775,0.4873141773262688
28,-7765,0.45245839246124575
29,-7755,0.30622760759622025
30,-7745,0.1566218227311964
31,-7735,0.002891037866177726
32,-7725,-0.051839746998844305
33,-7715,0.014429468136128776
34,-7705,0.10657368327110817
35,-7695,0.2303428984060858
36,-7685,0.23598711354105717
37,-7675,0.09725632867603906
38,-7665,0.04965054381101908
39,-7655,0.11341975894599443
40,-7645,0.23343897408096836
41,-7635,0.4222081892159437
42,-7625,0.4287274043509228
43,-7615,0.21249661948589704
44,-7605,0.0817658346208745
45,-7595,0.055535049755846444
46,-7585,0.1316792648908205
47,-7575,0.3329484800258058
48,-7565,0.3868426951607802
49,-7555,0.2606119102957578
50,-7545,0.16250612543073117
51,-7535,0.0987753405657017
52,-7525,0.005794555700688875
53,-7515,-0.12293622916433122
54,-7505,-0.24266701402935809
55,-7495,-0.35139779889437506
56,-7485,-0.380253583759405
57,-7475,-0.3114843686244271
58,-7465,-0.17184015348945536
59,-7455,0.054429061645521415
60,-7445,0.2165732767805011
61,-7435,0.30034249191547957
62,-7425,0.2772367070504629
63,-7415,0.1235059221854371
64,-7405,0.019275137320413194
65,-7395,-0.024455647544620263
66,-7385,-0.05356143240963718
67,-7375,-0.06479221727465045
68,-7365,-0.03552300213967641
69,-7355,0.04324621299529241
70,-7345,0.06576542813026975
71,-7335,0.01953464326523857
72,-7325,-0.042446141599775444
73,-7315,-0.12367692646480322
74,-7305,-0.16665771132981888
75,-7295,-0.1628884961948458
76,-7285,-0.19961928105987425
77,-7275,-0.2858500659248904
78,-7265,-0.3450808507899126
79,-7255,-0.37131163565494063
80,-7245,-0.28729242051996806
81,-7235,-0.06852320538499157
82,-7225,0.04899600974999174
83,-7215,0.04276522488496681
84,-7205,-0.051215559980050784
85,-7195,-0.252446344845076
86,-7185,-0.34117712971010405
87,-7175,-0.29240791457512216
88,-7165,-0.24363869944014738
89,-7155,-0.1948694843051726
90,-7145,-0.2349752691701994
91,-7135,-0.3837060540352226
92,-7125,-0.4221868389002381
93,-7115,-0.3259176237652639
94,-7105,-0.2375234086302882
95,-7095,-0.15875419349531228
96,-7085,-0.18123497836033664
97,-7075,-0.32746576322535503
98,-7065,-0.3431965480903827
99,-7055,-0.19942733295540194
100,-7045,-0.09953311782042107
101,-7035,-0.05326390268545822
102,-7025,-0.08349468755046985
103,-7015,-0.2072254724154945
104,-7005,-0.28033125728052255
105,-6995,-0.29156204214554293
106,-6985,-0.24879282701056837
107,-6975,-0.1400236118755842
108,-6965,-0.06950439674060505
109,-6955,-0.045735181605635944
110,-6945,-0.10409096647065752
111,-6935,-0.26282175133568586
112,-6925,-0.29667753620070414
113,-6915,-0.17790832106572907
114,-6905,-0.023139105930752635
115,-6895,0.17563010920422784
116,-6885,0.20564932433920546
117,-6875,0.02941853947417883
118,-6865,-0.09393724539084047
119,-6855,-0.1526680302558674
120,-6845,-0.15627381512089045
121,-6835,-0.09250459998591509
122,-6825,-0.03436038485093462
123,-6815,0.01690883028403789
124,-6805,0.09067804541901836
125,-6795,0.19194726055398803
126,-6785,0.21109147568896702
127,-6775,0.12986069082394636
128,-6765,-0.0042450940410745375
129,-6755,-0.20297587890610203
130,-6745,-0.2993316637711203
131,-6735,-0.27056244863614154
132,-6725,-0.1866682335011589
133,-6715,-0.03539901836619208
134,-6705,0.058495196768781454
135,-6695,0.08226441190375766
136,-6685,0.11278362703873057
137,-6675,0.15155284217371445
138,-6665,0.14532205730868952
139,-6655,0.08409127244366488
140,-6645,0.02848548757864222
141,-6635,-0.020245297286379582
142,-6625,-0.0318510821513982
143,-6615,0.0019181329835760152
144,-6605,0.043562348118548755
145,-6595,0.09483156325352837
146,-6585,0.14160077838850782
147,-6575,0.18286999352348943
148,-6565,0.13751420865845887
149,-6555,-0.013716576206569187
150,-6545,-0.15482236107158798
151,-6535,-0.2835531459366081
152,-6525,-0.3571589308016243
153,-6515,-0.36338971566664924
154,-6505,-0.31674550053168105
155,-6495,-0.20547628539669915
156,-6485,-0.08633207026172585
157,-6475,0.04243714487325434
158,-6465,0.1374563600082297
159,-6455,0.19122557514320704
160,-6445,0.16849479027818148
161,-6435,0.05226400541315712
162,-6425,0.017033220548142936
163,-6415,0.08080243568311829
164,-6405,0.15582165081809052
165,-6395,0.24459086595306445
166,-6385,0.275985081088038
167,-6375,0.2372542962230213
168,-6365,0.17489851135799483
169,-6355,0.08366772649296905
170,-6345,-0.036813058372054286
171,-6335,-0.1930438432370778
172,-6325,-0.2345246281020934
173,-6315,-0.13575541296712146
174,-6305,-0.045986197832149855
175,-6295,0.03278301730282607
176,-6285,0.009177232437806992
177,-6275,-0.13955355242721623
178,-6265,-0.2016593372922415
179,-6255,-0.15789012215726927
180,-6245,-0.12537090702229392
181,-6235,-0.10660169188731317
182,-6225,-0.12045747675232832
183,-6215,-0.17418826161735268
184,-6205,-0.1412940464823791
185,-6195,-0.0025248313474079964
186,-6185,0.04174438378756662
187,-6175,-0.02948640107744893
188,-6165,-0.10296718594246812
189,-6155,-0.17919797080749333
190,-6145,-0.16767875567251878
191,-6135,-0.048909540537543705
192,-6125,0.07323467459743682
193,-6115,0.19950388973241218
194,-6105,0.23689810486738594
195,-6095,0.16566732000236328
196,-6085,0.03931153513734387
197,-6075,-0.15441924972767396
198,-6065,-0.21090003459269724
199,-6055,-0.09963081945772956
200,-6045,-0.0738616043227509
201,-6035,-0.15259238918776674
202,-6025,-0.2526981740527958
203,-6015,-0.3789289589178253
204,-6005,-0.3667847437828513
205,-5995,-0.18551552864787624
206,-5985,-0.11337131351289997
207,-5975,-0.17460209837791751
208,-5965,-0.21670788324293966
209,-5955,-0.23543866810796032
210,-5945,-0.21141945297297582
211,-5935,-0.13515023783799762
212,-5925,-0.09938102270302096
213,-5915,-0.11311180756804617
214,-5905,-0.10659259243306707
215,-5895,-0.07532337729809768
216,-5885,0.022320837836886653
217,-5875,0.2010900529718569
218,-5865,0.37423426810683225
219,-5855,0.5405034832418067
220,-5845,0.5751476983767816
221,-5835,0.4489169135117663
222,-5825,0.25968612864674867
223,-5815,-0.00654465621828848
224,-5805,-0.15240044108330864
225,-5795,-0.15113122594833328
226,-5785,-0.09136201081335571
227,-5775,0.0399072043216222
228,-5765,0.13067641945659858
229,-5755,0.17194563459157308
230,-5745,0.17158984972655134
231,-5735,0.12035906486153891
232,-5725,0.0770032799965108
233,-5715,0.04327249513148246
234,-5705,-0.03545828973354048
235,-5695,-0.16918907459856314
236,-5685,-0.22191985946358272
237,-5675,-0.17565064432859856
238,-5665,-0.1417564291936273
239,-5655,-0.12298721405865365
240,-5645,-0.18971799892367613
241,-5635,-0.3609487837886931
242,-5625,-0.3083045686537247
243,-5615,0.017964646481246405
244,-5605,0.19910886161622443
245,-5595,0.20287807675120462
246,-5585,0.1042722918861898
247,-5575,-0.11945849297883626
248,-5565,-0.22731427784386682
249,-5555,-0.1935450627088926
250,-5545,-0.11140084757391122
251,-5535,0.029868367561071807
252,-5525,0.18688758269604477
253,-5515,0.3631567978310173
254,-5505,0.4066760129659954
255,-5495,0.28794522810097334
256,-5485,0.2040894432359508
257,-5475,0.16285865837092217
258,-5465,0.16662787350590236
259,-5455,0.22539708864088226
260,-5445,0.21554130377585778
261,-5435,0.12181051891084138
262,-5425,0.03257973404581804
263,-5415,-0.051151050819207455
264,-5405,-0.03363183568423267
265,-5395,0.10763737945074325
266,-5385,0.153281594585728
267,-5375,0.08205080972069823
268,-5365,-0.00492997514432858
269,-5355,-0.11116076000934783
270,-5345,-0.15326654487437708
271,-5335,-0.11699732973939803
272,-5325,-0.1651031146044204
273,-5315,-0.31633389946944135
274,-5305,-0.377564684334466
275,-5295,-0.3287954691994912
276,-5285,-0.2609012540645068
277,-5275,-0.16963203892954226
278,-5265,-0.1751128237945636
279,-5255,-0.29884360865958826
280,-5245,-0.3134493935246141
281,-5235,-0.19468017838963192
282,-5225,-0.06916096325465304
283,-5215,0.0646082518803226
284,-5205,0.1005024670152963
285,-5195,0.016771682150270806
286,-5185,-0.016334102714743892
287,-5175,0.012435112420234873
288,-5165,0.146954327555207
289,-5155,0.4107235426901852
290,-5145,0.5091177578251518
291,-5135,0.40538697296013737
292,-5125,0.24990618809511744
293,-5115,0.031175403230093934
294,-5105,-0.09530538163493674
295,-5095,-0.10903616649995485
296,-5085,-0.10589195136497409
297,-5075,-0.08212273623000499
298,-5065,-0.03810352109502446
299,-5055,0.03066569403995345
300,-5045,0.0701849091749267
301,-5035,0.073954124309914
302,-5025,0.08109833944488543
303,-5015,0.09236755457985879
304,-5005,0.11038676971483596
305,-4995,0.1366559848498099
306,-4985,0.15280019998479588
307,-4975,0.15656941511976896
308,-4965,0.11533863025474744
309,-4955,0.019107845389719103
310,-4945,0.0466270605246919
311,-4935,0.22539627565967635
312,-4925,0.36366549079465216
313,-4915,0.4524347059296261
314,-4905,0.4489539210646001
315,-4895,0.3327231361995757
316,-4885,0.26036735133455835
317,-4875,0.24163656646953768
318,-4865,0.20490578160451633
319,-4855,0.14617499673948942
320,-4845,0.0874442118744625
321,-4835,0.028713427009442682
322,-4825,0.038607642144413035
323,-4815,0.13237685727938953
324,-4805,0.1800210724143696
325,-4795,0.17129028754934694
326,-4785,0.14005950268433054
327,-4775,0.08132871781930362
328,-4765,0.061972932954276416
329,-4755,0.09074214808925518
330,-4745,0.12063636322423577
331,-4735,0.15190557835921226
332,-4725,0.13929979349418886
333,-4715,0.07306900862916166
334,-4705,0.009088223764138093
335,-4695,-0.05214256110088655
336,-4685,-0.042498345965903184
337,-4675,0.053770869169071034
338,-4665,0.08141508430404798
339,-4655,0.025184299439018787
340,-4645,-0.061421485426002675
341,-4635,-0.18515227029102022
342,-4625,-0.2155080551560431
343,-4615,-0.13173884002107172
344,-4605,-0.06709462488609574
345,-4595,-0.025825409751114137
346,-4585,0.01769380538387111
347,-4575,0.06396302051884106
348,-4565,0.14398223565381585
349,-4555,0.26525145078878865
350,-4545,0.3662706659237642
351,-4535,0.44253988105874953
352,-4525,0.45580909619372534
353,-4515,0.39207831132870297
354,-4505,0.23834752646367718
355,-4495,-0.02538325840134803
356,-4485,-0.16986404326636517
357,-4475,-0.16859482813138982
358,-4465,-0.15382561299641395
359,-4455,-0.12255639786143746
360,-4445,-0.10141218272645602
361,-4435,-0.09264296759148039
362,-4425,0.03537624754349622
363,-4415,0.3091454626784653
364,-4405,0.4647896778134424
365,-4395,0.47605889294842285
366,-4385,0.35457810808340184
367,-4375,0.0708473232183735
368,-4365,-0.16450846164664767
369,-4355,-0.3407392465116743
370,-4345,-0.41459503137669884
371,-4335,-0.3633258162417192
372,-4325,-0.2535566011067445
373,-4315,-0.07228738597176942
374,-4305,0.05160682916321235
375,-4295,0.1053760442981897
376,-4285,0.149020259433172
377,-4275,0.18028947456814137
378,-4265,0.18343368970311502
379,-4255,0.1522029048380915
380,-4245,0.06472211997306232
381,-4235,-0.09150866489195408
382,-4225,-0.18698944975697884
383,-4215,-0.20822023462199724
384,-4205,-0.16532601948701853
385,-4195,-0.04405680435204573
386,-4185,0.08058741078293963
387,-4175,0.2093566259179127
388,-4165,0.28300084105288903
389,-4155,0.28927005618785984
390,-4145,0.26853927132284383
391,-4135,0.21480848645781947
392,-4125,0.13632770159279772
393,-4115,0.02759691672776654
394,-4105,-0.048508868137254524
395,-4095,-0.08473965300227349
396,-4085,-0.09734543786729688
397,-4075,-0.08107622273231385
398,-4065,-0.145807007597341
399,-4055,-0.3095377924623719
400,-4045,-0.35401857732740183
401,-4035,-0.25274936219241795
402,-4025,-0.1593551470574397
403,-4015,-0.07558593192246121
404,-4005,0.008183283212510162
405,-3995,0.09195249834748864
406,-3985,0.14534671348246775
