time,Alley_multiproxy_temp
-7945,1.517565091405185
-7935,1.508821423011458
-7925,1.5004230215824954
-7915,1.497858996735367
-7905,1.500832668478175
-7895,1.5262901824700954
-7885,1.571599288785471
-7875,1.671347704867383
-7865,1.7761023566220047
-7855,1.8790435406530754
-7845,1.9268433925205386
-7835,1.9457318816398335
-7825,1.9533821506645097
-7815,1.9292109746977815
-7805,1.83953259533601
-7795,1.799261192169297
-7785,1.7945335156912599
-7775,1.765267914587735
-7765,1.7152673044132634
-7755,1.5997726000525212
-7745,1.5032691436314956
-7735,1.4747632952451397
-7725,1.4342757141250608
-7715,1.384999841328682
-7705,1.349019907932778
-7695,1.2965893488925744
-7685,1.1595862716562735
-7675,1.0032931874561477
-7665,0.8308580969534418
-7655,0.6928799350095964
-7645,0.5851569403487424
-7635,0.48096436730166303
-7625,0.394448703696785
-7615,0.37374525386576707
-7605,0.36768341918778447
-7595,0.3753574464240259
-7585,0.4436451219468722
-7575,0.5229711851569938
-7565,0.5476752212068199
-7555,0.5333806297883186
-7545,0.43220175036072206
-7535,0.371639127487132
-7525,0.3567635925155912
-7515,0.3701122666962817
-7505,0.40188827215715506
-7495,0.4777527866509992
-7485,0.5340541982594615
-7475,0.5403187174473203
-7465,0.5832116512452252
-7455,0.6515221632155495
-7445,0.7607551771528342
-7435,0.8402670675838451
-7425,0.817072426813997
-7415,0.764959371204867
-7405,0.6894154925228051
-7395,0.592997401405011
-7385,0.49701724491757204
-7375,0.4196511991925149
-7365,0.32928272824734606
-7355,0.22271493896922578
-7345,0.14871668111366532
-7335,0.09674551401712961
-7325,0.08785553772553456
-7315,0.06781812049302971
-7305,0.011379345241032013
-7295,-0.047119925927439965
-7285,-0.10894139251616508
-7275,-0.20978082623816974
-7265,-0.3194578017473546
-7255,-0.40275092807499036
-7245,-0.4836839843465519
-7235,-0.5665294654325912
-7225,-0.6553426012004557
-7215,-0.7426964022048992
-7205,-0.769502662804058
-7195,-0.7475865910203332
-7185,-0.6578506411964717
-7175,-0.5685865506733023
-7165,-0.486834359332704
-7155,-0.4577962180858606
-7145,-0.4312378113729842
-7135,-0.36650989276028056
-7125,-0.31165129816853465
-7115,-0.3139081625918969
-7105,-0.3028225931372468
-7095,-0.2628012844136727
-7085,-0.12303633703937322
-7075,0.017115952046257377
-7065,0.13589593394411636
-7055,0.24841401601361568
-7045,0.34510849942176947
-7035,0.4427055267059252
-7025,0.5604074806283492
-7015,0.6781094345507697
-7005,0.8579234878189865
-6995,1.113691764566596
-6985,1.3192024762186527
-6975,1.4983146622428407
-6965,1.5736051505345294
-6955,1.6341369769552436
-6945,1.7205951040610792
-6935,1.784504430878041
-6925,1.8125193821046075
-6915,1.728311541788969
-6905,1.6801692647912922
-6895,1.673394373488076
-6885,1.6684883062975011
-6875,1.6241031704656486
-6865,1.4860331788813035
-6855,1.3667350542649785
-6845,1.2693640605831895
-6835,1.2459535589557653
