time,GISP2martin24Tanom_decavg_temp
-7945,1.4228581692978843
-7935,1.3737757797555115
-7925,1.2984679764386629
-7915,1.1409413419152035
-7905,0.9009499010822521
-7895,0.7141389378911498
-7885,0.5883923778593596
-7875,0.5424537599731807
-7865,0.5234570849785403
-7855,0.5125011770644907
-7845,0.6536239825197243
-7835,0.8942482510237251
-7825,1.1748298874560388
-7815,1.4675649733960436
-7805,1.5795477149819424
-7795,1.5745877411545997
-7785,1.6718816547930753
-7775,1.806501654794725
-7765,1.75363442768491
-7755,1.5144413203688134
-7745,1.2762582639904618
-7735,1.2126351202895487
-7725,1.373695066816102
-7715,1.494669455315771
-7705,1.6006505838540703
-7695,1.7103505983408742
-7685,1.6669568880286838
-7675,1.5211734533762473
-7665,1.3070219243181262
-7655,1.1335254754203326
-7645,1.087203184003168
-7635,0.9804597029652462
-7625,0.7709069538817346
-7615,0.5743575272370203
-7605,0.42801167332454293
-7595,0.41898184274626016
-7585,0.6694830434092385
-7575,1.0694483432766826
-7565,1.3766831786968243
-7555,1.4912831288856814
-7545,1.375917039776776
-7535,1.1962566625216526
-7525,1.1452246424065988
-7515,1.150736123641678
-7505,1.0540811544748356
-7495,0.8824674343042602
-7485,0.5968070059923223
-7475,0.1954156844933097
-7465,-0.05326893399742216
-7455,-0.07946205199894374
-7445,0.11096218389538581
-7435,0.3935982785699339
-7425,0.5643988176847694
-7415,0.6644083179400173
-7405,0.7819634360502552
-7395,0.9345153577587153
-7385,1.0399296547436943
-7375,1.1668164626734
-7365,1.3033297104341783
-7355,1.3315917519545297
-7345,1.3077361825193274
-7335,1.1204374978202893
-7325,0.9768786840276089
-7315,1.018550837625058
-7305,1.1240502470738787
-7295,1.2737665518774954
-7285,1.2939416516616196
-7275,1.1968729271900465
-7265,1.1000261381422276
-7255,1.0433023151424847
-7245,0.9692314460450269
-7235,0.8282159620307152
-7225,0.6593145273516161
-7215,0.5208043289404711
-7205,0.3998958763125966
-7195,0.23783822789558573
-7185,0.1217880707370107
-7175,0.1506875627219182
-7165,0.3197593376280361
-7155,0.4868166165734171
-7145,0.6045786182684243
-7135,0.6166957735043397
-7125,0.41154259892630574
-7115,0.07070326524307236
-7105,-0.2218915797283283
-7095,-0.21913919724231
-7085,0.09656392252610924
-7075,0.4246996746219336
-7065,0.460423075420334
-7055,0.2826247688335084
-7045,0.09808982892735107
-7035,0.01714986379708816
-7025,0.07230410507965357
-7015,0.11851365177304074
-7005,0.17602840928806707
-6995,0.32661038924798547
-6985,0.6468123195085143
-6975,0.9379580241177323
-6965,0.9144695235165314
-6955,0.7670645575846637
-6945,0.6887348585866673
-6935,0.7356280718131218
-6925,0.7985219868431805
-6915,0.6734130521738431
-6905,0.5272880389473888
-6895,0.6249454754203385
-6885,0.9055302542626533
-6875,1.1978427724263216
-6865,1.32573258919279
-6855,1.1739401420869946
-6845,0.8451189844023728
-6835,0.4869710965128189
-6825,0.3883669744779976
-6815,0.6437906068944412
-6805,1.0110546053736864
-6795,1.3218225807881265
-6785,1.3983231772095994
-6775,1.3786728667706454
-6765,1.4035999484351454
-6755,1.4180115836240121
-6745,1.4634120892817193
-6735,1.561722053669465
-6725,1.6371379668694792
-6715,1.6162271672134918
-6705,1.3879894517517033
-6695,0.9878007199807417
-6685,0.6345725487925447
-6675,0.4868019491143152
-6665,0.4941701027942704
-6655,0.4471599049691424
-6645,0.290443536047321
-6635,0.21111854788853268
-6625,0.42462288948283566
-6615,0.7866379285453413
-6605,0.9722824004020612
-6595,0.7948770266676695
-6585,0.36639072460686717
-6575,0.06342717191838876
-6565,0.054544946464120114
-6555,0.2330443068962864
-6545,0.4043438188149908
-6535,0.4001368126573124
-6525,0.1916356113426616
-6515,-0.04166713194024285
-6505,-0.1298524333626856
-6495,0.010063766682466113
-6485,0.23092731187702298
-6475,0.3287356113426645
-6465,0.4122492035756744
-6455,0.4251119220222781
-6445,0.347733478442509
-6435,0.235778359633245
-6425,0.09738771742101315
-6415,0.05750693845535371
-6405,0.04164622441343968
-6395,-0.0156961152229389
-6385,-0.04346161229896239
-6375,0.05316799601000821
-6365,0.2825894872231811
-6355,0.4903281396051442
-6345,0.5001475412658516
-6335,0.30954706099698814
-6325,0.1625181092660133
-6315,0.12979488995864497
-6305,0.16302445967230206
-6295,0.27085544594325195
-6285,0.35544343589464344
-6275,0.4183110991827128
-6265,0.49859490399176365
-6255,0.4048520042473698
-6245,0.10856630410559509
-6235,-0.16597901958964845
-6225,-0.2541325625038173
-6215,-0.1513542560425889
-6205,-0.06274385240801283
-6195,-0.10777772939894459
-6185,-0.2632477402269602
-6175,-0.3709908646523601
-6165,-0.2710823713538637
-6155,0.03734488508145328
-6145,0.40232903097589245
-6135,0.6411597102381528
-6125,0.7421324865846093
-6115,0.6897163858834179
-6105,0.6833183120398907
-6095,0.7647503500456563
-6085,0.7856793577732755
-6075,0.6762389819425434
-6065,0.3312729641981904
-6055,-0.11913670944418886
-6045,-0.4472079276370986
-6035,-0.46538577852514673
-6025,-0.27968476432636313
-6015,-0.12187312412780993
-6005,-0.09632368482307485
-5995,-0.322281233007778
-5985,-0.6068347966641516
-5975,-0.68065600943238
-5965,-0.47631599826387283
-5955,-0.07199942361045908
-5945,0.2354605461274053
-5935,0.31770805671717506
-5925,0.2578955428690137
-5915,0.32391972347316345
-5905,0.5038770623519551
-5895,0.6911029017776786
-5885,0.8726238232906893
-5875,0.843934921203469
-5865,0.6899298194336607
-5855,0.6347005295285513
-5845,0.6645910385465876
-5835,0.6958107762255379
-5825,0.6768635049612519
-5815,0.6223938730251257
-5805,0.5656377969764255
-5795,0.43053628446360626
-5785,0.15285136346893702
-5775,-0.0633922053951732
-5765,0.09550729323060292
-5755,0.5064448471897229
-5745,0.8512535947046245
-5735,0.8769937537503489
-5725,0.5976804557605164
-5715,0.3092081404460574
-5705,0.1467512579128709
-5695,0.08549802987577992
-5685,0.1639502894231597
-5675,0.281521990271822
-5665,0.36399658350754094
-5655,0.4308663725361328
-5645,0.471502540500756
-5635,0.5565028163979104
-5625,0.6594997071739439
-5615,0.7088267529219987
-5605,0.632686710656903
-5595,0.43217940427408985
-5585,0.37218889044009895
-5575,0.48274987349492493
-5565,0.5149701157365403
-5555,0.4831293518340627
-5545,0.4631781144059728
-5535,0.47141557654349
-5525,0.5897421882916196
-5515,0.651196247697563
-5505,0.5995626365864517
-5495,0.5937659043060799
-5485,0.5860885547854124
-5475,0.5244798246266857
-5465,0.442950413790117
-5455,0.41634405196109014
-5445,0.4906254512149708
-5435,0.561583236376511
-5425,0.5006888359343677
-5415,0.3308560950416479
-5405,0.2406567089532683
-5395,0.2965077967776186
-5385,0.4156214754203391
-5375,0.5095822830355659
-5365,0.3745774433562148
-5355,0.07774942732414036
-5345,-0.20027619822414255
-5335,-0.5482205004832724
-5325,-0.753836966346735
-5315,-0.7254970755966083
-5305,-0.5553656525199959
-5295,-0.3023264649476747
-5285,-0.26068526086836363
-5275,-0.38350915867029467
-5265,-0.5281310354138096
-5255,-0.6597817086787168
-5245,-0.703740675361679
-5235,-0.6938372431009106
-5225,-0.6426031065941438
-5215,-0.4741443383448458
-5205,-0.17741033024768216
-5195,0.07381297990005287
-5185,0.18441315522915636
-5175,0.16826820158666278
-5165,0.206246215735975
-5155,0.43873483692036364
-5145,0.728233378288119
-5135,1.0493381095666723
-5125,1.1355139039468214
-5115,0.9729928170658835
-5105,0.6378611412094302
-5095,0.2830003096560958
-5085,0.3192272972749455
-5075,0.49817704913495375
-5065,0.6250236362749009
-5055,0.5378530672570705
-5045,0.3079346999101287
-5035,0.18788071009334484
-5025,0.2776949603333172
-5015,0.5572269322877439
-5005,0.8180526165246294
-4995,0.8649636594694141
-4985,0.6738879948477421
-4975,0.5301764649607152
-4965,0.41804932777878
-4955,0.3512817199139482
-4945,0.3663265927725754
-4935,0.36599819013403856
-4925,0.40864412964324726
-4915,0.5136512382371798
-4905,0.5136632383549964
-4895,0.4737879332922166
-4885,0.4146923665907647
-4875,0.3593015597102327
-4865,0.40494688741077667
-4855,0.48317595216127707
-4845,0.6037862064264967
-4835,0.7166845721661814
-4825,0.7240168804954985
-4815,0.525672475344277
-4805,0.16730752110188485
-4795,0.05933302367495297
-4785,0.17875783756025476
-4775,0.38260063591416227
-4765,0.4347788252145752
-4755,0.22156714985078096
-4745,-0.15472594335697254
-4735,-0.4829315540650436
-4725,-0.6966608845983335
-4715,-0.8276918675859017
-4705,-0.7957950834019448
-4695,-0.5725333974319042
-4685,-0.2253754745605807
-4675,0.06602172284301489
-4665,0.13938924776420425
-4655,0.0956054341832211
-4645,0.0326589550999814
-4635,-0.2607160278598937
-4625,-0.7152034586343767
-4615,-1.076777208740866
-4605,-1.0362140426848034
-4595,-0.778899190081922
-4585,-0.5939579295383457
-4575,-0.5531482187945409
-4565,-0.42181796752406975
-4555,-0.03814222705900705
-4545,0.31006286422651463
-4535,0.456143924404816
-4525,0.26813622545028615
-4515,0.013753431531416282
-4505,0.026025640350266777
-4495,0.16259475427323444
-4485,0.2192724423624839
-4475,0.13946252500711287
-4465,-0.09928432299492984
-4455,-0.32936693695080155
-4445,-0.546465460136073
-4435,-0.5949952311141711
-4425,-0.30815978946671785
-4415,0.15358361085144634
-4405,0.47032933696891743
-4395,0.3673220468489067
-4385,0.18581850887974571
-4375,0.10956797271306584
-4365,0.09443013254156174
-4355,0.12486942683733826
-4345,-0.07612931196771688
-4335,-0.3574803719240772
-4325,-0.4557668471603107
-4315,-0.4625207804373914
-4305,-0.26023367349727256
-4295,-0.10046400355367768
-4285,-0.08770488129309228
-4275,-0.11992304562174794
-4265,-0.13773180801280138
-4255,0.12839802631854136
-4245,0.5005128914090662
-4235,0.743320686575712
-4225,0.7017848818819581
-4215,0.366499147279268
-4205,0.049871835261291464
-4195,-0.06491700077014051
-4185,-0.036322417240360894
-4175,0.005546742747069011
-4165,0.04805723779657223
-4155,0.07764309738253083
-4145,0.1321585362742459
-4135,0.13533935001396924
-4125,0.06228559858145544
-4115,0.017289440837304326
-4105,0.1048468482014
-4095,0.2678742348668255
-4085,0.42748431888738647
-4075,0.6379475051459094
-4065,0.7004153544679985
-4055,0.6327575053012151
-4045,0.5766459163652167
-4035,0.4957479889241936
-4025,0.5135093693618469
-4015,0.48147839668017456
-4005,0.2417623287182602
-3995,0.07613594571805571
-3985,0.17423348722359133
-3975,0.3802383937293592
-3965,0.5758768238183531
-3955,0.5814302801540632
-3945,0.4792271243355213
-3935,0.37120444188976265
-3925,0.15875693621817266
-3915,-0.06575616884844226
-3905,-0.2682045976043601
-3895,-0.35669890825281514
-3885,-0.26888137606481344
-3875,-0.18551401632883957
-3865,-0.2571386612832538
-3855,-0.38863439166288094
-3845,-0.472109625971316
-3835,-0.40812878987237355
-3825,-0.18699019831414931
-3815,0.035662320041850215
-3805,0.07283443159563263
-3795,-0.033355120773731706
-3785,-0.08690297089023158
-3775,-0.06514533794894373
-3765,0.06552925231276174
-3755,0.2046563439462299
-3745,0.25207562190398214
-3735,0.3165567110662213
-3725,0.3641573720406126
-3715,0.27520437415491106
-3705,0.11813983349536428
-3695,0.08097794579594408
-3685,0.1786010878337485
-3675,0.3900473884638114
-3665,0.544438854968323
-3655,0.4194704003609271
-3645,0.21435480673231133
-3635,0.15338269457361453
-3625,0.16179863370282588
-3615,0.1627285029938641
-3605,0.1717394365111331
-3595,0.06423655990802679
-3585,-0.006687739677128102
-3575,0.09417608364008934
-3565,0.10221747589921892
-3555,0.1313409202392255
-3545,0.11111044081980115
-3535,-0.046115682823592685
-3525,-0.18576263302496288
-3515,-0.18164144165235796
-3505,0.06662921556049994
-3495,0.3849930075608545
