,time,erb22GMSTanom_decavg_temp__detrendedlinear
0,-8045.0,-0.15686859518771626
1,-8035.0,-0.15148912308616547
2,-8025.0,-0.1404614409846147
3,-8015.0,-0.1303992088830639
4,-8005.0,-0.13473389678151312
5,-7995.0,-0.12772372467996235
6,-7985.0,-0.13496950257841156
7,-7975.0,-0.13969895047686076
8,-7965.0,-0.13157991837531
9,-7955.0,-0.1434433562737592
10,-7945.0,-0.14294450417220841
11,-7935.0,-0.12511419207065766
12,-7925.0,-0.12783452996910685
13,-7915.0,-0.12856037786755609
14,-7905.0,-0.1083430257660053
15,-7895.0,-0.08942899366445449
16,-7885.0,-0.08900663156290373
17,-7875.0,-0.09119508946135292
18,-7865.0,-0.08592403735980216
19,-7855.0,-0.09549631525825138
20,-7845.0,-0.09919935315670059
21,-7835.0,-0.1019452010551498
22,-7825.0,-0.10190760895359902
23,-7815.0,-0.12895386685204824
24,-7805.0,-0.12325792475049743
25,-7795.0,-0.10691090264894666
26,-7785.0,-0.08678564054739588
27,-7775.0,-0.0822472184458451
28,-7765.0,-0.08234132134429431
29,-7755.0,-0.07797908424274352
30,-7745.0,-0.08365595214119274
31,-7735.0,-0.09169371003964195
32,-7725.0,-0.09452294793809118
33,-7715.0,-0.0992746458365404
34,-7705.0,-0.11800866373498961
35,-7695.0,-0.10664979163343881
36,-7685.0,-0.10795384953188802
37,-7675.0,-0.11417306743033724
38,-7665.0,-0.10776253532878646
39,-7655.0,-0.1018123232272357
40,-7645.0,-0.09304059112568491
41,-7635.0,-0.10613612902413412
42,-7625.0,-0.09745072692258333
43,-7615.0,-0.08934365482103256
44,-7605.0,-0.10650416271948177
45,-7595.0,-0.10910536061793098
46,-7585.0,-0.11210390851638019
47,-7575.0,-0.10852890641482942
48,-7565.0,-0.10613413431327862
49,-7555.0,-0.09925543221172785
50,-7545.0,-0.09727666011017705
51,-7535.0,-0.09155867800862628
52,-7525.0,-0.08998820590707549
53,-7515.0,-0.0894074838055247
54,-7505.0,-0.09656480170397391
55,-7495.0,-0.08999742960242314
56,-7485.0,-0.09570229750087236
57,-7475.0,-0.10590077539932156
58,-7465.0,-0.1001495132977708
59,-7455.0,-0.11412110119622
60,-7445.0,-0.11758350909466922
61,-7435.0,-0.11269366699311843
62,-7425.0,-0.11054711489156765
63,-7415.0,-0.10175918279001687
64,-7405.0,-0.09547687068846608
65,-7395.0,-0.09438815858691531
66,-7385.0,-0.08530079148536451
67,-7375.0,-0.07806607438381373
68,-7365.0,-0.07142123228226295
69,-7355.0,-0.07236168018071217
70,-7345.0,-0.04960272307916139
71,-7335.0,-0.0225552539776106
72,-7325.0,-0.03019794787605981
73,-7315.0,-0.028987367774509026
74,-7305.0,-0.04280043567295824
75,-7295.0,-0.05811632757140746
76,-7285.0,-0.05814345546985668
77,-7275.0,-0.049859143368305894
78,-7265.0,-0.04246432126675512
79,-7255.0,-0.04747171916520433
80,-7245.0,-0.025777587063653545
81,-7235.0,-0.024432009962102756
82,-7225.0,-0.013965430860551978
83,-7215.0,-0.013980857759001188
84,-7205.0,-0.013701331657450404
85,-7195.0,-0.008735859555899624
86,-7185.0,-0.012787187454348842
87,-7175.0,-0.022360480352798057
88,-7165.0,-0.02153658825124727
89,-7155.0,-0.020994522149696486
90,-7145.0,-0.018465426048145696
