time,erb2022_da_temp
-7945,-0.15126802990592322
-7935,-0.13815042967356053
-7925,-0.1380301568136295
-7915,-0.1363649427369913
-7905,-0.11890581282234991
-7895,-0.10211772689975107
-7885,-0.09968777219212857
-7875,-0.10059496513015828
-7865,-0.0980892817900261
-7855,-0.10505007332570163
-7845,-0.1093446969465097
-7835,-0.11183982374525869
-7825,-0.11551319839812124
-7815,-0.13505886713422144
-7805,-0.13210179316259232
-7795,-0.11659131603694764
-7785,-0.09886412354565463
-7775,-0.09293386744714582
-7765,-0.09186939089006985
-7755,-0.08929661972827518
-7745,-0.09399125291413868
-7735,-0.10106038986153212
-7725,-0.10475857587910495
-7715,-0.11099536003924215
-7705,-0.12419759141660536
-7695,-0.11816070260859338
-7685,-0.11847380021966303
-7675,-0.12247747587419355
-7665,-0.11768071758008802
-7655,-0.11129775861657462
-7645,-0.10558960805095044
-7635,-0.11320672402537665
-7625,-0.10729371602094973
-7615,-0.10225028390444127
-7605,-0.11441003563261828
-7595,-0.11885835448659268
-7585,-0.12096313046670759
-7575,-0.11833487669385276
-7565,-0.11520957047499028
-7555,-0.10948135177052817
-7545,-0.10640015857673488
-7535,-0.1016455277279695
-7525,-0.09965785811103187
-7515,-0.09989820266521776
-7505,-0.10435024494684542
-7495,-0.1010100118295034
-7485,-0.10572009193158946
-7475,-0.11334076742089591
-7465,-0.11202607522166577
-7455,-0.12219624998427236
-7445,-0.1259058623985132
-7435,-0.12238047490275708
-7425,-0.11903835120058859
-7415,-0.11137126231945357
-7405,-0.10540244015312994
-7395,-0.10264225336170998
-7385,-0.09476375053084696
-7375,-0.08734865891195143
-7365,-0.08155573284632767
-7355,-0.07856310749805773
-7345,-0.05820788707963431
-7335,-0.03601011665917242
-7325,-0.0381874170564791
-7315,-0.03993897730863895
-7305,-0.05203957887745703
-7295,-0.06523415478325689
-7285,-0.06611098101741876
-7275,-0.05895427739626968
-7265,-0.052976041421361794
-7255,-0.05307299489534702
-7245,-0.037237541139193406
-7235,-0.032185751799561624
-7225,-0.024147031683542375
-7215,-0.022792874224551563
-7205,-0.021942003950544242
-7195,-0.018666886579312918
-7185,-0.02225890880829895
-7175,-0.02981989629945958
-7165,-0.030308429472216014
-7155,-0.029460280988433007
-7145,-0.02798401596403921
-7135,-0.027407578513093833
-7125,-0.006282087270238053
-7115,0.008112745970419999
-7105,0.010479191696203705
-7095,0.0061548392110759576
-7085,0.019373402552145924
-7075,0.023124756553142722
-7065,0.02390867486216819
-7055,0.02308635463093167
-7045,0.026700744492399897
-7035,0.03286333207476644
-7025,0.031676598795156385
-7015,0.03235630411624668
-7005,0.04212972873908227
-6995,0.0473346965442667
-6985,0.028783824949341286
-6975,0.024271458561697434
-6965,-0.006003340284524088
-6955,-0.016099733155288343
-6945,-0.013357056625254986
-6935,-0.018152101518653874
-6925,-0.001026143407516722
-6915,0.014385363930768724
-6905,0.021694944618202205
-6895,0.020548922620646115
-6885,0.009188158815659042
-6875,0.010002991679056935
-6865,0.022164534456960316
-6855,0.016634410974502023
-6845,0.006715012626654863
-6835,0.005284492071650382
-6825,0.00553190024190342
-6815,0.0006741670946845968
-6805,-0.010461197787963394
-6795,-0.00977512294805849
-6785,-0.005660111405022983
-6775,-0.004351781535961281
-6765,-0.004817613255300161
-6755,-0.005983796756782185
-6745,-0.009265269007601384
-6735,-0.0051437135264953415
-6725,0.002170839957825299
-6715,0.006669966416365854
-6705,0.00872052498713827
-6695,0.004605685738779064
-6685,-0.0011340003405442278
