,time,tian22ht115kaallgmst1kyrfir
0,-7945.0,0.3177735310153216
1,-7935.0,0.31928983229461827
2,-7925.0,0.28628384935917284
3,-7915.0,0.28907459730792695
4,-7905.0,0.20530644277527932
5,-7895.0,0.2982481929279601
6,-7885.0,0.30721665528896613
7,-7875.0,0.21343222093971526
8,-7865.0,0.31100191716832115
9,-7855.0,0.3666377537709027
10,-7845.0,0.34522096234197885
11,-7835.0,0.2321838255066675
12,-7825.0,0.2510759780929983
13,-7815.0,0.31444632342401546
14,-7805.0,0.39122283549342907
15,-7795.0,0.2716367792519151
16,-7785.0,0.3541118704114634
17,-7775.0,0.3261586974517414
18,-7765.0,0.35918014097262174
19,-7755.0,0.31132523617992636
20,-7745.0,0.34693833426427956
21,-7735.0,0.42480929996808425
22,-7725.0,0.3688634903318977
23,-7715.0,0.3890333332425766
24,-7705.0,0.3818304757135804
25,-7695.0,0.3703774455443787
26,-7685.0,0.3354728780705667
27,-7675.0,0.3401628979658812
28,-7665.0,0.34123569487952343
29,-7655.0,0.36612750429029917
30,-7645.0,0.4072940213392411
31,-7635.0,0.3650099792843927
32,-7625.0,0.3554648017867217
33,-7615.0,0.37327048345329517
34,-7605.0,0.36884428782716927
35,-7595.0,0.3993994824330319
36,-7585.0,0.3506032438860949
37,-7575.0,0.37712979274170255
38,-7565.0,0.3269752834298565
39,-7555.0,0.3187701781013601
40,-7545.0,0.30665228349892215
41,-7535.0,0.3360839932063462
42,-7525.0,0.34008904467400136
43,-7515.0,0.272549078707781
44,-7505.0,0.26902465397377817
45,-7495.0,0.3109652388252764
46,-7485.0,0.21237304395797119
47,-7475.0,0.24630186805383292
48,-7465.0,0.14890701443235
49,-7455.0,0.14386168791169296
50,-7445.0,0.2844116621611368
51,-7435.0,0.22896531895725403
52,-7425.0,0.2627633092485965
53,-7415.0,0.22176817631211643
54,-7405.0,0.1823262624530424
55,-7395.0,0.26192822034119856
56,-7385.0,0.2830891777372947
57,-7375.0,0.2864579133456787
58,-7365.0,0.22229692422886238
59,-7355.0,0.3377501368946976
60,-7345.0,0.3492925643091894
61,-7335.0,0.25844587335924374
62,-7325.0,0.3402479151746848
63,-7315.0,0.32928447749585743
64,-7305.0,0.4023900532214566
65,-7295.0,0.330454661761053
66,-7285.0,0.3773471929528468
67,-7275.0,0.25637251856444954
68,-7265.0,0.3593560521176239
69,-7255.0,0.4006368304932276
70,-7245.0,0.29283917762234624
71,-7235.0,0.2976433665804319
72,-7225.0,0.3368786829240136
73,-7215.0,0.32756805229048935
74,-7205.0,0.32689033307262505
75,-7195.0,0.3052612446023134
76,-7185.0,0.3036449863433476
77,-7175.0,0.2910736116027315
78,-7165.0,0.28196110991126444
79,-7155.0,0.279464413423547
80,-7145.0,0.4003341063176298
81,-7135.0,0.3637763633723834
82,-7125.0,0.33860076257105143
83,-7115.0,0.3721117129269458
84,-7105.0,0.33521371525353083
85,-7095.0,0.3482778212284008
86,-7085.0,0.2565000591643215
87,-7075.0,0.2855211818886427
88,-7065.0,0.3321412002449333
89,-7055.0,0.301817095323087
90,-7045.0,0.3357041134905454
91,-7035.0,0.2959423801845803
92,-7025.0,0.3169030623191038
93,-7015.0,0.33280416335207885
94,-7005.0,0.3180524787393266
95,-6995.0,0.39342948758340834
96,-6985.0,0.31980702024157104
97,-6975.0,0.277456678460998
98,-6965.0,0.24438736348623602
99,-6955.0,0.3335488175913379
100,-6945.0,0.2240063899574205
101,-6935.0,0.24462135149714037
102,-6925.0,0.30121613133458014
103,-6915.0,0.3050217610330014
104,-6905.0,0.2800337601374946
105,-6895.0,0.3491648464097197
106,-6885.0,0.36193906819387867
107,-6875.0,0.3123322905024033
108,-6865.0,0.30590008888313514
109,-6855.0,0.38047497033747546
110,-6845.0,0.3149219593666204
111,-6835.0,0.34238798354578126
112,-6825.0,0.34964343024872424
113,-6815.0,0.3115051552539846
114,-6805.0,0.32472083798742857
115,-6795.0,0.25796001930067436
116,-6785.0,0.38536936440298497
117,-6775.0,0.32638657010061434
118,-6765.0,0.40370994127412685
119,-6755.0,0.3232495456067437
120,-6745.0,0.32501428127557985
121,-6735.0,0.2927515622837058
122,-6725.0,0.3986981387628499
123,-6715.0,0.3511429065720396
124,-6705.0,0.37465834519442975
125,-6695.0,0.31699329449683444
126,-6685.0,0.3502861592375146
127,-6675.0,0.22275552898087847
128,-6665.0,0.24921916455989468
129,-6655.0,0.2314247170621051
130,-6645.0,0.2677361315160295
131,-6635.0,0.3619808904268944
132,-6625.0,0.36773266983955155
133,-6615.0,0.2841458766557776
134,-6605.0,0.3652249470520248
135,-6595.0,0.3157231443072106
136,-6585.0,0.3074296325610639
137,-6575.0,0.3015108981651572
138,-6565.0,0.24513129029159741
139,-6555.0,0.2768883465771763
140,-6545.0,0.34334300307809296
141,-6535.0,0.2844377182529232
142,-6525.0,0.28983628520942295
143,-6515.0,0.2722000433346097
144,-6505.0,0.31101397397690045
145,-6495.0,0.2524895932875797
146,-6485.0,0.3977053232165979
147,-6475.0,0.30635986085489475
148,-6465.0,0.32109764717698175
149,-6455.0,0.41471015176368764
150,-6445.0,0.34903064175482634
151,-6435.0,0.3299410832324039
152,-6425.0,0.28642159198016115
153,-6415.0,0.327629167265834
154,-6405.0,0.3143045750637983
155,-6395.0,0.2644222971276854
156,-6385.0,0.3976185237493668
157,-6375.0,0.2863271164304013
158,-6365.0,0.31394719253851944
159,-6355.0,0.22490640126882466
160,-6345.0,0.24500672749333374
161,-6335.0,0.31550065772859703
162,-6325.0,0.2822124048615031
163,-6315.0,0.2925294982388881
164,-6305.0,0.2343128797607974
165,-6295.0,0.34031720984216385
166,-6285.0,0.3654589021634562
167,-6275.0,0.35665548436431216
168,-6265.0,0.347433366085072
169,-6255.0,0.41152346988665756
170,-6245.0,0.24615188469498483
171,-6235.0,0.30651671253811474
172,-6225.0,0.2922364643656129
173,-6215.0,0.3327383022386441
174,-6205.0,0.26633138027507386
175,-6195.0,0.3253670738836234
176,-6185.0,0.31587411991921266
177,-6175.0,0.32579672177521146
178,-6165.0,0.2514085054132864
