,time,GISP2alley00Tanom_decavg_temp__detrendedlinear
0,-8045,-0.002083328901268111
1,-8035,0.11094167065814015
2,-8025,0.21693550316949106
3,-8015,0.3124700374352264
4,-8005,0.4460097241814851
5,-7995,0.5996561123929751
6,-7985,0.806168346990907
7,-7975,1.0244429092689495
8,-7965,1.0924200166621059
9,-7955,1.1401485719818043
10,-7945,1.1323758645451285
11,-7935,1.1248007548950714
12,-7925,1.1175099932794168
13,-7915,1.1158955303505467
14,-7905,1.11760048773138
15,-7895,1.1453178699272637
16,-7885,1.1830026217932672
17,-7875,1.2885612340643906
18,-7865,1.3942876164080984
19,-7855,1.5003485342857628
20,-7845,1.5519018920051522
21,-7835,1.573716194491359
22,-7825,1.5813481803674612
23,-7815,1.565510559038132
24,-7805,1.474244202215694
25,-7795,1.430992120803579
26,-7785,1.4298088322931934
27,-7775,1.4011416444438287
28,-7765,1.3647993646070167
29,-7755,1.2423139325690356
30,-7745,1.1390367463293725
31,-7735,1.1150551388981567
32,-7725,1.0767960858389447
33,-7715,1.0274548946990327
34,-7705,0.9925016902434753
35,-7695,0.9559203513301584
36,-7685,0.8109743363968126
37,-7675,0.6574688285123955
38,-7665,0.4858577265040615
39,-7655,0.3459004527622668
40,-7645,0.2394206846357052
41,-7635,0.13645087205489353
42,-7625,0.039779038257291954
43,-7615,0.026548722360654198
44,-7605,0.02056817967810126
45,-7595,0.02597481291792697
46,-7585,0.09484835121646551
47,-7575,0.1851037880107249
48,-7565,0.20457055565565463
49,-7555,0.20278127930044293
50,-7545,0.09738896603303637
51,-7535,0.03350496246037227
52,-7525,0.018544696458196896
53,-7515,0.03236888604971255
54,-7505,0.057387030594331256
55,-7495,0.13911578463738838
56,-7485,0.20175757149491863
57,-7475,0.2071538322322486
58,-7465,0.24920604967504378
59,-7455,0.31306476129827926
60,-7445,0.4265118173072611
61,-7435,0.5204336561577872
62,-7425,0.4927510683344136
63,-7415,0.4438459750644182
64,-7405,0.3709128425787341
65,-7395,0.27520942738431153
66,-7385,0.17798519274425417
67,-7375,0.10318410534713968
68,-7365,0.015545222283985749
69,-7355,-0.0907983606070854
70,-7345,-0.1652628705504955
71,-7335,-0.22100475035004247
72,-7325,-0.22659010252017084
73,-7315,-0.24207569151533312
74,-7305,-0.2978408272750043
75,-7295,-0.35511643901075135
76,-7285,-0.41396417880323066
77,-7275,-0.5129943472403593
78,-7265,-0.6264597563954405
79,-7255,-0.7053408898622315
80,-7245,-0.7849124867729967
81,-7235,-0.8670050781187384
82,-7225,-0.9542568308635797
83,-7215,-1.0458157734003306
84,-7205,-1.0697787967343981
85,-7195,-1.05388197267607
86,-7185,-0.9611875756830657
87,-7175,-0.8706779523873416
88,-7165,-0.7819414787589749
89,-7155,-0.7538137379615626
90,-7145,-0.7321702084964977
91,-7135,-0.6630586067614036
92,-7125,-0.596675172298753
93,-7115,-0.60551120691911
94,-7105,-0.5933698392628941
95,-7095,-0.5710173562648262
96,-7085,-0.4179923567054187
97,-7075,-0.2747681788678757
98,-7065,-0.15507930761413447
99,-7055,-0.050462337832368864
100,-7045,0.04084253818224903
101,-7035,0.17846684728685847
102,-7025,0.28838585828324237
103,-7015,0.3983048692796264
104,-7005,0.5666925310325904
105,-6995,0.8250091327817305
106,-6985,1.033834515284307
107,-6975,1.216244339047925
108,-6965,1.2975205433598558
109,-6955,1.3567271361031557
110,-6945,1.4463967559957878
111,-6935,1.511842084769878
112,-6925,1.560469181211582
113,-6915,1.4650010377072054
114,-6905,1.4134044360613165
115,-6895,1.407653147073269
116,-6885,1.4043380001208563
117,-6875,1.372004805286172
118,-6865,1.2307270851188867
119,-6855,1.1110755095699747
120,-6845,1.0068923770842906
121,-6835,0.9878503572254546
122,-6825,0.9828087443404825
123,-6815,0.9743573597897859
124,-6805,0.9099559804037595
125,-6795,0.7760561769397682
126,-6785,0.6025148163617167
127,-6775,0.42688657886910175
128,-6765,0.3371717174094325
129,-6755,0.2287194443954379
130,-6745,0.09470810171986488
131,-6735,-0.07023698150601543
132,-6725,-0.23446898374071443
133,-6715,-0.37583114004575935
134,-6705,-0.480795320307839
135,-6695,-0.5560135069141421
136,-6685,-0.531687696503297
137,-6675,-0.5102102231007244
138,-6665,-0.4927478753604163
139,-6655,-0.48284171051522057
140,-6645,-0.46165238494202654
141,-6635,-0.4070763288498179
142,-6625,-0.4229297607807698
143,-6615,-0.47545367793228244
144,-6605,-0.6106467219929441
145,-6595,-0.6658068936187571
146,-6585,-0.653096084739186
147,-6575,-0.5471932383888889
148,-6565,-0.4867510061907945
149,-6555,-0.48187174684539213
150,-6545,-0.51455057808608
151,-6535,-0.5200784681586718
152,-6525,-0.4539314512361361
153,-6515,-0.3618990452842867
154,-6505,-0.25823176368894757
155,-6495,-0.1649772574317813
156,-6485,-0.1091950406662717
157,-6475,-0.09336262013566657
158,-6465,-0.12383845470744195
159,-6455,-0.21277584210077274
160,-6445,-0.30861200661790966
161,-6435,-0.37914914212762496
162,-6425,-0.43750170607150707
163,-6415,-0.49914992509118017
164,-6405,-0.5321344538636251
165,-6395,-0.5413983715287352
166,-6385,-0.46606176349254436
167,-6375,-0.4285298243292684
168,-6365,-0.42194097317452856
