,time,vieira11tsianom1kyrfir
0,-7945.0,-0.00662187410408378
1,-7935.0,-0.1762343827253825
2,-7925.0,-0.2297909081881742
3,-7915.0,-0.11323635004945998
4,-7905.0,0.20839258382851622
5,-7895.0,0.630046739512933
6,-7885.0,0.6393808522740396
7,-7875.0,0.2649260324844642
8,-7865.0,0.10405827799731886
9,-7855.0,0.1470871622026606
10,-7845.0,0.14066485143301016
11,-7835.0,0.09141557055335732
12,-7825.0,0.10466429823997493
13,-7815.0,0.21599024891664564
14,-7805.0,0.3153560964117562
15,-7795.0,0.12794543180707313
16,-7785.0,-0.011930853094228738
17,-7775.0,0.18549953334244462
18,-7765.0,0.26942745836416954
19,-7755.0,0.10743719288556758
20,-7745.0,0.061864204564928
21,-7735.0,0.11252136217520525
22,-7725.0,0.157816132311226
23,-7715.0,0.23411799505433034
24,-7705.0,0.29163012743871186
25,-7695.0,0.22110397249667324
26,-7685.0,0.03782648512829684
27,-7675.0,-0.15188405113428635
28,-7665.0,-0.2459186431874618
29,-7655.0,-0.1923743536494657
30,-7645.0,-0.03330600861073424
31,-7635.0,0.1389257292087247
32,-7625.0,0.14102840622146287
33,-7615.0,-0.012820564900745596
34,-7605.0,-0.01418853964790065
35,-7595.0,0.037347284149049614
36,-7585.0,-0.10207642332596234
37,-7575.0,-0.2852282015283433
38,-7565.0,-0.42693665814718657
39,-7555.0,-0.40229291427008296
40,-7545.0,-0.11864645459284207
41,-7535.0,0.25509430570730934
42,-7525.0,0.3632899800195688
43,-7515.0,0.09425380946881144
44,-7505.0,-0.07804779906050978
45,-7495.0,-0.001828501891859161
46,-7485.0,0.03945269945641594
47,-7475.0,0.01534191794290106
48,-7465.0,0.017687576611963317
49,-7455.0,0.10428412480942997
50,-7445.0,0.1691846858423337
51,-7435.0,-0.10517776431181636
52,-7425.0,-0.4677748173344997
53,-7415.0,-0.5313290241771416
54,-7405.0,-0.3429993151921832
55,-7395.0,-0.0458061557726582
56,-7385.0,0.09500629217669404
57,-7375.0,-0.011124653221134321
58,-7365.0,-0.06445392197093908
59,-7355.0,0.164449063382681
60,-7345.0,0.3223875893112059
61,-7335.0,0.1687512468980804
62,-7325.0,-0.004157761921047443
63,-7315.0,-0.07566536812043428
64,-7305.0,-0.02640804478346659
65,-7295.0,0.06683895865326228
66,-7285.0,0.09654431714726548
67,-7275.0,0.023465233399556112
68,-7265.0,-0.11801728685222901
69,-7255.0,-0.23256490559885667
70,-7245.0,-0.2916016017506059
71,-7235.0,-0.2353532542095719
72,-7225.0,-0.12739283002819482
73,-7215.0,-0.13135407386553286
74,-7205.0,-0.1800190699451486
75,-7195.0,-0.09540752715393502
76,-7185.0,-0.03184309950737305
77,-7175.0,-0.025645364077901328
78,-7165.0,-0.12738553137106318
79,-7155.0,-0.3382492510799418
80,-7145.0,-0.3357167510941472
81,-7135.0,-0.09471349418687708
82,-7125.0,0.22020288229819354
83,-7115.0,0.43531389918053
84,-7105.0,0.3386385325538146
85,-7095.0,0.0359311199597709
86,-7085.0,-0.02166989258159302
87,-7075.0,0.1693882007393189
88,-7065.0,0.32282168305754566
89,-7055.0,0.3660345682646064
90,-7045.0,0.33592469817697607
91,-7035.0,0.21784184800698636
92,-7025.0,0.0546628557250555
93,-7015.0,-0.04117358451569436
94,-7005.0,-0.09854445784979149
95,-6995.0,-0.13514200241883326
