,time,doering22T15Ngoujon_decavg_temp__detrendedlinear
0,-8045,0.7843942043078593
1,-8035,0.6780696578033032
2,-8025,0.6527451112987475
3,-8015,0.9974205647941945
4,-8005,0.382096018289638
5,-7995,0.6397714717850835
6,-7985,0.522446925280529
7,-7975,0.6451223787759739
8,-7965,0.547797832271419
9,-7955,0.5444732857668644
10,-7945,0.576148739262309
11,-7935,0.18782419275775375
12,-7925,0.638499646253198
13,-7915,0.12917509974864405
14,-7905,-0.21214944675591152
15,-7895,0.0325260067395341
16,-7885,0.18120146023497874
17,-7875,0.1768769137304238
18,-7865,0.5275523672258675
19,-7855,0.8122278207213123
20,-7845,0.9599032742167584
21,-7835,1.193578727712202
22,-7825,1.298254181207649
23,-7815,1.0949296347030941
24,-7805,1.161605088198538
25,-7795,1.2272805416939834
26,-7785,1.1509559951894293
27,-7775,0.852631448684873
28,-7765,0.8093069021803183
29,-7755,0.47598235567576186
30,-7745,0.8796578091712082
31,-7735,0.792333262666653
32,-7725,0.42200871616209756
33,-7715,-0.006315830342457751
34,-7705,-0.24164037684701167
35,-7695,-0.21796492335156703
36,-7685,-0.08628946985612185
37,-7675,0.1143859836393224
38,-7665,0.3850614371347669
39,-7655,0.23173689063021286
40,-7645,0.055412344125659097
41,-7635,0.007087797621101899
42,-7625,-0.16623674888345086
43,-7615,-0.21656129538800695
44,-7605,0.06611415810743804
45,-7595,0.47178961160288324
46,-7585,0.7354650650983272
47,-7575,0.7471405185937732
48,-7565,0.7308159720892178
49,-7555,0.6364914255846621
50,-7545,0.4951668790801067
51,-7535,0.4238423325755525
52,-7525,0.27351778607099675
53,-7515,0.014193239566442806
54,-7505,-0.2311313069381118
55,-7495,-0.4174558534426671
56,-7485,-0.16478039994722327
57,-7475,0.10189505354822259
58,-7465,-0.06142949295633304
59,-7455,-0.2017540394608881
60,-7445,-0.429078585965442
61,-7435,-0.2524031324699978
62,-7425,0.13327232102544784
63,-7415,0.3609477745208922
64,-7405,0.1746232280163369
65,-7395,0.04929868151178329
66,-7385,0.053974135007228696
67,-7375,-0.010350411497328516
68,-7365,-0.1306749580018831
69,-7355,-0.34099950450643757
70,-7345,-0.0823240510109926
71,-7335,0.18835140248445192
72,-7325,0.5720268559798969
73,-7315,0.9687023094753417
74,-7305,0.8803777629707872
75,-7295,0.3230532164662314
76,-7285,0.27172866996167677
77,-7275,0.318404123457122
78,-7265,0.2580795769525661
79,-7255,0.2467550304480124
80,-7245,0.24043048394345767
81,-7235,0.07410593743890104
82,-7225,-0.41521860906565333
83,-7215,-0.15654315557020748
84,-7205,0.11913229792523694
85,-7195,0.22280775142068165
86,-7185,0.36548320491612607
87,-7175,0.11215865841157147
88,-7165,-0.35816588809298366
89,-7155,-0.46249043459753914
90,-7145,-0.33081498110209306
91,-7135,0.2298604723933515
92,-7125,0.6485359258887957
93,-7115,0.3592113793842415
94,-7105,0.07188683287968711
95,-7095,0.20256228637513196
