,time,seierstad14ngrip1d18o1kyrfir
0,-8045,-0.011953769868124436
1,-8035,-0.1538413681368728
2,-8025,-0.23168313902727306
3,-8015,-0.22284967699770847
4,-8005,-0.1497809073026454
5,-7995,0.0017878275214443518
6,-7985,0.12424710195688796
7,-7975,0.211162423322491
8,-7965,0.3445023969109563
9,-7955,0.5345440479557553
10,-7945,0.545896812901474
11,-7935,0.3387367555363607
12,-7925,0.08796691628363967
13,-7915,-0.21612732365758447
14,-7905,-0.35102372330200327
15,-7895,-0.2791707165022745
16,-7885,-0.2655073576472089
17,-7875,-0.3230965853225835
18,-7865,-0.3701233807001302
19,-7855,-0.4043204357019507
20,-7845,-0.3603298155166036
21,-7835,-0.22087434274241932
22,-7825,-0.11583775711019542
23,-7815,-0.05306002857989661
24,-7805,0.05178236324469013
25,-7795,0.20793505998074086
26,-7785,0.31723506542646374
27,-7775,0.3691570417729272
28,-7765,0.33036600217443657
29,-7755,0.180601252330503
30,-7745,0.028034358792824773
31,-7735,-0.12809978725041532
32,-7725,-0.18461982367356947
33,-7715,-0.11950874730386432
34,-7705,-0.027965998325998512
35,-7695,0.09572003116711802
36,-7685,0.1017465637428917
37,-7675,-0.0362354747269123
38,-7665,-0.08252059137258407
39,-7655,-0.016875232517022
40,-7645,0.10561056359114636
41,-7635,0.2973695660948385
42,-7625,0.3072522675130567
43,-7615,0.09471471190023123
44,-7605,-0.031849781718725094
45,-7595,-0.05347828381466799
46,-7585,0.027791229410393192
47,-7575,0.2346275185937908
48,-7565,0.29439131405507857
49,-7555,0.17427655702109243
50,-7545,0.08264041171741685
51,-7535,0.025667834234917114
52,-7525,-0.060239395401598284
53,-7515,-0.181659936709484
54,-7505,-0.2938617967897785
55,-7495,-0.39489045011179824
56,-7485,-0.41577916850357266
57,-7475,-0.33881114626052533
58,-7465,-0.19071373875651054
59,-7455,0.044157891847667996
60,-7445,0.2149288209260421
61,-7435,0.30729477181792136
62,-7425,0.29274277216218436
63,-7415,0.14750329887243807
64,-7405,0.05186881714190718
65,-7395,0.01676226290282999
66,-7385,-0.0036661659128059826
67,-7375,-0.0062756076032319166
68,-7365,0.03149683878024259
69,-7355,0.1186009268641248
70,-7345,0.14927061486239074
71,-7335,0.11100918646708262
72,-7325,0.056909967714972864
73,-7315,-0.016602843199147455
74,-7305,-0.05204528737833169
75,-7295,-0.040986130683407396
76,-7285,-0.07066306636659442
77,-7275,-0.1501795680830696
78,-7265,-0.20301311430857563
79,-7255,-0.2232147974552371
80,-7245,-0.13351496897386356
81,-7235,0.09058990979489943
82,-7225,0.21302431832934382
83,-7215,0.21122045951517043
84,-7205,0.12119618078174699
85,-7195,-0.07653068135317909
86,-7185,-0.16207911670836045
87,-7175,-0.11052961424296501
88,-7165,-0.059471179208071726
89,-7155,-0.008925457774980241
90,-7145,-0.04774920377614759
91,-7135,-0.19560868700439912
92,-7125,-0.23338798799554572
93,-7115,-0.13668400931704128
94,-7105,-0.04823726349728892
95,-7095,0.030125939745997102
96,-7085,0.006690129413734032
97,-7075,-0.14097872517647347
98,-7065,-0.15842747269100615
99,-7055,-0.016661621977105648
100,-7045,0.08089041948430434
101,-7035,0.12441498697008263
102,-7025,0.09101860994328764
103,-7015,-0.036280252091513226
104,-7005,-0.11322825986272454
105,-6995,-0.12853492954529164
106,-6985,-0.09006859759401062
107,-6975,0.014206067328236108
108,-6965,0.08003548435483686
109,-6955,0.09891395242306475
110,-6945,0.0355332438410643
111,-6935,-0.12840237919433728
112,-6925,-0.1676225429144069
113,-6915,-0.05435048727243513
114,-6905,0.09480524475842061
115,-6895,0.2878880797222621
116,-6885,0.31213912101991315
117,-6875,0.13004304102127934
118,-6865,0.0008456758325676439
119,-6855,-0.06378692934254311
120,-6845,-0.07342061124741432
121,-6835,-0.015732958549206887
122,-6825,0.03624273464780464
123,-6815,0.08140943931047645
124,-6805,0.14930920563955843
125,-6795,0.244901275045233
126,-6785,0.25851121217164114
127,-6775,0.17188681418570131
128,-6765,0.032557068656205806
129,-6755,-0.17124842927865158
130,-6745,-0.27240279019448266
131,-6735,-0.24817613249488596
132,-6725,-0.16860024248087654
133,-6715,-0.0214290695179028
134,-6705,0.06849452368052514
135,-6695,0.08849260507436776
136,-6685,0.11554581974940085
137,-6675,0.1512029296600152
138,-6665,0.14217845353377997
139,-6655,0.07845080230376594
140,-6645,0.02065285605412291
141,-6635,-0.029917952089997674
142,-6625,-0.043026382308538336
143,-6615,-0.010523462576923263
144,-6605,0.030032631083251448
145,-6595,0.08036265788003324
146,-6585,0.1263930131686598
147,-6575,0.167221696063458
148,-6565,0.12168816491982637
149,-6555,-0.029517168287262086
150,-6545,-0.17040055771119447
151,-6535,-0.29870451216484734
152,-6525,-0.37165865988769553
153,-6515,-0.37694389141457607
154,-6505,-0.3290553911182664
155,-6495,-0.21626844993291847
156,-6485,-0.0953838591159625
157,-6475,0.0353361448491441
158,-6465,0.13237262285218454
159,-6455,0.18824626830736074
160,-6445,0.16772469631950615
161,-6435,0.053754836359419834
162,-6425,0.0209672300219729
163,-6415,0.08732150810560016
164,-6405,0.165006821087502
165,-6395,0.2565545570393194
166,-6385,0.29076756274223603
167,-6375,0.25489472670547314
168,-6365,0.19536565025628494
169,-6355,0.10688110068017284
170,-6345,-0.01088748312162971
171,-6335,-0.16441477486059275
172,-6325,-0.20313615244660316
173,-6315,-0.10152038591675852
174,-6305,-0.009002344816164378
175,-6295,0.0723359185469749
176,-6285,0.051121166156820816
177,-6275,-0.09537367150138729
178,-6265,-0.1552404738763204
179,-6255,-0.10921229513980041
180,-6245,-0.07463944803861756
181,-6235,-0.054069861628798996
182,-6225,-0.06636081927565352
183,-6215,-0.11873746985438352
184,-6205,-0.08460110894923067
185,-6195,0.055276196993367145
186,-6185,0.10040132481293723
187,-6175,0.02976975746092695
188,-6165,-0.043272715010437494
189,-6155,-0.11918831361724053
190,-6145,-0.10741655182405029
191,-6135,0.011574907805855336
192,-6125,0.13376952350291185
193,-6115,0.2599131555588761
194,-6105,0.2969422760664454
195,-6095,0.2250564305463818
196,-6085,0.09784182589827074
197,-6075,-0.0969498146186436
198,-6065,-0.1546021595883767
199,-6055,-0.04458350256852825
200,-6045,-0.020255733764273948
201,-6035,-0.10058845651213638
202,-6025,-0.20241093665430138
203,-6015,-0.3304934813979552
204,-6005,-0.3202365556424095
205,-5995,-0.1408948202168115
206,-5985,-0.07087043890717462
207,-5975,-0.13437951853057534
208,-5965,-0.17881779523658406
209,-5955,-0.1999342863484553
210,-5945,-0.178286593823901
211,-5935,-0.10437617310081679
212,-5925,-0.07099746072719891
213,-5915,-0.0870869544506479
214,-5905,-0.08290103108859073
215,-5895,-0.053968304498709596
216,-5885,0.04134540615346005
217,-5875,0.2177539798740251
218,-5865,0.3885173373187367
219,-5855,0.5524453027810833
220,-5845,0.5847286068832516
221,-5835,0.4561310229499361
222,-5825,0.26458341481058334
223,-5815,-0.003936042644483273
224,-5805,-0.1518166371296395
225,-5795,-0.1522878658790635
226,-5785,-0.09408510657729424
227,-5775,0.03579551122048465
228,-5765,0.12525276351770945
229,-5755,0.16524173313959978
230,-5745,0.16372514843020747
231,-5735,0.11147067623996566
232,-5725,0.06714703823078425
233,-5715,0.032527864919579416
234,-5705,-0.047011643953740356
235,-5695,-0.1814835537428559
236,-5685,-0.23469474439139443
237,-5675,-0.18864999380014597
238,-5665,-0.15476850161459882
239,-5655,-0.13581871358098896
240,-5645,-0.20229037310775463
241,-5635,-0.37323023449790144
242,-5625,-0.32017385294399203
243,-5615,0.006627435130917764
244,-5605,0.18829929005249507
245,-5595,0.19262107649508625
246,-5585,0.09462581064951592
247,-5575,-0.1284326685928141
248,-5565,-0.23550293492006127
249,-5555,-0.20089751049015725
250,-5545,-0.11783113058866627
251,-5535,0.024428640866819673
252,-5525,0.18247502003426352
253,-5515,0.359802441808061
254,-5505,0.40427619801769965
255,-5495,0.2863731028696864
256,-5485,0.20330325358870666
257,-5475,0.16283539935873276
258,-5465,0.1673268849573886
259,-5455,0.2267379328983387
260,-5445,0.21738466169237247
261,-5435,0.12397060750276535
262,-5425,0.034985692514344
263,-5415,-0.048551452223380615
264,-5405,-0.030852513054639846
265,-5395,0.11060737011909733
266,-5385,0.1562841951012288
267,-5375,0.08490877007323784
268,-5365,-0.0022857870497473842
269,-5355,-0.10884426279782881
270,-5345,-0.1514353705973506
271,-5335,-0.11582374271088514
272,-5325,-0.16483420368821752
273,-5315,-0.31722594870454546
274,-5305,-0.3797660878078539
275,-5295,-0.33241827009696023
276,-5285,-0.2660920428100379
277,-5275,-0.1765116543108265
278,-5265,-0.18381910285183953
279,-5255,-0.3095472706624979
280,-5245,-0.32626833567522645
281,-5235,-0.20975897964817358
282,-5225,-0.08669082767770941
283,-5215,0.04444891336170592
284,-5205,0.07752149010352484
285,-5195,-0.009187986322320423
286,-5185,-0.0452877566813733
287,-5175,-0.019508408525228282
288,-5165,0.11199784732382234
289,-5155,0.3727740813782676
290,-5145,0.4680484823366119
291,-5135,0.3610579732869185
292,-5125,0.20225565816396338
293,-5115,-0.019906795801224703
294,-5105,-0.14983560903359563
295,-5095,-0.1669715949291947
296,-5085,-0.16724663460856873
297,-5075,-0.14686263793019416
298,-5065,-0.10617538349613756
299,-5055,-0.04068745462029197
300,-5045,-0.004385642266187997
301,-5035,-0.003814879401157413
302,-5025,9.808234085546125e-05
303,-5015,0.00810075247759802
304,-5005,0.022839621560802957
305,-4995,0.04591877378005793
306,-4985,0.05899057298849689
307,-4975,0.05982645273789121
308,-4965,0.015767108968840288
309,-4955,-0.08324608460047854
310,-4945,-0.05837022863731581
311,-4935,0.11797721147740417
312,-4925,0.25396773329142935
313,-4915,0.34062549715932433
314,-4905,0.3352172166513448
315,-4895,0.21720173761942413
316,-4885,0.1432804451544998
317,-4875,0.12323501409020075
318,-4865,0.08529385968838624
319,-4855,0.02544212660721422
320,-4845,-0.0343059834018256
321,-4835,-0.09390866248385976
322,-4825,-0.08460153427957616
323,-4815,0.008901127722712936
324,-4805,0.05649355851402396
325,-4795,0.04790456344829141
326,-4785,0.016900088001696775
327,-4775,-0.041522618657506866
328,-4765,-0.060429415469529985
329,-4755,-0.031080963882368643
330,-4745,-0.00041960041534095174
331,-4735,0.03183420330383889
332,-4725,0.020271118301567068
333,-4715,-0.0448766672839602
334,-4705,-0.10771786390142987
335,-4695,-0.16773949680247707
336,-4685,-0.15671889020297353
337,-4675,-0.05881367439039385
338,-4665,-0.029386074732406103
339,-4655,-0.08374489082914482
340,-4645,-0.16836467589177828
341,-4635,-0.29003153914766777
342,-4625,-0.3182834053755103
343,-4615,-0.23229268841681006
344,-4605,-0.16536563567466078
345,-4595,-0.12173224577086568
346,-4585,-0.07568021238153941
347,-4575,-0.026721386451641377
348,-4565,0.05614353740676681
349,-4555,0.18044864867755603
350,-4545,0.28463658309717776
351,-4535,0.3641855653786165
352,-4525,0.38070302669714456
353,-4515,0.32013625466596707
354,-4505,0.16946957446689465
355,-4495,-0.09131806346499788
356,-4485,-0.23274813090072882
357,-4475,-0.22829520382034635
358,-4465,-0.2103576033463575
359,-4455,-0.1758714773147227
360,-4445,-0.1514761389093074
361,-4435,-0.13942147758928458
362,-4425,-0.007999041576471827
363,-4415,0.2692532725441253
364,-4405,0.42827534773653
365,-4395,0.44281380932321296
366,-4385,0.3244919410217346
367,-4375,0.043782605131205216
368,-4365,-0.1885225240372614
369,-4355,-0.36164917193743085
370,-4345,-0.4323632608636664
371,-4335,-0.37790993415166074
372,-4325,-0.2649868047871706
373,-4315,-0.08061434990921681
374,-4305,0.046407237836484094
375,-4295,0.10338038929184298
376,-4285,0.1501875722818004
377,-4275,0.18450964274808834
378,-4265,0.19053371042141012
379,-4255,0.16196764462672672
380,-4245,0.0770310711532436
381,-4235,-0.07676234745597887
382,-4225,-0.16987573834820163
383,-4215,-0.1887686356989965
384,-4205,-0.14355401422247743
385,-4195,-0.019960468255874955
386,-4185,0.10695981732566186
387,-4175,0.23787291403639638
388,-4165,0.31353090851582344
389,-4155,0.32166934670491465
390,-4145,0.30272456043099644
391,-4135,0.25066271557777803
392,-4125,0.17363833722269176
393,-4115,0.06611160979466556
394,-4105,-0.00900798414299002
395,-4095,-0.044448307658103356
396,-4085,-0.05635926699055778
397,-4075,-0.03947156335570834
398,-4065,-0.10378133904796752
399,-4055,-0.26735345139931554
400,-4045,-0.3118272947537426
401,-4035,-0.21070065608340083
402,-4025,-0.11761250313984126
403,-4015,-0.03429789331713068
404,-4005,0.048852882643003845
405,-3995,0.1317916997192628
406,-3985,0.18418742059695548
407,-3975,0.19931642621528303
408,-3965,0.14568282939646954
409,-3955,0.008018058038967463
410,-3945,-0.06566502691609166
411,-3935,-0.06115468003509556
412,-3925,-0.0466764763363895
413,-3915,-0.01991861059106923
414,-3905,-0.01010510338117717
415,-3895,-0.0209950743678355
416,-3885,-0.08265126133024041
417,-3875,-0.2063703866270521
418,-3865,-0.2457684825694461
419,-3855,-0.18207389229089982
420,-3845,-0.14993995721901052
421,-3835,-0.15631858295543782
422,-3825,-0.1908987494735472
423,-3815,-0.2599945232992016
424,-3805,-0.25939900825797724
425,-3795,-0.17362032824853563
426,-3785,-0.08334180531922465
427,-3775,0.012476489001356922
428,-3765,0.03520911665741301
429,-3755,-0.03140594546992703
430,-3745,-0.13396994556521033
431,-3735,-0.2804830313159534
432,-3725,-0.29187499995707833
433,-3715,-0.1381599483608971
434,-3705,0.052675285904010494
435,-3695,0.2889104416822854
436,-3685,0.41486495891537234
437,-3675,0.40606357724299175
438,-3665,0.36699156045049286
439,-3655,0.2908986440294653
440,-3645,0.293746134512602
441,-3635,0.39300094025023585
442,-3625,0.4226153722706804
443,-3615,0.36712556567597243
444,-3605,0.2352294559228476
445,-3595,0.009918025745211334
446,-3585,-0.13198378754892226
447,-3575,-0.17201589873935172
448,-3565,-0.1320381117585639
449,-3555,0.005708368362013053
450,-3545,0.11761711784804937
451,-3535,0.19794628881643261
452,-3525,0.15342759553688626
453,-3515,-0.043687356630238317
454,-3505,-0.18884938525378775
455,-3495,-0.2705410163555034
456,-3485,-0.2395396603830593
457,-3475,-0.0708519890059889
458,-3465,0.0022774057632873254
459,-3455,-0.04142143930216094
460,-3445,-0.11423097009375817
461,-3435,-0.22269005224228902
462,-3425,-0.21295482240740116
463,-3415,-0.05875751492204241
464,-3405,0.07064337888475875
465,-3395,0.1697441216420968
466,-3385,0.22606130052257928
467,-3375,0.23007633718399573
468,-3365,0.1631359419513636
469,-3355,0.00953023849656201
470,-3345,-0.11033661184653464
471,-3335,-0.18897168616921198
472,-3325,-0.10441146893891069
473,-3315,0.17957482010048767
474,-3305,0.3464502659415818
475,-3295,0.3702438454076324
476,-3285,0.27692313592796025
477,-3275,0.04050065721777929
478,-3265,-0.12950146347029745
479,-3255,-0.21833862460949027
480,-3245,-0.30044818813734325
481,-3235,-0.37432425796193636
482,-3225,-0.3593694688335081
483,-3215,-0.23581787176942082
484,-3205,-0.13828813806925977
485,-3195,-0.07251974687545942
486,-3185,-0.09125360831691569
487,-3175,-0.21329476426950578
488,-3165,-0.19697321023959727
489,-3155,-0.01145714036962342
490,-3145,0.08963327418508762
491,-3135,0.08756884390148426
492,-3125,0.03038405452938179
493,-3115,-0.09418036527519076
494,-3105,-0.11853229836913491
495,-3095,-0.02032552597083051
496,-3085,0.04194503311998815
497,-3075,0.0602321165907341
