,time,martin24ngriptanom1kyrfir
0,-8045,-0.013381553516923772
1,-8035,0.1348611239671299
2,-8025,0.2735539472867734
3,-8015,0.3870748908623191
4,-8005,0.4707025450519981
5,-7995,0.5220157480492056
6,-7985,0.5472460533146366
7,-7975,0.5551355848519082
8,-7965,0.5496279452255832
9,-7955,0.5294742345887913
10,-7945,0.49176830916162456
11,-7935,0.43045246246537106
12,-7925,0.33875713352230735
13,-7915,0.21692195280300006
14,-7905,0.07263128051898926
15,-7895,-0.08112309027562065
16,-7885,-0.2293629717545672
17,-7875,-0.3546571917255259
18,-7865,-0.4361393747933146
19,-7855,-0.4561416024793208
20,-7845,-0.41127378951902427
21,-7835,-0.3160508275503106
22,-7825,-0.19725953216781672
23,-7815,-0.07892112222170702
24,-7805,0.024585399085327336
25,-7795,0.10554999549171312
26,-7785,0.16259674132750596
27,-7775,0.19966073639687737
28,-7765,0.22040193425393245
29,-7755,0.22459250697422228
30,-7745,0.20968521240434446
31,-7735,0.1741503036533601
32,-7725,0.1210383248134335
33,-7715,0.06152090718066882
34,-7705,0.012402691093790337
35,-7695,-0.012696864815133796
36,-7685,-0.012643349766556677
37,-7675,0.004750172961522303
38,-7665,0.0312340185839
39,-7655,0.06392078967390542
40,-7645,0.10194717957097524
41,-7635,0.1422719254975784
42,-7625,0.18003491642794922
43,-7615,0.21045079959074392
44,-7605,0.23190663587337262
45,-7595,0.24065433172641248
46,-7585,0.22646237569504968
47,-7575,0.17886887479491337
48,-7565,0.09989158294340283
49,-7555,0.003277307862966483
50,-7545,-0.09549736753688096
51,-7535,-0.18328363540391213
52,-7525,-0.25186125734079073
53,-7515,-0.29854243152119375
54,-7505,-0.32431877047360974
55,-7495,-0.32946230265488
56,-7485,-0.31297582830530196
57,-7475,-0.276294664218632
58,-7465,-0.22477971054905663
59,-7455,-0.1647125224455906
60,-7445,-0.09793870851032396
61,-7435,-0.022174257325908442
62,-7425,0.06289408093590695
63,-7415,0.1491469153968149
64,-7405,0.22123911008824376
65,-7395,0.2651520078855424
66,-7385,0.27585728902448514
67,-7375,0.25555610466243356
68,-7365,0.21278481937398458
69,-7355,0.16095190774855472
70,-7345,0.11219254800704243
71,-7335,0.07015237725447271
72,-7325,0.029401349256554576
73,-7315,-0.01352242706933178
74,-7305,-0.054992500245671316
75,-7295,-0.08581192983701505
76,-7285,-0.09899874838377537
77,-7275,-0.0981081895990368
78,-7265,-0.09085551064432092
79,-7255,-0.08283953397420547
80,-7245,-0.0777693612617827
81,-7235,-0.07544114510430713
82,-7225,-0.0720024896588505
83,-7215,-0.0624831059277426
84,-7205,-0.047311640913413104
85,-7195,-0.035303885201837616
86,-7185,-0.03611561991959892
87,-7175,-0.05233733747416704
88,-7165,-0.08040427975062214
89,-7155,-0.11730302367636489
90,-7145,-0.15911798900312568
91,-7135,-0.19768753114814316
92,-7125,-0.22189267079033115
93,-7115,-0.22577253283390844
94,-7105,-0.21145382129009763
95,-7095,-0.1858227330224999
96,-7085,-0.15549786737850002
97,-7075,-0.1250189895161617
98,-7065,-0.09745699768303825
99,-7055,-0.0748057354703161
100,-7045,-0.05767353230208459
101,-7035,-0.04414036183544916
102,-7025,-0.031144157398181355
103,-7015,-0.017002230781585165
104,-7005,-0.0016371067297040187
105,-6995,0.010040424528886996
106,-6985,0.008897214784865798
107,-6975,-0.005231393565032466
108,-6965,-0.01969439248398973
109,-6955,-0.019743264619571627
110,-6945,0.0007935733738007877
111,-6935,0.03649164230269397
112,-6925,0.07320547176418196
113,-6915,0.09794610686873914
114,-6905,0.10686165880234208
115,-6895,0.10181440663501178
116,-6885,0.09131442581325828
117,-6875,0.0885360011138727
118,-6865,0.10280764458583044
119,-6855,0.13480865395247554
120,-6845,0.17453180057264672
121,-6835,0.20615714158404475
122,-6825,0.21543361493238666
123,-6815,0.1963754111079728
124,-6805,0.15667809949164757
125,-6795,0.112946950129997
126,-6785,0.07763928762818514
127,-6775,0.05430827561261217
128,-6765,0.03922219457271729
129,-6755,0.027773299631888466
130,-6745,0.01792832905389143
131,-6735,0.009159762233068348
132,-6725,-0.00027437556704259375
133,-6715,-0.01077852968447367
134,-6705,-0.018297142767963
135,-6695,-0.016152829861897262
136,-6685,0.0012094432859094395
137,-6675,0.0319529810026269
138,-6665,0.06943103587325504
139,-6655,0.1053948586176732
140,-6645,0.1334454530628332
141,-6635,0.15102334341749807
142,-6625,0.15983193527586947
143,-6615,0.1589049308627879
144,-6605,0.14403761472290122
145,-6595,0.11129900244940376
146,-6585,0.06027651963757169
147,-6575,-0.00516174700059327
148,-6565,-0.07677100197321703
149,-6555,-0.14726719060858365
150,-6545,-0.21029566009308934
151,-6535,-0.2624613658530166
152,-6525,-0.30151948746816615
153,-6515,-0.32573408443394913
154,-6505,-0.3337903732402345
155,-6495,-0.3282106965434999
156,-6485,-0.31064806877793644
157,-6475,-0.27710947658155266
158,-6465,-0.21860456011020238
159,-6455,-0.13111812146053026
160,-6445,-0.0220811351130992
161,-6435,0.09537683602687977
162,-6425,0.20873822873734116
163,-6415,0.3063371057180939
164,-6405,0.37448126597725745
165,-6395,0.4023918149345225
166,-6385,0.39202058347903296
167,-6375,0.35494028335866584
168,-6365,0.30667545869330626
169,-6355,0.259969823811604
170,-6345,0.22114154384931012
171,-6335,0.18770860958666635
