time,erb22dagmst1kyrfir
-8045.0,-0.00012357932284331812
-8035.0,0.003233216402356198
-8025.0,0.012227759769718844
-8015.0,0.020285164950610605
-8005.0,0.013936232514949621
-7995.0,0.01898064164723983
-7985.0,0.009744020823814748
-7975.0,0.003116682062524862
-7965.0,0.009271594914312889
-7955.0,-0.004427788119595722
-7945.0,-0.005838159916231524
-7935.0,0.010213623053729592
-7925.0,0.005633506719280167
-7915.0,0.0032383704789971275
-7905.0,0.02164903352164782
-7895.0,0.03899529877212857
-7885.0,0.03768164150544661
-7875.0,0.03404887096009235
-7865.0,0.037667803569074204
-7855.0,0.02676069856549118
-7845.0,0.021487767501316972
-7835.0,0.017521740224050765
-7825.0,0.01606078598105501
-7815.0,-0.012070861054520033
-7805.0,-0.007803643694666914
-7795.0,0.0075443574636773975
-7785.0,0.026298784909516794
-7775.0,0.029951025780245114
-7765.0,0.028555955302497486
-7755.0,0.03211914553383631
-7745.0,0.025192612438914214
-7735.0,0.01644612251275983
-7725.0,0.01239594734862313
-7715.0,0.0070002744781392625
-7705.0,-0.012942207425648578
-7695.0,-0.0021844506813251344
-7685.0,-0.004700092315175861
-7675.0,-0.011472143695971953
-7665.0,-0.006284079572178167
-7655.0,-0.0008743468711281813
-7645.0,0.006630454831497954
-7635.0,-0.006996706136297917
-7625.0,0.0003630078883650205
-7615.0,0.007913605797107941
-7605.0,-0.01061521636308691
-7595.0,-0.01377727200253089
-7585.0,-0.01820104003222767
-7575.0,-0.015234143405872794
-7565.0,-0.014360129912222517
-7555.0,-0.008161869095770793
-7545.0,-0.007812659430290149
-7535.0,-0.002839963871871981
-7525.0,-0.0029982355871898034
-7515.0,-0.003229274470434704
-7505.0,-0.012217226297854447
-7495.0,-0.006542716387623775
-7485.0,-0.014193631525417548
-7475.0,-0.02537601553314931
-7465.0,-0.021713398118431926
-7455.0,-0.036767749540838834
-7445.0,-0.042426235118381124
-7435.0,-0.03870870378392417
-7425.0,-0.038862073817360364
-7415.0,-0.03135254014786292
-7405.0,-0.02748122964928536
-7395.0,-0.027760158672700846
-7385.0,-0.021192127395406497
-7375.0,-0.015418254334445783
-7365.0,-0.011376033133319368
-7355.0,-0.013837652111194945
-7345.0,0.006234327752285493
-7335.0,0.0316688741503612
