time,vieira_tsi
-7945,-0.37928443760756636
-7935,-0.5160974376078684
-7925,-0.5480524376077938
-7915,-0.4101604376076011
-7905,-0.0864074376077042
-7895,0.27071556239206984
-7885,0.2709145623923632
-7875,-0.026436937607968503
-7865,-0.1712514376076797
-7855,-0.1497769376078395
-7845,-0.1512584376077939
-7835,-0.1811274376077563
-7825,-0.15343043760753972
-7815,-0.048560437607648055
-7805,0.014268562392317108
-7795,-0.13330843760763855
-7785,-0.22304893760792766
-7775,-0.0729654376077633
-7765,-0.010765937607629894
-7755,-0.12819693760775408
-7745,-0.16798093760758093
-7735,-0.12603843760780364
-7725,-0.07329993760754405
-7715,-0.0019859376079693902
-7705,0.039697562392120744
-7695,-0.034921437607408734
-7685,-0.20714093760784635
-7675,-0.3825564376077182
-7665,-0.4638614376078749
-7655,-0.41053893760749816
-7645,-0.2604679376079275
-7635,-0.11702593760765012
-7625,-0.12232493760780017
-7615,-0.24039943760794813
-7605,-0.2507529376077855
-7595,-0.23637193760782793
-7585,-0.36541093760774856
-7575,-0.5417279376076749
-7565,-0.6651764376074425
-7555,-0.6223144376076561
-7545,-0.35354593760780517
-7535,-0.0324774376078949
-7525,0.04325756239245493
-7515,-0.17750043760793233
-7505,-0.3246464376077256
-7495,-0.28239943760786446
-7485,-0.24986793760785986
-7475,-0.26729443760768845
-7465,-0.25722993760791724
-7455,-0.18594043760754175
-7445,-0.17170143760745304
-7435,-0.42853843760758537
-7425,-0.7388434376075566
-7415,-0.7969354376075444
-7405,-0.6181644376076747
-7395,-0.35714243760799036
-7385,-0.23792393760777486
-7375,-0.31272443760781243
-7365,-0.3284399376075271
-7355,-0.13871793760768014
-7345,-0.019090937607870728
-7335,-0.14412393760767372
-7325,-0.29780793760801316
-7315,-0.36002543760787376
-7305,-0.31317493760775506
-7295,-0.23164343760777228
-7285,-0.20737393760782652
-7275,-0.27767743760773556
-7265,-0.40385893760776526
-7255,-0.5088779376076218
-7245,-0.5507249376078107
-7235,-0.4935534376079431
-7225,-0.40153993760782214
-7215,-0.39569493760791374
-7205,-0.4132829376078462
-7195,-0.3391824376076329
-7185,-0.27503093760788033
-7175,-0.2728444376080006
-7165,-0.37256043760794455
-7155,-0.5333164376077093
-7145,-0.5079614376079462
-7135,-0.2717514376076906
-7125,0.029750562392337088
-7115,0.21655056239228543
-7105,0.12931556239232123
-7095,-0.1074119376080489
-7085,-0.14282543760782573
-7075,0.026850562392382926
-7065,0.1772410623923406
-7055,0.22957606239219785
-7045,0.20288206239229112
-7035,0.09547156239204924
-7025,-0.044164937607774846
-7015,-0.13238143760759158
-7005,-0.18160743760768128
-6995,-0.20350993760757774
-6985,-0.17397043760774977
-6975,-0.09709693760760274
-6965,-0.016894937607730753
-6955,-0.01614393760769417
-6945,-0.06224093760783944
-6935,-0.02930093760778618
-6925,0.058234562392499356
-6915,0.07841506239219598
-6905,0.016474062392262567
-6895,-0.0641514376077339
-6885,-0.08659243760780555
-6875,-0.05354843760778749
-6865,-0.07926893760759413
-6855,-0.13229043760793502
-6845,-0.03320293760793902
-6835,0.20629356239214758
-6825,0.4326760623921473
-6815,0.41156706239235064
-6805,0.102025562392555
-6795,-0.09779243760817735
-6785,-0.04185543760786459
-6775,0.15815856239237291
-6765,0.22294756239239177
-6755,0.05253806239215919
-6745,-0.047703437607879096
-6735,-0.10846993760787882
-6725,-0.22353143760778948
-6715,-0.16394243760782956
-6705,0.1350465623920627
-6695,0.33660306239221427
-6685,0.21582406239213014
-6675,-0.0062719376076074695
-6665,-0.14190643760775856
-6655,-0.14569093760792384
-6645,-0.14274943760779024
-6635,-0.1901339376076976
-6625,-0.17921293760764456
-6615,-0.09478693760775059
-6605,0.006029062392371998
-6595,0.12051606239219836
-6585,0.22928106239214685
-6575,0.18900956239212974
-6565,0.07384206239225932
-6555,0.047013062392124993
-6545,0.05883706239228559
-6535,0.0877275623922742
-6525,0.16124406239214295
-6515,0.2119480623923664
-6505,0.11016906239228774
-6495,-0.04127693760756301
-6485,-0.0609529376079081
-6475,0.0033985623920216312
-6465,0.06259606239223103
-6455,0.034884062392166015
-6445,-0.05445293760772074
-6435,-0.00465193760760485
-6425,0.10635456239242558
-6415,-0.022222937607693893
-6405,-0.2718469376077337
-6395,-0.3288429376075328
-6385,-0.18744443760760987
-6375,0.0757245623919971
-6365,0.2548680623922337
-6355,0.17386006239212293
-6345,0.1127495623923096
-6335,0.2098940623920953
-6325,0.22530106239219094
-6315,0.040425062392159816
-6305,-0.16830543760784167
-6295,-0.32106443760767434
-6285,-0.4540099376076796
-6275,-0.5201219376076551
-6265,-0.45700593760784614
-6255,-0.27164193760768285
-6245,-0.04072543760798908
-6235,0.15194606239219866
-6225,0.24724356239244116
-6215,0.1484530623927185
-6205,-0.08752693760766306
-6195,-0.21089743760785495
-6185,-0.2663349376077804
-6175,-0.4382289376078461
-6165,-0.49967543760794797
-6155,-0.22576543760760615
-6145,0.15749456239245774
-6135,0.33613156239243835
-6125,0.2292100623924398
-6115,-0.015493937607743646
-6105,-0.09625543760762412
-6095,-0.03592643760748615
-6085,0.09451406239236348
-6075,0.31027656239211865
-6065,0.3740795623923532
-6055,0.32241756239181996
-6045,0.3878280623921455
-6035,0.4297815623922361
-6025,0.4154025623920461
-6015,0.41222056239234917
-6005,0.22658506239235976
-5995,-0.11487043760757842
-5985,-0.1910469376077799
-5975,0.06602806239220627
-5965,0.2966615623922735
-5955,0.22847356239230976
-5945,0.04780606239205554
-5935,-0.09287093760781318
-5925,-0.21664843760754593
-5915,-0.3215169376078393
-5905,-0.38042643760763895
-5895,-0.40129493760787227
-5885,-0.38079743760772544
-5875,-0.30296443760767033
-5865,-0.24257743760790618
-5855,-0.2186874376079686
-5845,-0.14911443760797738
-5835,0.03146106239205437
-5825,0.24333906239235148
-5815,0.3502460623924435
-5805,0.40789406239218806
-5795,0.46084656239190736
-5785,0.4765845623921905
-5775,0.4182630623922705
-5765,0.2796070623921878
-5755,0.09010806239211888
-5745,-0.05397843760761134
-5735,-0.08505643760781822
-5725,-0.07363443760755217
