time,wu_tsi
-7945,-0.23367038709716326
-7935,-0.33192038709694316
-7925,-0.3528703870968002
-7915,-0.2498703870967347
-7905,-0.09292038709668304
-7895,0.06062961290331259
-7885,0.0962296129034712
-7875,-0.0260703870967518
-7865,-0.1712703870966834
-7855,-0.25162038709686385
-7845,-0.293270387096527
-7835,-0.26547038709668414
-7825,-0.14727038709679618
-7815,-0.02452038709657245
-7805,0.025079612903027737
-7795,0.008629612903177986
-7785,-0.004220387096665945
-7775,0.0153796129031889
-7765,0.007829612903151428
-7755,-0.006320387096820923
-7745,-0.01062038709665103
-7735,0.007429612903024463
-7725,0.04812961290303974
-7715,0.09487961290324165
-7705,0.06742961290319727
-7695,-0.07432038709680455
-7685,-0.25247038709699154
-7675,-0.36407038709671724
-7665,-0.39857038709669723
-7655,-0.3155203870967398
-7645,-0.08872038709682784
-7635,0.06857961290324965
-7625,-0.031720387096811464
-7615,-0.14662038709639091
-7605,-0.191470387096615
-7595,-0.25637038709692206
-7585,-0.3710703870967791
-7575,-0.4767203870969752
-7565,-0.504520387096818
-7555,-0.40262038709693115
-7545,-0.24957038709658264
-7535,-0.17362038709688932
-7525,-0.1914703870968424
-7515,-0.2093703870968966
-7505,-0.1709703870967587
-7495,-0.1473703870965437
-7485,-0.1486703870968995
-7475,-0.14462038709666558
-7465,-0.12562038709666012
-7455,-0.06662038709669105
-7445,-0.05552038709674889
-7435,-0.21732038709660628
-7425,-0.4099203870966903
-7415,-0.46322038709672597
-7405,-0.362970387096766
-7395,-0.15572038709660774
-7385,0.007229612903074667
-7375,-0.026470387096651393
-7365,-0.12157038709665358
-7355,-0.14982038709672452
-7345,-0.1562203870967096
-7335,-0.17132038709655717
-7325,-0.15607038709663357
-7315,-0.10582038709685548
-7305,-0.0020203870965360693
-7295,0.06182961290323874
-7285,-0.024670387096648483
-7275,-0.17887038709682201
-7265,-0.348670387096945
-7255,-0.44882038709693006
-7245,-0.4467203870965477
-7235,-0.34282038709670815
-7225,-0.20887038709679473
-7215,-0.10762038709663102
-7205,-0.09817038709684311
-7195,-0.15527038709683438
-7185,-0.20707038709679182
-7175,-0.26812038709681474
-7165,-0.3401203870967038
-7155,-0.3975703870967209
-7145,-0.3865203870966525
-7135,-0.22682038709695007
-7125,0.025429612903053567
-7115,0.1598296129029677
-7105,0.13482961290310413
-7095,0.14097961290326566
-7085,0.2026796129032391
-7075,0.259179612903381
-7065,0.23157961290326057
-7055,0.21122961290325293
-7045,0.1965796129031787
-7035,0.16552961290335588
-7025,0.09717961290311905
-7015,0.030079612903136876
-7005,-0.021970387096644117
-6995,-0.05577038709679982
-6985,-0.06252038709681074
-6975,-0.04297038709660228
-6965,-0.0573203870967518
-6955,-0.1227703870968071
-6945,-0.16582038709680091
-6935,-0.12732038709668814
-6925,-0.06692038709684311
-6915,-0.09007038709683002
-6905,-0.1805203870967489
