,time,doering22gisp2t15n1kyrfir
0,-8045,0.011895069256072744
1,-8035,-0.08136385911487674
2,-8025,-0.09506097534879715
3,-8015,0.26339738519430506
4,-8005,-0.3415535661399941
5,-7995,-0.06871080810123112
6,-7985,-0.17719008256614013
7,-7975,-0.0384202240456394
8,-7965,-0.12838307741943694
9,-7955,-0.11443734654051804
10,-7945,-0.07662552131569025
11,-7935,-0.44642365100016285
12,-7925,0.009183751346983217
13,-7915,-0.48025252166840116
14,-7905,-0.8171526510008553
15,-7895,-0.552620028716737
16,-7885,-0.4013420688829437
17,-7875,-0.3848682437155484
18,-7865,-0.03255112565935703
19,-7855,0.2739025501464284
20,-7845,0.42276728296158383
21,-7835,0.6788156389161559
22,-7825,0.7841019878484773
23,-7815,0.6043897757593509
24,-7805,0.6711002465712163
25,-7795,0.7606143026587517
26,-7785,0.6834658086293224
27,-7775,0.4092372824744939
28,-7765,0.3640607165075289
29,-7755,0.05489771377654317
30,-7745,0.45569315110877295
31,-7735,0.3925739614260986
32,-7725,0.01926300392126719
33,-7715,-0.38497870902613623
34,-7705,-0.6240913845810934
35,-7695,-0.576972810497323
36,-7685,-0.4496241536872316
37,-7675,-0.22563724708232016
38,-7665,0.04035149529507327
39,-7655,-0.09020240942399994
40,-7645,-0.27152317214047467
41,-7635,-0.29755352262937623
42,-7625,-0.4760257100685433
43,-7615,-0.5049037445045896
44,-7605,-0.22819615293903026
45,-7595,0.19810921523005023
46,-7585,0.45620123137068974
47,-7575,0.4884946628376364
48,-7565,0.46736244195070664
49,-7555,0.39279685425034344
50,-7545,0.24575177312960528
51,-7535,0.19302553243041465
52,-7525,0.037091962748436805
53,-7515,-0.20463982023598537
54,-7505,-0.45528363596021376
55,-7495,-0.625043647686334
56,-7485,-0.37776241816673906
57,-7475,-0.09623266854281552
58,-7465,-0.2644070251099286
59,-7455,-0.39042205421965215
60,-7445,-0.6218537645446593
61,-7435,-0.43201304866444445
62,-7425,-0.05010386841760621
63,-7415,0.1895934063278953
64,-7405,0.0005363649284107249
65,-7395,-0.11352677771949414
66,-7385,-0.11094714009932129
67,-7375,-0.16508404471171062
68,-7365,-0.2866864605526043
69,-7355,-0.48748291776277003
70,-7345,-0.22912846310334034
71,-7335,0.05007763426761764
72,-7325,0.4343844012174349
73,-7315,0.8386595051553961
74,-7305,0.7518633847252417
75,-7295,0.20213089535884302
76,-7285,0.1538129595781641
77,-7275,0.20681829086047282
78,-7265,0.15038328592159714
79,-7255,0.14481073043269801
