,time,tian22ht115kaallgmst_temp_detrendedlinear
0,-7945.0,0.30212341187758085
1,-7935.0,0.0015453702221552845
2,-7925.0,0.21098853828353015
3,-7915.0,0.035497280990894
4,-7905.0,-0.08664638871628583
5,-7895.0,0.33124232835631595
6,-7885.0,0.009005389300989819
7,-7875.0,-0.0609103064682035
8,-7865.0,0.008074754598538902
9,-7855.0,-0.017970968941652288
10,-7845.0,0.24084773317733976
11,-7835.0,0.008363945061955036
12,-7825.0,0.20446997780838316
13,-7815.0,0.17854632458069375
14,-7805.0,-0.04415181137404822
15,-7795.0,0.14827303851105533
16,-7785.0,0.29642165090836414
17,-7775.0,0.06312247125245207
18,-7765.0,0.11698416500962416
19,-7755.0,-0.06556809692167853
20,-7745.0,0.1031684366182084
21,-7735.0,0.2240391025433528
22,-7725.0,0.24663458383714776
23,-7715.0,0.2421409461734214
24,-7705.0,0.14873339096819116
25,-7695.0,0.16025575977419138
26,-7685.0,0.04783956809435175
27,-7675.0,0.02155542597506077
28,-7665.0,0.1446243111995198
29,-7655.0,0.09024492371889714
30,-7645.0,0.1765201001420884
31,-7635.0,0.1351803015896902
32,-7625.0,0.1070937150123914
33,-7615.0,0.031193712907747084
34,-7605.0,0.11315542039782933
35,-7595.0,0.214260232441136
36,-7585.0,0.39783021629840754
37,-7575.0,0.2513726198944486
38,-7565.0,-0.028989433601797288
39,-7555.0,0.19767709261387267
40,-7545.0,0.19981912084370101
41,-7535.0,-0.03802145590693762
42,-7525.0,-0.07503920245738271
43,-7515.0,0.06560876144139272
44,-7505.0,-0.17885889813395472
45,-7495.0,0.06033700125066055
46,-7485.0,-0.13999079626413824
47,-7475.0,-0.22633543948206558
48,-7465.0,-0.2093942932102415
49,-7455.0,-0.15322470760736628
50,-7445.0,-0.20591704522226095
51,-7435.0,-0.07908400747095001
52,-7425.0,0.1785788413765541
53,-7415.0,-0.22389834731256109
54,-7405.0,0.1632143458952946
55,-7395.0,0.1342971089884042
56,-7385.0,-0.15403861546731257
57,-7375.0,0.07246578611457011
58,-7365.0,-0.21970180174446696
59,-7355.0,0.03019813816749206
60,-7345.0,-0.06236446159340403
61,-7335.0,-0.037919805800095574
62,-7325.0,-0.024987906354448697
63,-7315.0,0.13525043535194392
64,-7305.0,0.15915245045921367
65,-7295.0,0.233959693227618
66,-7285.0,-0.10295143253425287
67,-7275.0,-0.23597175782004776
68,-7265.0,-0.16551613095740336
69,-7255.0,-0.09964100183646352
70,-7245.0,-0.08080109000067637
71,-7235.0,-0.23519802508871912
72,-7225.0,0.15144164565820084
73,-7215.0,-0.11702141339224426
74,-7205.0,-0.1226089154968868
75,-7195.0,-0.1375758045033848
76,-7185.0,-0.20692787875158203
77,-7175.0,0.09442183685617422
78,-7165.0,-0.1036076055560855
79,-7155.0,0.18687308386759227
80,-7145.0,0.03286238687769405
81,-7135.0,0.03948668439463354
82,-7125.0,-0.20844090560063577
83,-7115.0,-0.05660443462178222
84,-7105.0,0.10304167533411857
85,-7095.0,0.2781811782343606
86,-7085.0,-0.2497871527277038
87,-7075.0,-0.03067468077228952
88,-7065.0,-0.38202825038181665
89,-7055.0,0.2633394477088533
90,-7045.0,0.15969896708858577
91,-7035.0,-0.08732072495746479
92,-7025.0,-0.12143167219150186
93,-7015.0,0.12898515919994757
94,-7005.0,-0.09125058966983346
95,-6995.0,0.026357556418883377
96,-6985.0,0.14024732634793047
