,time,alley00gisp2multiproxy1kyrfir
0,-8045.0,-0.04494555170000431
1,-8035.0,0.007911979144415025
2,-8025.0,0.05967168686546548
3,-8015.0,0.10539424578954043
4,-8005.0,0.18497366293327328
5,-7995.0,0.3002956743088394
6,-7985.0,0.4420314667194002
7,-7975.0,0.6044471018492971
8,-7965.0,0.631413750136689
9,-7955.0,0.6173418616841332
10,-7945.0,0.5794331174904765
11,-7935.0,0.5281214671683738
12,-7925.0,0.47931265480154595
13,-7915.0,0.4383983076374519
14,-7905.0,0.4083670010819022
15,-7895.0,0.3942436270766139
16,-7885.0,0.41089396421369934
17,-7875.0,0.4739128710853636
18,-7865.0,0.5518897430059844
19,-7855.0,0.6288604183854756
20,-7845.0,0.6614790624102928
21,-7835.0,0.6597503733235506
22,-7825.0,0.6510262175863554
23,-7815.0,0.6163404173762645
24,-7805.0,0.5222128964074909
25,-7795.0,0.47561261979998204
26,-7785.0,0.45700444446326094
27,-7775.0,0.4320993032247737
28,-7765.0,0.393814237446939
29,-7755.0,0.27814251791112654
30,-7745.0,0.20310477686899658
31,-7735.0,0.163547585742801
32,-7725.0,0.14069759397796236
33,-7715.0,0.10625827641901335
34,-7705.0,0.08928369360627776
35,-7695.0,0.041519887061670216
36,-7685.0,-0.05051377673209464
37,-7675.0,-0.17971522540329096
38,-7665.0,-0.3209497009783643
39,-7655.0,-0.43103479269414674
40,-7645.0,-0.5105835171014388
41,-7635.0,-0.5817854010324732
42,-7625.0,-0.6239905191282137
43,-7615.0,-0.6212754120605728
44,-7605.0,-0.5908943339945774
45,-7595.0,-0.5456621088342875
46,-7585.0,-0.4411972987125534
47,-7575.0,-0.33200849715979774
48,-7565.0,-0.25563224233885484
49,-7555.0,-0.21329713736043995
50,-7545.0,-0.2777692758894295
51,-7535.0,-0.29030479390446634
52,-7525.0,-0.26785935229807045
53,-7515.0,-0.2208924995162104
54,-7505.0,-0.15220516519634564
55,-7495.0,-0.034150288350385166
56,-7485.0,0.05178949562499161
57,-7475.0,0.1163302711942518
58,-7465.0,0.18738822464034044
59,-7455.0,0.2927554497219298
60,-7445.0,0.4346408874707033
61,-7435.0,0.531551759009128
62,-7425.0,0.5622717797657222
63,-7415.0,0.5432357315944841
64,-7405.0,0.4932723669950012
65,-7395.0,0.4268522322933283
66,-7385.0,0.35737447149162677
67,-7375.0,0.2995041056519765
68,-7365.0,0.22867281533236394
69,-7355.0,0.14805945700733855
70,-7345.0,0.08126690380022264
71,-7335.0,0.0409001362138425
72,-7325.0,0.041995161991500815
73,-7315.0,0.026004093505706177
74,-7305.0,-0.01656492762389572
75,-7295.0,-0.06996298439743755
76,-7285.0,-0.12833672718022707
77,-7275.0,-0.2307100846272854
78,-7265.0,-0.33513703874123185
79,-7255.0,-0.42966485331099
80,-7245.0,-0.5173767198813584
81,-7235.0,-0.6086505623325063
82,-7225.0,-0.7089058595921481
83,-7215.0,-0.7964143350398841
84,-7205.0,-0.8520731108607236
85,-7195.0,-0.8516579342311315
86,-7185.0,-0.7784495947796188
87,-7175.0,-0.7072212547640501
88,-7165.0,-0.6530800197790138
89,-7155.0,-0.6328858058332354
90,-7145.0,-0.6256544645623623
91,-7135.0,-0.5901545522510053
92,-7125.0,-0.5576294426882267
93,-7115.0,-0.5794605785127162
94,-7105.0,-0.595858539233647
95,-7095.0,-0.5652015594835563
96,-7085.0,-0.4746689221648495
97,-7075.0,-0.35746971457823457
98,-7065.0,-0.26305440787553536
99,-7055.0,-0.17504320551297045
100,-7045.0,-0.10067858781946007
101,-7035.0,-0.029545001814501058
102,-7025.0,0.06417980870470377
103,-7015.0,0.15982423340981586
104,-7005.0,0.32962606458015936
105,-6995.0,0.5352580396645458
106,-6985.0,0.734128306892305
107,-6975.0,0.8908234830281857
108,-6965.0,0.9532747041651725
109,-6955.0,1.009685071201111
110,-6945.0,1.0699501332036638
111,-6935.0,1.1277393472511335
112,-6925.0,1.1524448742258038
113,-6915.0,1.0569713438421406
114,-6905.0,1.007030736854189
115,-6895.0,0.985425517058654
116,-6885.0,0.9752496244934405
117,-6875.0,0.9403837655911008
118,-6865.0,0.7971740904885438
119,-6855.0,0.6813397557875955
120,-6845.0,0.5967743661950259
121,-6835.0,0.5612669559475888
122,-6825.0,0.5612657149475258
123,-6815.0,0.5587366491858722
124,-6805.0,0.4944001187598708
125,-6795.0,0.37832519274943793
126,-6785.0,0.22307523605350102
127,-6775.0,0.07759586204469608
128,-6765.0,-0.013335903839752791
129,-6755.0,-0.10467906481813616
130,-6745.0,-0.2218397327323896
131,-6735.0,-0.3606335448331932
132,-6725.0,-0.4992872224425796
133,-6715.0,-0.6154673653660993
134,-6705.0,-0.7005691189254777
135,-6695.0,-0.7302620546770939
136,-6685.0,-0.7019298004442607
137,-6675.0,-0.6539185099571829
138,-6665.0,-0.6102811262394308
139,-6655.0,-0.5707231273723987
140,-6645.0,-0.515490241784361
141,-6635.0,-0.448529914401412
142,-6625.0,-0.42570345904456675
143,-6615.0,-0.4652579921024277
144,-6605.0,-0.5491686904768226
145,-6595.0,-0.5734745451229613
146,-6585.0,-0.5173813255257289
147,-6575.0,-0.4116312044224536
148,-6565.0,-0.3203631267290468
149,-6555.0,-0.2939691310788969
150,-6545.0,-0.2959635197876406
151,-6535.0,-0.25936004098230275
152,-6525.0,-0.17960418828081348
153,-6515.0,-0.06895367316789673
154,-6505.0,0.05622626420785008
155,-6495.0,0.1719799765115983
156,-6485.0,0.24076483986742378
157,-6475.0,0.2830701370710621
158,-6465.0,0.2659570354885123
159,-6455.0,0.19653605230364532
160,-6445.0,0.11936985500492797
161,-6435.0,0.06267039390197182
162,-6425.0,0.014076790609015996
163,-6415.0,-0.030486619435157035
164,-6405.0,-0.059609205508577914
165,-6395.0,-0.057496806631267244
166,-6385.0,0.020606874622860913
167,-6375.0,0.0552374592535295
168,-6365.0,0.06007610297156767
169,-6355.0,0.04701715036025601
170,-6345.0,0.04535964687915042
171,-6335.0,0.10335293521745903
172,-6325.0,0.1567636625696769
173,-6315.0,0.18838303289855363
174,-6305.0,0.1926804812374112
175,-6295.0,0.15912070593037192
176,-6285.0,0.08142917666806428
177,-6275.0,-0.09793541063358024
178,-6265.0,-0.19313613471613417
179,-6255.0,-0.2128403883710063
180,-6245.0,-0.16588704214192135
181,-6235.0,-0.08501677846707514
182,-6225.0,-0.08118337974010817
183,-6215.0,-0.07636735988908744
184,-6205.0,-0.05719486032644753
185,-6195.0,-0.020406410064303042
186,-6185.0,0.037285430370693116
187,-6175.0,0.10095001820396352
188,-6165.0,0.1007499337841547
189,-6155.0,0.08894681921698645
190,-6145.0,0.0840271754498286
191,-6135.0,0.08966663028752349
192,-6125.0,0.10880252617655599
193,-6115.0,0.13084490820575626
194,-6105.0,0.06029816912569521
195,-6095.0,-0.03701811419091139
196,-6085.0,-0.1157460335780963
197,-6075.0,-0.1576308169468302
198,-6065.0,-0.13656609450680807
199,-6055.0,-0.08913779548544452
200,-6045.0,0.01857444920105917
201,-6035.0,0.14616750932856135
202,-6025.0,0.23952340171496625
203,-6015.0,0.23742508692745948
204,-6005.0,0.18203477444577443
205,-5995.0,0.1440312887065558
206,-5985.0,0.14089668362209823
207,-5975.0,0.16438340285729963
208,-5965.0,0.1964814873974166
209,-5955.0,0.1659943262130034
210,-5945.0,0.10774909795994037
211,-5935.0,0.04092077925536422
212,-5925.0,-0.012231909565734701
213,-5915.0,-0.04605719124401693
214,-5905.0,-0.11180194012546778
215,-5895.0,-0.17397007682600946
216,-5885.0,-0.20915751976132302
217,-5875.0,-0.21311769686402146
218,-5865.0,-0.18372578226896474
219,-5855.0,-0.14365240135270985
220,-5845.0,-0.09981364881101285
221,-5835.0,-0.11824785819176895
222,-5825.0,-0.17594302897010267
223,-5815.0,-0.239220172447913
224,-5805.0,-0.26207245597060835
225,-5795.0,-0.16070746077677292
226,-5785.0,-0.07272069371072729
227,-5775.0,-0.013299748937685782
228,-5765.0,0.022038326579883357
229,-5755.0,0.03625939640437727
230,-5745.0,0.04765910871711009
231,-5735.0,0.0865162993451227
232,-5725.0,0.15187339172016398
233,-5715.0,0.22057461805014186
234,-5705.0,0.2718623040493361
235,-5695.0,0.29302542632727047
236,-5685.0,0.3418139431880459
237,-5675.0,0.41276656799070166
238,-5665.0,0.4939718422631723
239,-5655.0,0.5636482432227077
240,-5645.0,0.6123313242844731
241,-5635.0,0.6076689454097439
242,-5625.0,0.5584609813025098
243,-5615.0,0.5043275565646036
244,-5605.0,0.4885150596191087
245,-5595.0,0.5327598828975713
246,-5585.0,0.5154420133992591
247,-5575.0,0.43915583162346455
248,-5565.0,0.3270073085940351
249,-5555.0,0.194443472105362
250,-5545.0,0.06086565914810968
251,-5535.0,-0.09009412872874194
252,-5525.0,-0.19129375364696968
253,-5515.0,-0.2569560286271568
254,-5505.0,-0.30641881313958685
255,-5495.0,-0.3674859833916581
256,-5485.0,-0.4456046673920868
257,-5475.0,-0.513680618965372
258,-5465.0,-0.5862953947244568
259,-5455.0,-0.6840945428030146
260,-5445.0,-0.8007588992734581
261,-5435.0,-0.9024267309292103
262,-5425.0,-0.9364106461707924
263,-5415.0,-0.9337902272341443
264,-5405.0,-0.921489796861914
265,-5395.0,-0.9187394376621267
266,-5385.0,-0.9205457436469893
267,-5375.0,-0.8653822614246497
268,-5365.0,-0.7848630933679945
269,-5355.0,-0.647626113736399
270,-5345.0,-0.470269924132969
271,-5335.0,-0.29787840324018616
272,-5325.0,-0.15615248850674743
273,-5315.0,-0.09074853140080089
274,-5305.0,-0.03347050418025607
275,-5295.0,0.024791423647604192
276,-5285.0,0.0918365071773086
277,-5275.0,0.17673031268200168
278,-5265.0,0.25613627294203656
279,-5255.0,0.2821093770685816
280,-5245.0,0.27230009242290576
281,-5235.0,0.2516140174237308
282,-5225.0,0.25828576563039163
283,-5215.0,0.36417479123144414
284,-5205.0,0.426640902528397
285,-5195.0,0.43111715852943994
286,-5185.0,0.4167563825981031
287,-5175.0,0.43431120197210094
288,-5165.0,0.4452840851566452
289,-5155.0,0.37646563099064656
290,-5145.0,0.3115088530096365
291,-5135.0,0.24567120457083208
292,-5125.0,0.16777565493029734
293,-5115.0,0.09974220090845998
294,-5105.0,0.1090665305917103
295,-5095.0,0.17482853653317498
296,-5085.0,0.2247344311088917
297,-5075.0,0.21765575291023015
298,-5065.0,0.1756714795034276
299,-5055.0,0.16003700400415294
300,-5045.0,0.2653124142328718
301,-5035.0,0.44011325406889984
302,-5025.0,0.6095238985225875
303,-5015.0,0.6872793471048894
304,-5005.0,0.6378650914388676
305,-4995.0,0.5453588414780252
306,-4985.0,0.47674560578427483
307,-4975.0,0.4535168115275301
308,-4965.0,0.4700603115887276
309,-4955.0,0.4724775803098695
310,-4945.0,0.4150243327137839
311,-4935.0,0.32912993105560306
312,-4925.0,0.26083528111337595
313,-4915.0,0.21662498518532006
314,-4905.0,0.12277268123822602
315,-4895.0,0.10043015448100517
316,-4885.0,0.08010129247994639
317,-4875.0,0.057179709232579284
318,-4865.0,0.03193715702996651
319,-4855.0,0.00993328926792211
320,-4845.0,0.025382884721598872
321,-4835.0,0.00803661067659273
322,-4825.0,-0.12113032039929106
323,-4815.0,-0.3494804977907231
324,-4805.0,-0.6056733780891013
325,-4795.0,-0.7248236534668233
326,-4785.0,-0.727731935248673
327,-4775.0,-0.7332146195972196
328,-4765.0,-0.7496669261603922
329,-4755.0,-0.751974073082393
330,-4745.0,-0.6969369041190305
331,-4735.0,-0.6396414398941204
332,-4725.0,-0.5662118485928938
333,-4715.0,-0.4807663573241761
334,-4705.0,-0.3961078356105628
335,-4695.0,-0.32290303083199945
336,-4685.0,-0.1944670070834981
337,-4675.0,-0.12816800863269212
338,-4665.0,-0.12172247592116535
339,-4655.0,-0.1408484433564283
340,-4645.0,-0.1490236862418537
341,-4635.0,-0.18334998083833254
342,-4625.0,-0.2620963534273407
343,-4615.0,-0.2720749472916498
344,-4605.0,-0.1813666617304714
345,-4595.0,-0.004528047415113555
346,-4585.0,0.14533366677428777
347,-4575.0,0.19713540778494637
348,-4565.0,0.22153420514982514
349,-4555.0,0.24528547060221978
350,-4545.0,0.26976939857391025
351,-4535.0,0.28277168395487023
352,-4525.0,0.18350192429440731
353,-4515.0,-0.03448137254589068
354,-4505.0,-0.18685632541561453
355,-4495.0,-0.22983848529649883
