,time,GISP2martin24Tanom_decavg_temp__detrendedlinear
0,-8045,-0.7741300360163845
1,-8035,-0.8441099754328123
2,-8025,-1.0374388864875734
3,-8015,-1.213779264152019
4,-8005,-1.3491840753375235
5,-7995,-1.3787969642326452
6,-7985,-1.1053671796269033
7,-7975,-0.5368935771504559
8,-7965,0.04149734430265939
9,-7955,0.38032161077476
10,-7945,0.4636116161559247
11,-7935,0.41703576260696185
12,-7925,0.3442344952835241
13,-7915,0.18921439675347473
14,-7905,-0.048270508086066144
15,-7895,-0.2325749352837576
16,-7885,-0.3558149593221378
17,-7875,-0.3992470412149065
18,-7865,-0.41573718021613626
19,-7855,-0.4241865521367749
20,-7845,-0.2805572106881309
21,-7835,-0.037426406190719685
22,-7825,0.24566176623500446
23,-7815,0.5409033881684193
24,-7805,0.6553926657477289
25,-7795,0.6529392279137967
26,-7785,0.7527396775456832
27,-7775,0.8898662135407429
28,-7765,0.8395055224243384
29,-7755,0.6028189511016522
30,-7745,0.36714243071671104
31,-7735,0.30602582300920833
32,-7725,0.4695923055291722
33,-7715,0.5930732300222519
34,-7705,0.7015608945539618
35,-7695,0.8137674450341756
36,-7685,0.7728802707153961
37,-7675,0.6296033720563701
38,-7665,0.41795837899165944
39,-7655,0.24696846608727618
40,-7645,0.20315271066352247
41,-7635,0.09891576561901072
42,-7625,-0.10813044747109046
43,-7615,-0.30217333812239433
44,-7605,-0.4460126560414617
45,-7595,-0.4525359506263338
46,-7585,-0.19952821396994436
47,-7575,0.20294362189090975
48,-7565,0.5126849933044619
49,-7555,0.6297914794867299
50,-7545,0.5169319263712349
51,-7535,0.33977808510952245
52,-7525,0.29125260098787864
53,-7515,0.29927061821636824
54,-7505,0.2051221850429359
55,-7495,0.03601500086577136
56,-7485,-0.24713889145275614
57,-7475,-0.6460236769583585
58,-7465,-0.8922017594556797
59,-7455,-0.9158883414637906
60,-7445,-0.7229575695760508
61,-7435,-0.43781493890809187
62,-7425,-0.2645078637998459
63,-7415,-0.16199182755118757
64,-7405,-0.04193017344753969
65,-7395,0.1131282842543313
66,-7385,0.22104911723272025
67,-7375,0.3504424611558363
68,-7365,0.48946224491002566
69,-7355,0.5202308224237875
70,-7345,0.4988817889819952
71,-7335,0.314089640276368
72,-7325,0.17303736247709844
73,-7315,0.21721605206795758
74,-7305,0.32522199751018865
75,-7295,0.4774448383072154
76,-7285,0.5001264740847517
77,-7275,0.40556428560658864
78,-7265,0.3112240325521798
79,-7255,0.25700674554584735
80,-7245,0.18544241244179993
81,-7235,0.04693346442089874
82,-7225,-0.11946143426478995
83,-7215,-0.25546509668252493
84,-7205,-0.3738670133169886
85,-7195,-0.533418125740589
86,-7185,-0.6469617469057536
87,-7175,-0.6155557189274354
88,-7165,-0.4439774080279073
89,-7155,-0.27441359308911517
90,-7145,-0.15414505540069778
91,-7135,-0.13952136417137195
92,-7125,-0.34216800275599546
93,-7115,-0.6805008004458186
94,-7105,-0.9705891094238086
95,-7095,-0.9653301909443801
96,-7085,-0.6471205351825502
97,-7075,-0.3164782470933154
98,-7065,-0.27824831030150454
99,-7055,-0.4535400808949197
100,-7045,-0.6355684848076666
101,-7035,-0.7140019139445186
102,-7025,-0.6563411366685425
103,-7015,-0.6076250539817454
104,-7005,-0.5476037604733084
105,-6995,-0.39451524451997955
106,-6985,-0.0718067782660401
107,-6975,0.2218454623365882
108,-6965,0.20086349772879775
109,-6955,0.055965067790340495
110,-6945,-0.01985809521424553
111,-6935,0.029541654005619478
112,-6925,0.09494210502908862
113,-6915,-0.02766029364683842
114,-6905,-0.17127877087988197
115,-6895,-0.07111479841352208
116,-6885,0.21197651642220317
117,-6875,0.5067955705792824
118,-6865,0.6371919233391612
119,-6855,0.48790601222677576
120,-6845,0.16159139053556482
121,-6835,-0.19404996136057862
122,-6825,-0.29014754740198945
123,-6815,-0.03221737899213517
124,-6805,0.33755315548052023
125,-6795,0.6508276668883703
126,-6785,0.7298347993032541
127,-6775,0.7126910248577107
128,-6765,0.7401246425156212
129,-6755,0.7570428136978984
130,-6745,0.8049498553490155
131,-6735,0.9057663557301716
132,-6725,0.983688804923597
133,-6715,0.96528454126102
134,-6705,0.7395533617926424
135,-6695,0.3418711660150908
136,-6685,-0.008850469179695786
137,-6675,-0.15411453286451482
138,-6665,-0.1442398431911489
139,-6655,-0.18874350502286674
140,-6645,-0.34295333795127747
141,-6635,-0.41977179011665533
142,-6625,-0.20376091252894235
143,-6615,0.16076066252697463
144,-6605,0.34891167037710447
145,-6595,0.17401283263612277
146,-6585,-0.2519669334312684
147,-6575,-0.5524239501263366
148,-6565,-0.5587996395871944
149,-6555,-0.37779374316161807
150,-6545,-0.203987695249503
151,-6535,-0.205688165413771
152,-6525,-0.41168283073501133
153,-6515,-0.6424790380245056
154,-6505,-0.7281578034535376
155,-6495,-0.5857350674149755
156,-6485,-0.36236498622700797
157,-6475,-0.262050150767956
158,-6465,-0.17603002254153566
159,-6455,-0.16066076810152197
160,-6445,-0.23553267568788017
161,-6435,-0.34498125850373373
162,-6425,-0.48086536472255514
163,-6415,-0.5182396076948037
164,-6405,-0.5315937857433075
165,-6395,-0.5864295893862759
166,-6385,-0.6116885504688887
167,-6375,-0.5125524061665079
168,-6365,-0.28062437895992476
169,-6355,-0.07037919058455122
170,-6345,-0.05805325293043273
171,-6335,-0.24614719720588552
172,-6325,-0.39066961294345015
173,-6315,-0.4208862962574078
174,-6305,-0.3851501905503405
175,-6295,-0.2748126682859797
176,-6285,-0.187718142341178
177,-6275,-0.12234394305969842
178,-6265,-0.03955360225723692
179,-6255,-0.13078996600822035
180,-6245,-0.4245691301565846
181,-6235,-0.6966079178584179
182,-6225,-0.7822549247791759
183,-6215,-0.6769700823245373
184,-6205,-0.5858531426965505
185,-6195,-0.6283804836940716
186,-6185,-0.7813439585286768
187,-6175,-0.8865805469606665
188,-6165,-0.7841655176687594
189,-6155,-0.473231725240032
190,-6145,-0.10574104335218237
191,-6135,0.13559617190348883
192,-6125,0.23907548424335534
193,-6115,0.18916591953557438
194,-6105,0.18527438168545762
195,-6095,0.26921295568463366
196,-6085,0.2926484994056633
197,-6075,0.1857146595683412
198,-6065,-0.15674482218260066
199,-6055,-0.6046479598315695
200,-6045,-0.930212642031069
201,-6035,-0.9458839569257063
202,-6025,-0.7576764067335122
203,-6015,-0.5973582305415486
204,-6005,-0.5693022552434028
205,-5995,-0.792753267434696
206,-5985,-1.074800295097659
207,-5975,-1.146114971872477
208,-5965,-0.9392684247105593
209,-5955,-0.5324453140637353
210,-5945,-0.22247880833246025
211,-5935,-0.13772476174927983
212,-5925,-0.19503073960403072
213,-5915,-0.12650002300647056
214,-5905,0.055963851865731495
215,-5895,0.24569622728486573
216,-5885,0.4297236847912873
217,-5875,0.403541318697477
218,-5865,0.25204275292107914
219,-5855,0.19931999900938013
220,-5845,0.23171704402082693
221,-5835,0.26544331769318763
222,-5825,0.24900258242231255
223,-5815,0.19703948647959635
224,-5805,0.14278994642430654
225,-5795,0.01019496990489821
226,-5785,-0.2649834150963608
227,-5775,-0.4787204479670606
228,-5765,-0.3173144133478738
229,-5755,0.09612967660465666
230,-5745,0.44344496011296863
231,-5735,0.47169165515210354
232,-5725,0.19488489315568147
233,-5715,-0.09108088616536714
234,-5705,-0.2510312327051434
235,-5695,-0.3097779247488237
236,-5685,-0.2288191292080337
237,-5675,-0.10874089236596074
238,-5665,-0.023759763136831147
239,-5655,0.04561656188517116
240,-5645,0.08875926584320482
241,-5635,0.17626607773376968
242,-5625,0.2817695045032138
243,-5615,0.3336030862446786
244,-5605,0.2599695799729935
245,-5595,0.06196880958359108
246,-5585,0.00448483174301062
247,-5575,0.11755235079124704
248,-5565,0.1522791290262726
249,-5555,0.12294490111720524
250,-5545,0.10550019968252577
251,-5535,0.11624419781345385
252,-5525,0.23707734555499416
253,-5515,0.30103794095434755
254,-5505,0.25191086583664757
255,-5495,0.2486206695496862
256,-5485,0.24344985602242897
257,-5475,0.1843476618571127
258,-5465,0.10532478701395442
259,-5455,0.08122496117833777
260,-5445,0.1580128964256291
261,-5435,0.2314772175805797
262,-5425,0.17308935313184737
263,-5415,0.0057631482325375405
264,-5405,-0.08192970186243165
265,-5395,-0.023572078044670652
266,-5385,0.09804813659146028
267,-5375,0.19451548020009746
268,-5365,0.06201717651415639
269,-5355,-0.23230430352450693
270,-5345,-0.5078233930793794
271,-5335,-0.8532611593450988
272,-5325,-1.056371089215151
273,-5315,-1.025524662471614
274,-5305,-0.852886703401591
275,-5295,-0.5973409798358595
276,-5285,-0.5531932397631378
277,-5275,-0.6735106015716584
278,-5265,-0.8156259423217629
279,-5255,-0.9447700795932595
280,-5245,-0.9862225102828112
281,-5235,-0.9738125420286323
282,-5225,-0.9200718695284549
283,-5215,-0.7491065652857465
284,-5205,-0.44986602119517216
285,-5195,-0.19613617505402692
286,-5185,-0.08302946373151321
287,-5175,-0.09666788138059634
288,-5165,-0.056183331237873446
289,-5155,0.17881182593992606
290,-5145,0.4708169033010918
291,-5135,0.7944281705730551
292,-5125,0.8831105009466151
293,-5115,0.7230959500590874
294,-5105,0.3904708101960448
295,-5095,0.03811651463612087
296,-5085,0.07685003824838033
297,-5075,0.2583063261017995
298,-5065,0.38765944923515705
299,-5055,0.30299541621073733
300,-5045,0.07558358485720595
301,-5035,-0.04196386896616744
302,-5025,0.05035691726721536
303,-5015,0.3323954252150525
304,-5005,0.5957276454453488
305,-4995,0.6451452243835436
306,-4985,0.456576095755282
