time,tian22ht115kaallgmst
-7945,-0.15834021143759358
-7935,-0.15923227839316034
-7925,-0.18548540644491673
-7915,-0.16143555216635264
-7905,-0.2813334899410105
-7895,-0.1528120475276804
-7885,-0.1646443801387658
-7875,-0.23435339503134323
-7865,-0.13012718729818928
-7855,-0.11877722315634287
-7845,-0.1317588286861291
-7835,-0.22516064219320775
-7825,-0.19537119440878392
-7815,-0.1550313430293908
-7805,-0.061911531017670995
-7795,-0.20043491892660725
-7785,-0.10192875437582494
-7775,-0.13932146601523065
-7765,-0.08950419001425303
-7755,-0.17250084452475178
-7745,-0.1288034873470174
-7735,-0.037108941601166734
-7725,-0.09317793421591425
-7715,-0.10319265894735885
-7705,-0.12489561610067845
-7695,-0.0986836867793901
-7685,-0.15061144404257298
-7675,-0.15595221094931233
-7665,-0.14744352869833577
-7655,-0.1176463561519494
-7645,-0.11752161555136276
-7635,-0.14965605311239827
-7625,-0.15331091456259394
-7615,-0.16493296198691
-7605,-0.13359503321493627
-7595,-0.1666325049861772
-7585,-0.1733169036372999
-7575,-0.1658637481197225
-7565,-0.2163988547786584
-7555,-0.20217833094442916
-7545,-0.2818058448299272
-7535,-0.2247966247066362
-7525,-0.22769217066610814
-7515,-0.2816196876033654
-7505,-0.3380324798091756
-7495,-0.25277456812704635
-7485,-0.37454323344076634
-7475,-0.36810144953573776
-7465,-0.4449252562984327
-7455,-0.4326312499507772
-7445,-0.33112406306112874
-7435,-0.3863137679561479
-7425,-0.32763609461630416
-7415,-0.3973854499324663
-7405,-0.42986473612631393
-7395,-0.3532651381954057
-7385,-0.3184515433772912
-7375,-0.3329266982539991
-7365,-0.3886283355220659
-7355,-0.2936241584285604
-7345,-0.2665115790828576
-7335,-0.3828607993587365
-7325,-0.2699489074214796
-7315,-0.2923159080013136
-7305,-0.2204060988887644
-7295,-0.282388730572114
-7285,-0.27070812754477025
-7275,-0.3091983275874952
-7265,-0.25202536158407796
-7255,-0.24753279261435068
-7245,-0.3279805617793894
-7235,-0.30353369288290644
-7225,-0.2833850341304647
-7215,-0.27779593043173456
-7205,-0.3055189567073686
-7195,-0.2772977309688436
-7185,-0.3168951468929162
-7175,-0.30159687571371663
-7165,-0.3321564155086385
-7155,-0.31424927286947835
-7145,-0.17914108805502416
-7135,-0.218753667400728
-7125,-0.2779120879634718
-7115,-0.20247854761923456
-7105,-0.27497553400839436
-7095,-0.22559237055624592
-7085,-0.34466452174032725
-7075,-0.27989248804892064
-7065,-0.24826044611776865
-7055,-0.2731752830013132
-7045,-0.2440453010066843
-7035,-0.26453222803915644
-7025,-0.26789745859945846
-7015,-0.25401396326864756
-7005,-0.24225687556112874
-6995,-0.15802301935995722
-6985,-0.2662650542720666
-6975,-0.3048495727046827
-6965,-0.2765376525386678
