time,wu18tsianom1kyrfir
-7945.0,-0.0075771197679251785
-7935.0,-0.12361463230438519
-7925.0,-0.16275233652587232
-7915.0,-0.05679421222741682
-7905.0,0.0993585029864235
-7895.0,0.2685230207268371
-7885.0,0.31697505746146126
-7875.0,0.1752667079687387
-7865.0,0.012173801309608101
-7855.0,-0.06731102223004132
-7845.0,-0.11908153715442744
-7835.0,-0.10450254730362868
-7825.0,0.021010471819204735
-7815.0,0.15381644893653693
-7805.0,0.20494592598796246
-7795.0,0.17720079944821465
-7785.0,0.15590654822272937
-7775.0,0.18441077232941808
-7765.0,0.17257746399273405
-7755.0,0.15435764158722584
-7745.0,0.14695878081218666
-7735.0,0.16201060556047842
-7725.0,0.20211927478812022
-7715.0,0.26045496579162764
-7705.0,0.24610740430444156
-7695.0,0.09679291535635165
-7685.0,-0.09712611459603396
-7675.0,-0.21236249097237614
-7665.0,-0.25503669641216153
-7655.0,-0.1902003179817741
-7645.0,0.06444231918467783
-7635.0,0.26642718360966167
-7625.0,0.13353316057912912
-7615.0,0.0037791625400408757
-7605.0,-0.024839713919779044
-7595.0,-0.08349415468526178
-7585.0,-0.20275764963573395
-7575.0,-0.31921162307535433
-7565.0,-0.35918044079685296
-7555.0,-0.2526725966368715
-7545.0,-0.07675026630647266
-7535.0,0.006458445812989502
-7525.0,-0.019717265419392123
-7515.0,-0.05073592515919434
-7505.0,0.0020780969569546073
-7495.0,0.027025917715323852
-7485.0,0.02398965064227692
-7475.0,0.02691138012822151
-7465.0,0.04087860431917298
-7455.0,0.10848117620921946
-7445.0,0.15217602548847786
-7435.0,-0.02646594627158684
-7425.0,-0.24490240506892325
-7415.0,-0.3079255712209562
-7405.0,-0.20875446182120216
-7395.0,0.012736291074503858
-7385.0,0.2115264063607396
-7375.0,0.16073546232442978
-7365.0,0.046377834612496505
-7355.0,0.02128518482195381
-7345.0,0.021613432275124283
-7335.0,-0.004888883209431207
-7325.0,0.010936190095807886
-7315.0,0.04883850076056289
-7305.0,0.16409661801145276
-7295.0,0.24857816124807247
-7285.0,0.15271761938925346
-7275.0,-0.007894286260920619
-7265.0,-0.1921582383386528
-7255.0,-0.30530260131112497
-7245.0,-0.3111226479229776
-7235.0,-0.20568826539882437
-7225.0,-0.0659091412596045
-7215.0,0.04220968015989329
-7205.0,0.051690043025834714
-7195.0,-0.022259356746727722
-7185.0,-0.0719189639864442
-7175.0,-0.13804050494381948
-7165.0,-0.21505384238733066
-7155.0,-0.28657945043184907
-7145.0,-0.2971479064321584
-7135.0,-0.14706294893613422
-7125.0,0.13490195112455744
-7115.0,0.27975004748949894
-7105.0,0.2225517205768389
-7095.0,0.2173169721128948
-7085.0,0.28079424290821103
-7075.0,0.3484838733447433
-7065.0,0.301845713720163
-7055.0,0.27560312264117914
-7045.0,0.2599186347233823
-7035.0,0.22794927606857834
-7025.0,0.15040849354301936
-7015.0,0.07463749889193251
-7005.0,0.01796103607294265
-6995.0,-0.024801722445396787
-6985.0,-0.038613493257519504
-6975.0,-0.016258414980614276
-6965.0,-0.028109673492005854
-6955.0,-0.10950370209071161
-6945.0,-0.16909648422325968
-6935.0,-0.1319904343601144
-6925.0,-0.056520217158123685
-6915.0,-0.08304879180793134
-6905.0,-0.18822891042339013
-6895.0,-0.2722501500369911
-6885.0,-0.24925494504582096
-6875.0,-0.18880416704650807
-6865.0,-0.1344811002522316
-6855.0,-0.09552506093730626
-6845.0,-0.06393948452675395
-6835.0,-0.0015129875736945991
-6825.0,0.06927864830211111
-6815.0,0.16809112330206563
-6805.0,0.13217348897543735
-6795.0,0.02155068780648105
-6785.0,-0.05102337789706049
-6775.0,0.02205084478160762
-6765.0,0.1100409941722573
-6755.0,0.02202900933507305
-6745.0,-0.05239883303533188
-6735.0,-0.04182359458441953
-6725.0,0.05303579847515919
-6715.0,0.16298253333050636
-6705.0,0.17899909158881785
-6695.0,0.13649255088525536
-6685.0,0.024014130273567247
-6675.0,-0.11283138580901442
-6665.0,-0.20397071810644862
-6655.0,-0.2473783222967344
-6645.0,-0.2722605782080765
-6635.0,-0.2881892498473014
-6625.0,-0.2047053262603582
-6615.0,-0.10795490235448685
-6605.0,0.032088337224999514
-6595.0,0.16948299299938382
-6585.0,0.24494216491877083
-6575.0,0.14379964988120575
-6565.0,0.05643125857607935
-6555.0,0.09042710312958864
-6545.0,0.14109193024519479
-6535.0,0.1493415603190489
-6525.0,0.16320819843958168
-6515.0,0.17573107535809454
