,time,GISP2seierstad14d18O_decavg_d18O__detrendedlinear
0,-8045,-0.23154938876335507
1,-8035,-0.32614096484942223
2,-8025,-0.44485754093548024
3,-8015,-0.586949117021554
4,-8005,-0.5704156931076199
5,-7995,-0.3600072691936873
6,-7985,-0.1709738452797538
7,-7975,-0.008065421365820669
8,-7965,0.10871800254810893
9,-7955,0.1691264264620429
10,-7945,0.20703485037597602
11,-7935,0.21744327428991994
12,-7925,0.21660169820385278
13,-7915,0.2020101221177768
14,-7905,0.12891854603171282
15,-7895,-0.015673030054358605
16,-7885,-0.09051460614041673
17,-7875,-0.08010618222648702
18,-7865,-0.020197758312555436
19,-7855,0.1002106656013737
20,-7845,0.177869089515319
21,-7835,0.20327751342924927
22,-7825,0.22756093734317773
23,-7815,0.2504693612571103
24,-7805,0.3543777851710388
25,-7795,0.5572862090849782
26,-7785,0.6285696329989108
27,-7775,0.5389780569128462
28,-7765,0.39088648082677224
29,-7755,0.17129490474071218
30,-7745,0.08557832865464832
31,-7735,0.16348675256858058
32,-7725,0.25264517648251683
33,-7715,0.35555360039644057
34,-7705,0.3988370243103816
35,-7695,0.36924544822431216
36,-7685,0.3261538721382422
37,-7675,0.26656229605217874
38,-7665,0.304845719966103
39,-7655,0.46275414388004776
40,-7645,0.46878756779398145
41,-7635,0.28919599170790633
42,-7625,0.0961044156218378
43,-7615,-0.11348716046421714
44,-7605,-0.13520373655028806
45,-7595,0.07270468736364677
46,-7585,0.20973811127757358
47,-7575,0.26014653519150954
48,-7565,0.24530495910543948
49,-7555,0.15071338301937232
50,-7545,0.11237180693330373
51,-7535,0.14278023084723657
52,-7525,0.11468865476117429
53,-7515,0.015097078675111675
54,-7505,-0.13511949741095464
55,-7495,-0.3472110734970286
56,-7485,-0.48505264958309624
57,-7475,-0.5321442256691569
58,-7465,-0.468985801755224
59,-7455,-0.27107737784128716
60,-7445,-0.11366895392735898
61,-7435,-0.00576053001342558
62,-7425,0.08302289390050532
63,-7415,0.14843131781444185
64,-7405,0.19696474172837242
65,-7395,0.22487316564230753
66,-7385,0.22240658955624326
67,-7375,0.1828150134701758
68,-7365,0.11847343738411098
69,-7355,0.023881861298043816
70,-7345,-0.01333471478802295
71,-7335,0.019573709125914718
72,-7325,0.08173213303984284
73,-7315,0.17964055695377112
74,-7305,0.1999239808677018
75,-7295,0.12533240478164487
76,-7285,0.06424082869557424
77,-7275,0.019649252609511336
78,-7265,-0.04744232347655952
79,-7255,-0.1420338995626267
80,-7245,-0.1950004756486905
81,-7235,-0.19709205173475652
82,-7225,-0.2464336278208279
83,-7215,-0.3535252039068979
84,-7205,-0.42686677999295597
85,-7195,-0.45895835607902313
86,-7185,-0.42354993216509484
87,-7175,-0.30564150825116343
88,-7165,-0.2001080843372307
89,-7155,-0.1096996604232956
90,-7145,-0.09466623650936157
91,-7135,-0.17175781259543044
92,-7125,-0.24547438868149385
93,-7115,-0.31506596476756243
94,-7105,-0.2766575408536269
95,-7095,-0.10624911693969352
96,-7085,-0.011215693025761198
97,-7075,-0.008307269111831772
98,-7065,-0.06502384519789217
99,-7055,-0.19461542128395592
100,-7045,-0.31070699737002627
101,-7035,-0.410298573456096
102,-7025,-0.4525151495421653
103,-7015,-0.4246067256282231
104,-7005,-0.2864483017142945
105,-6995,-0.013539877800361921
106,-6985,0.11424354611357046
107,-6975,0.0646519700275121
108,-6965,0.05556039394144108
109,-6955,0.09596881785537192
110,-6945,0.09250224176930288
111,-6935,0.03541066568323714
112,-6925,-0.030680910402821837
113,-6915,-0.1077724864888907
114,-6905,-0.01836406257496037
115,-6895,0.2745443613389682
116,-6885,0.43920278525289547
117,-6875,0.44711120916683456
118,-6865,0.3695196330807704
119,-6855,0.18742805699470466
120,-6845,0.15608648090863397
121,-6835,0.3089949048225762
122,-6825,0.4877783287365105
123,-6815,0.698186752650436
124,-6805,0.754470176564368
125,-6795,0.6223786004782994
126,-6785,0.521787024392232
127,-6775,0.4596954483061637
128,-6765,0.45610387222009763
129,-6755,0.5240122961340319
130,-6745,0.5052957200479753
131,-6735,0.380704143961907
132,-6725,0.19648756787583466
133,-6715,-0.06060400821022682
134,-6705,-0.1950705842962961
135,-6695,-0.17966216038236382
136,-6685,-0.17212873646843008
137,-6675,-0.1742203125544961
138,-6665,-0.14481188864056804
139,-6655,-0.07690346472664089
140,-6645,-0.008995040812699528
141,-6635,0.05891338310123473
142,-6625,0.0064468070151662005
143,-6615,-0.19314476907090494
144,-6605,-0.3241113451569646
145,-6595,-0.37120292124303234
146,-6585,-0.3114194973290978
147,-6575,-0.12101107341516837
148,-6565,-0.05097764950123462
149,-6555,-0.12806922558728928
150,-6545,-0.24341080167336315
151,-6535,-0.40550237775942577
152,-6525,-0.4089689538455019
153,-6515,-0.21856052993156538
154,-6505,-0.10690210601763539
155,-6495,-0.09149368210369602
156,-6485,-0.11546025818976346
157,-6475,-0.18755183427583688
158,-6465,-0.17976841036189484
159,-6455,-0.07435998644796626
160,-6445,-0.03757656253403496
161,-6435,-0.0846681386201027
162,-6425,-0.1688847147061665
163,-6415,-0.29847629079223026
164,-6405,-0.3830678668782994
165,-6395,-0.41265944296436885
166,-6385,-0.28025101905043215
167,-6375,0.05015740486350495
168,-6365,0.16231582877743733
169,-6355,0.007724252691367894
170,-6345,-0.08499232339470097
171,-6335,-0.10208389948076757
172,-6325,-0.06855047556683047
173,-6315,0.02685794834710009
174,-6305,0.09526637226103674
175,-6295,0.13067479617496502
176,-6285,0.08283322008890082
177,-6275,-0.06675835599716606
178,-6265,-0.23997493208324272
179,-6255,-0.4420665081693045
180,-6245,-0.5192830842553775
181,-6235,-0.44387466034142875
182,-6225,-0.3875912364275038
183,-6215,-0.35468281251357325
184,-6205,-0.3172743885996354
185,-6195,-0.27436596468570684
186,-6185,-0.19995754077176287
187,-6175,-0.08704911685783401
188,-6165,0.014609307056097975
189,-6155,0.10251773097002825
190,-6145,0.16792615488396478
191,-6135,0.205834578797905
192,-6125,0.22011800271182835
193,-6115,0.2055264266257666
194,-6105,0.11893485053969499
195,-6095,-0.05565672554636336
196,-6085,-0.26399830163244076
197,-6075,-0.5135898777185091
198,-6065,-0.5921814538045709
199,-6055,-0.4617730298906366
200,-6045,-0.3021146059767048
201,-6035,-0.10670618206277283
202,-6025,-0.0687977581488397
203,-6015,-0.22338933423490914
204,-6005,-0.2598559103209723
